gene_name	id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
DPM1	ENSG00000000419	476.672061123045	473.957706760571	478.843544613024	1.01030859459138	0.0147960255377083	0.913695834524792	0.994369423050676
SCYL3	ENSG00000000457	73.0947428505499	81.2568723210248	66.5650392741699	0.819192732538224	-0.287725178350197	0.406537288676239	0.81855801084108
C1orf112	ENSG00000000460	681.179808420498	842.559722276871	552.075877335399	0.655236492724231	-0.60991238625068	0.15931921196927	0.565451570621397
FGR	ENSG00000000938	4.64008416465694	3.10417470386885	5.86881173328741	1.89061901895306	0.91885867325983	0.810953032206548	0.978313035935028
CFH	ENSG00000000971	41.1326036652218	7.38692485865959	68.1291467104716	9.22293755710872	3.20522633027373	9.18569765230371e-09	1.04875686274749e-06
FUCA2	ENSG00000001036	18.9112528649334	18.2889513902502	19.4090940446799	1.06124695891679	0.0857604196327715	0.775482008018298	0.969825123840872
GCLC	ENSG00000001084	399.232406190312	386.071672713773	409.760992971544	1.0613599026607	0.0859139510118939	0.965794121106549	1
NFYA	ENSG00000001167	1841.71168359579	1755.55396442885	1910.63785892933	1.08833900731211	0.122128012459162	0.672198373380454	0.942514807843245
STPG1	ENSG00000001460	17.5371678653901	18.4154225360832	16.8345641288356	0.91415573527297	-0.129488131609663	0.701661103801494	0.949715616828305
NIPAL3	ENSG00000001461	210.494585981089	201.468477772194	217.715472548204	1.0806428626238	0.111889811276035	0.640066601563731	0.933867664576591
LAS1L	ENSG00000001497	1293.5970548985	1374.57121152528	1228.81772959707	0.89396440089381	-0.161710712781386	0.698850817173936	0.94911900562037
ENPP4	ENSG00000001561	139.166355029519	111.516943396527	161.285884335913	1.44629039698856	0.532357256460596	0.119421650288559	0.494075957446077
ANKIB1	ENSG00000001629	455.375229569328	587.971808790021	349.297966192773	0.594072642549969	-0.751288741910382	0.0161644600459735	0.151674475797541
CYP51A1	ENSG00000001630	32.5233268786121	35.7071967456961	29.9762309849449	0.839501101092681	-0.252395877479781	0.717489216170242	0.955154395968418
KRIT1	ENSG00000001631	348.272292857258	353.526817960904	344.068672774342	0.973246314830895	-0.03912311802763	0.830332785992823	0.983166300507114
RAD52	ENSG00000002016	29.0303676304541	35.7890440120795	23.6234265251538	0.66007425393035	-0.599299767762649	0.135910692729175	0.528253301787062
BAD	ENSG00000002330	10.2135353561489	12.8278215604582	8.1221063927015	0.633163343785347	-0.65935036005328	0.339395415904528	0.773142474582189
LAP3	ENSG00000002549	601.005209439803	604.191168023119	598.45644257315	0.990508425555552	-0.01375884773271	0.895433403343316	0.992381379009149
CD99	ENSG00000002586	935.914622089461	811.789074911677	1035.21505983169	1.27522664670539	0.35075368082439	0.241787699110707	0.679345810510886
MAD1L1	ENSG00000002822	271.960492739993	298.232816658193	250.942633605433	0.841431994028478	-0.249081419698797	0.425633517981363	0.834126566998143
LASP1	ENSG00000002834	364.781411005321	359.638567706842	368.895685644103	1.02574005896055	0.036665172307157	0.958637405810906	1
SNX11	ENSG00000002919	338.275845245624	331.904323920488	343.373062305734	1.03455435063266	0.0490094396188932	1	1
M6PR	ENSG00000003056	773.938000654593	629.867208949644	889.194634018553	1.41171761505311	0.497451536126592	0.0889748582926225	0.425219716656993
DBNDD1	ENSG00000003249	8.1885467889805	11.2384297844876	5.74864039257486	0.511516333047675	-0.96714778799461	0.209662444438857	0.641460047693441
ALS2	ENSG00000003393	176.05910133674	180.467751693647	172.532181051215	0.956027763586795	-0.0648755793932839	0.938995827961632	0.995510663358598
CASP10	ENSG00000003400	259.718313125206	352.176142159669	185.752049897635	0.527440753818635	-0.922919046512893	0.0050822985767669	0.0679911824900867
CFLAR	ENSG00000003402	9996.72323138909	8006.36535329327	11589.0095338658	1.44747448092646	0.53353791362703	0.0633749781461197	0.35470090266079
TFPI	ENSG00000003436	6.43815895444031	10.9184144396832	2.85395456624597	0.261389103886111	-1.93572909184549	0.0139801348850807	0.136956577503028
NDUFAF7	ENSG00000003509	169.367677414865	157.828022154231	178.599401623371	1.13160767768376	0.178373870216116	0.862000882088273	0.987806422463353
RBM5	ENSG00000003756	1339.65376751475	1334.08262727362	1344.11067970765	1.00751681509752	0.0108039170215952	0.948870897130642	0.99790496288429
MTMR7	ENSG00000003987	7.24784982367198	7.64067342242614	6.93359094466864	0.907458094507463	-0.140097072431497	0.851517113393688	0.986174259642421
ARF5	ENSG00000004059	225.004085331168	201.323595367192	243.948477302349	1.2117232302424	0.277060210399394	0.318409192396709	0.756993775443415
SARM1	ENSG00000004139	37.7159391947873	42.814785023829	33.6368625315539	0.78563660924218	-0.348065936694074	0.391258868076413	0.809589385524116
POLDIP2	ENSG00000004142	555.168212953028	618.321525146068	504.645563198595	0.816153963068616	-0.293086760333709	0.344658230202738	0.777573660519625
