gene_name	id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
ANK1	ENSG00000029534	287.079261152957	497.701033213131	118.581843504817	0.238259186924446	-2.06939625147697	9.92441916804809e-05	0.0314558818630161
FLT4	ENSG00000037280	15.6631023561066	3.9284409856058	25.0508314525072	6.37678701151322	2.67282969512807	2.93782246455339e-05	0.0137263063034176
NEDD4L	ENSG00000049759	241.528828269905	475.662155819709	54.222166230062	0.113993021237145	-3.13298259097761	1.79746302023761e-07	0.000256941862658005
AHRR	ENSG00000063438	64.2763927480167	105.890716545534	30.9849337100027	0.292612371705679	-1.77293732670589	0.000116830130576641	0.0354376781787882
KIF26A	ENSG00000066735	30.9225184703418	64.2796090249256	4.23684602667482	0.0659127535301577	-3.92329854890358	7.11794201794777e-06	0.00480881691876171
FRY	ENSG00000073910	114.730821599069	214.314194587119	35.0641232086296	0.163610829773461	-2.61165984817641	3.55034849755639e-07	0.000405914074762928
COL5A3	ENSG00000080573	1337.41882215148	2391.21729571825	494.380043298059	0.206748271762379	-2.27405282512934	6.74804497396545e-06	0.00477600916419278
MAP3K4	ENSG00000085511	890.713046583133	1416.65925941285	469.956076319359	0.331735435459715	-1.59189496810515	2.61204265649891e-07	0.000323523250029528
PLS3	ENSG00000102024	241.703458140758	61.7111330397346	385.697318221576	6.25004434731789	2.6438664264833	6.0751465119393e-06	0.00451474513034769
TRPS1	ENSG00000104447	136.408267109732	45.0615393932141	209.485649282946	4.64887911296019	2.21688291125151	8.88310372082653e-05	0.0300067205915102
NEFL	ENSG00000104725	22.3306778985451	42.9218332358804	5.85775362867695	0.13647491700751	-2.87329227512775	1.15187744927097e-05	0.00713348105354769
GATA3	ENSG00000107485	848.746502678581	1333.32265341906	461.0855820862	0.345816956536239	-1.53191948411718	4.65588786493634e-07	0.000494289009546777
ZBTB16	ENSG00000109906	197.363472807097	317.685449427764	101.105891510564	0.318257860700521	-1.65173194697092	1.88289103213069e-05	0.00965014117605464
IFNG	ENSG00000111537	52606.0348528158	6496.00875854184	89494.055728235	13.7767757179447	3.78416637770314	1.89092393907866e-12	9.36826750217536e-09
IL17A	ENSG00000112115	2733.59181386852	4280.58733392416	1495.99539782401	0.349483676216129	-1.51670302352707	0.00010920747434744	0.0338156394005416
SEMA5A	ENSG00000112902	10.1165321880371	21.3760731679102	1.1088994041387	0.0518757301880581	-4.26879645131886	0.000124831357623297	0.036379773889315
GZMK	ENSG00000113088	78.8896137372516	2.88792719941077	139.690962967524	48.3706663367503	5.59606050685149	1.17169831018616e-23	1.74149519842969e-19
IL1R1	ENSG00000115594	2943.02484297537	4946.7022016234	1340.08295605694	0.270904311890284	-1.88414473828645	3.04762233743376e-05	0.0137263063034176
ABCG2	ENSG00000118777	23.2786455436859	41.6711574889524	8.56463598747273	0.205529111826167	-2.28258533838854	6.07962331613003e-07	0.000602409608984271
IL9R	ENSG00000124334	11.9758139628619	23.4446785313585	2.80072230806456	0.119460896182408	-3.06538964501619	1.84189275451236e-05	0.00965014117605464
IL22	ENSG00000127318	17993.0124023243	30946.6149547388	7630.1303603928	0.246557834243012	-2.02000200045848	4.95691127667785e-05	0.0216689918544891
GNAI1	ENSG00000127955	28.382257727103	59.3864278227444	3.57892165058985	0.0602649760526454	-4.05253638922725	6.08042354935413e-05	0.0258209529183001
CCL4	ENSG00000129277	7259.09873663577	1840.66910598021	11593.8424411602	6.29871083482228	2.6550565805924	2.15027493622906e-06	0.00187997272806897
PPARG	ENSG00000132170	321.460306621031	613.403194785619	87.9059960893613	0.143308670115557	-2.80280220019075	1.32771179332816e-06	0.00123336127401478
FST	ENSG00000134363	29.4511894052906	54.8437484750561	9.13714214947819	0.166603166332329	-2.58551227516505	1.48817483062284e-05	0.00850720865674897
HRH4	ENSG00000134489	64.751977939799	133.927934251866	9.4112128901458	0.0702707238987725	-3.83093242911265	3.03004785397171e-05	0.0137263063034176
RAB11FIP5	ENSG00000135631	247.610073028549	363.502991496015	154.895738254577	0.42611956951742	-1.23066978616065	0.000177011514359122	0.0496400403381063
CD27	ENSG00000139193	73.6884815687359	35.0617103171873	104.589898569975	2.98302329303955	1.57677524305075	8.27301438257087e-05	0.0285957704111979
OSBPL1A	ENSG00000141447	34.1974562724262	64.1408216730037	10.2427639519641	0.159691810687783	-2.64663776449926	7.54608969358298e-05	0.027355495394079
TNFRSF11A	ENSG00000141655	40.357009606966	80.8671026941916	7.94893513718549	0.0982962771307057	-3.34671941274882	5.50422589255521e-08	9.08992327122756e-05
CACNG8	ENSG00000142408	5.21866612203448	10.7711916070896	0.776645733990385	0.0721039753372503	-3.79377738743438	6.80703103897916e-05	0.0270351163596114
WNT9A	ENSG00000143816	221.778576780232	381.585900386356	93.932717895332	0.24616401654313	-2.02230820613097	3.11458019568441e-09	6.6131436354939e-06
GZMA	ENSG00000145649	123.186711133382	35.1191733638976	193.64074134897	5.51381831635116	2.463051730457	7.33918605577706e-05	0.027355495394079
LRP12	ENSG00000147650	111.506434624327	186.812817283712	51.2613284968183	0.274399418852337	-1.86565066884216	2.66391720117277e-05	0.0131979337870103
NTRK2	ENSG00000148053	495.853271731016	976.639518935011	111.22427396782	0.113884674756051	-3.13435447550601	3.64934916196406e-12	1.08480553188544e-08
GPR15	ENSG00000154165	143.448414416557	222.860630310394	79.9186417014879	0.358603677958639	-1.47953780984483	9.94702581956374e-05	0.0314558818630161
CCSAP	ENSG00000154429	596.35989157288	879.279710638752	370.024036320183	0.420826310266365	-1.24870318943914	6.41648263985648e-05	0.026491161521163
CCL5	ENSG00000161570	5981.59460382704	1729.80353992129	9383.02745495164	5.42433128294938	2.43944529161459	3.26391921809395e-10	8.08527188975505e-07
PTPN13	ENSG00000163629	46.9728357501784	84.5806950009071	16.8865483495954	0.199650148883434	-2.32445394706711	8.90101078192935e-09	1.6536965406477e-05
IL3	ENSG00000164399	3903.83620931573	7485.30560656502	1038.66069151631	0.13875995799094	-2.84933678592091	1.87476559386061e-05	0.00965014117605464
CSF2	ENSG00000164400	14548.2608046806	26892.8428940115	4672.59513321594	0.173748649468979	-2.52492633093311	2.78128917190836e-15	2.0669150481037e-11
TAP1	ENSG00000168394	2915.9325703048	4562.32617762725	1598.81768444685	0.350439144900935	-1.51276415841806	1.9016083490803e-07	0.000256941862658005
