gene_name	id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
DPM1	ENSG00000000419	508.89303756307	517.316758421612	497.661409751681	0.962005196332897	-0.055883408061011	0.731613323803593	1
SCYL3	ENSG00000000457	71.0563350975565	67.1888265423781	76.2130131711276	1.13431082358698	0.181816021411925	0.288982494519058	1
C1orf112	ENSG00000000460	672.696919680824	698.792101439714	637.903344002303	0.912865704532202	-0.131525459931096	0.887275599758775	1
FGR	ENSG00000000938	14.6106394224287	4.8090084331882	27.6794807414161	5.75575633230187	2.52500551743945	0.166655786853766	1
CFH	ENSG00000000971	126.367975096502	177.696771630951	57.9295797172371	0.326002432039385	-1.61704536761484	0.0423716398130314	1
FUCA2	ENSG00000001036	23.1433740025509	20.1322900061762	27.1581526643838	1.34898477302146	0.431874063623163	0.450156815729256	1
GCLC	ENSG00000001084	398.112802219686	372.137786479553	432.746156539863	1.16286540163972	0.217684118630054	0.80642458424517	1
NFYA	ENSG00000001167	1817.87207329847	2005.99855001854	1567.03677100505	0.781175425570754	-0.356281529642242	0.359916359441622	1
STPG1	ENSG00000001460	18.4294307984472	14.2536434272001	23.9971472934433	1.68357988019047	0.751532173806295	0.557663878491198	1
NIPAL3	ENSG00000001461	222.555138210575	230.528159284159	211.924443445797	0.919299594912266	-0.121392990003338	0.828565871828992	1
LAS1L	ENSG00000001497	1143.75769024859	1146.07062458557	1140.67377779927	0.995290999812285	-0.00680969726449965	0.965069082674834	1
ENPP4	ENSG00000001561	102.445825582734	114.462652779203	86.4233893207766	0.755035701360919	-0.405383231961416	0.44793084129955	1
ANKIB1	ENSG00000001629	328.816476442555	296.33272701047	372.128142352002	1.25577807792676	0.328581532571224	0.606861085446544	1
CYP51A1	ENSG00000001630	43.4674561080785	38.5800212291083	49.9840359467055	1.29559379062739	0.373613458879774	0.423977803079014	1
KRIT1	ENSG00000001631	283.450702817301	285.442886829649	280.794457467503	0.98371502820135	-0.0236876522340029	0.685166953267952	1
RAD52	ENSG00000002016	24.2733263127714	23.3384469699093	25.5198321032542	1.09346745034738	0.12891027578487	0.803305831349276	1
BAD	ENSG00000002330	6.57424956656498	8.42446068907799	4.10730140321429	0.48754472895093	-1.03639351238308	0.43634950611359	1
LAP3	ENSG00000002549	619.055873778886	567.183127876382	688.219534982225	1.21339916714205	0.279054226240806	0.503963344348993	1
CD99	ENSG00000002586	1192.48539596462	1220.71810716157	1154.84178103536	0.94603477597347	-0.0800348772821876	0.792760524635885	1
MAD1L1	ENSG00000002822	319.079605117905	353.072470362438	273.755784791862	0.775352959438739	-0.367074885260091	0.357532099051006	1
LASP1	ENSG00000002834	438.217010432814	467.322230968747	399.410049718235	0.854678042793445	-0.226547035754604	0.600239439813296	1
SNX11	ENSG00000002919	339.272440187719	332.87463597773	347.802845801038	1.04484634216561	0.0632907914014703	0.958005212315157	1
M6PR	ENSG00000003056	721.461348055002	769.598893815858	657.277953707194	0.854052622721754	-0.227603130192895	0.764256581271835	1
DBNDD1	ENSG00000003249	7.3576384855291	9.93832196173293	3.91672718392399	0.394103471290744	-1.34335363799754	0.308320016032682	1
