gene_name	id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
DPM1	ENSG00000000419	485.90024404002	478.843544613024	497.661409751681	1.03929856703793	0.0556101675317894	1	1
SCYL3	ENSG00000000457	70.183029485529	66.5650392741699	76.2130131711276	1.14494055741813	0.195272698982298	0.25695753210452	1
C1orf112	ENSG00000000460	584.261177335488	552.075877335399	637.903344002303	1.15546317126036	0.208471276692777	0.376528049864217	1
FGR	ENSG00000000938	14.0478126113356	5.86881173328741	27.6794807414161	4.71636883228343	2.23767654522594	0.150626305232601	1
CFH	ENSG00000000971	64.3043090880087	68.1291467104716	57.9295797172371	0.850290698097547	-0.233971939513405	1	1
FUCA2	ENSG00000001036	22.3149910270689	19.4090940446799	27.1581526643838	1.39924885735859	0.484652569614025	0.416671962420535	1
GCLC	ENSG00000001084	418.380429309663	409.760992971544	432.746156539863	1.05609407425932	0.0787383521418181	0.979863839806058	1
NFYA	ENSG00000001167	1781.78745095773	1910.63785892933	1567.03677100505	0.82016419997203	-0.286015323241283	0.430900677246465	1
STPG1	ENSG00000001460	19.5205328155635	16.8345641288356	23.9971472934433	1.42546888115381	0.511436544715981	0.721253026447693	1
NIPAL3	ENSG00000001461	215.543836634801	217.715472548204	211.924443445797	0.973400929963191	-0.0388939419551027	0.746303169530296	1
LAS1L	ENSG00000001497	1195.7637476729	1228.81772959707	1140.67377779927	0.928269303351678	-0.107384683665222	0.784602006088384	1
ENPP4	ENSG00000001561	133.212448705237	161.285884335913	86.4233893207766	0.535839758554325	-0.900126463798319	0.061976416619791	1
ANKIB1	ENSG00000001629	357.859282252484	349.297966192773	372.128142352002	1.06536017489043	0.0913412564434922	0.982550482221951	1
CYP51A1	ENSG00000001630	37.4791578456051	29.9762309849449	49.9840359467055	1.66745565751109	0.737648396468656	0.151612055298231	1
KRIT1	ENSG00000001631	320.340842034278	344.068672774342	280.794457467503	0.816100039574548	-0.293182082700671	0.293263362796264	1
RAD52	ENSG00000002016	24.3345786169415	23.6234265251538	25.5198321032542	1.08027648216405	0.111400597943114	0.698076506120084	1
BAD	ENSG00000002330	6.6165545216438	8.1221063927015	4.10730140321429	0.505694114879498	-0.983663105988248	0.466297459808804	1
LAP3	ENSG00000002549	632.117602226553	598.45644257315	688.219534982225	1.14999102027062	0.201622595898678	0.595810059036643	1
CD99	ENSG00000002586	1080.07508028306	1035.21505983169	1154.84178103536	1.1155573617941	0.157764698654404	0.359364727214922	1
MAD1L1	ENSG00000002822	259.497565300344	250.942633605433	273.755784791862	1.09090982611707	0.125531854374359	0.911134950750166	1
LASP1	ENSG00000002834	380.338572171903	368.895685644103	399.410049718235	1.08271813757012	0.114657717133305	0.762037902465228	1
SNX11	ENSG00000002919	345.034231116473	343.373062305734	347.802845801038	1.01290078920448	0.0184928731201961	0.938535492348921	1
M6PR	ENSG00000003056	802.225878901793	889.194634018553	657.277953707194	0.739183445964745	-0.43599564696996	0.373072326661535	1
DBNDD1	ENSG00000003249	5.06167293933078	5.74864039257486	3.91672718392399	0.681331048117563	-0.553572143303236	0.759661772862001	1
ALS2	ENSG00000003393	162.795788488319	172.532181051215	146.568467550161	0.849513793062487	-0.235290723085516	0.637633352899729	1
CASP10	ENSG00000003400	175.967463832796	185.752049897635	159.659820391398	0.859531943143476	-0.218376838711253	0.698937989615728	1
CFLAR	ENSG00000003402	11205.5717663278	11589.0095338658	10566.5088204313	0.911769792712099	-0.133258481940831	0.790592275637738	1
TFPI	ENSG00000003436	5.96054125110694	2.85395456624597	11.1381857258752	3.90272005644649	1.96447998143917	0.00194919236526582	0.314900501358107
NDUFAF7	ENSG00000003509	172.307735039648	178.599401623371	161.821624066776	0.906059161430024	-0.142322840294543	0.473046814579816	1
RBM5	ENSG00000003756	1298.77539915243	1344.11067970765	1223.21659822705	0.910056453455978	-0.135972052219117	0.522463465667586	1
MTMR7	ENSG00000003987	8.41058768665238	6.93359094466864	10.8722489232919	1.56805456365317	0.648975761839747	0.476902989882509	1
ARF5	ENSG00000004059	262.149968018005	243.948477302349	292.485785877431	1.19896540905613	0.261790036647832	0.196357107579694	1
SARM1	ENSG00000004139	35.1728496574797	33.6368625315539	37.7328282006894	1.12177014622851	0.165777094068162	0.717196415753869	1
POLDIP2	ENSG00000004142	525.969341025457	504.645563198595	561.508970736893	1.11267989195799	0.154038601926165	0.482349813114578	1
PLXND1	ENSG00000004399	491.050665404932	524.793473571255	434.812651794394	0.828540509155849	-0.271355859203407	0.676930249298879	1
AK2	ENSG00000004455	1545.70743116969	1493.51028602305	1632.70267308075	1.09319814423799	0.128554915924251	0.418669728114468	1
CD38	ENSG00000004468	30.9396010402861	22.7410056697657	44.6039266578202	1.96138760552359	0.971874666233483	0.359061222096033	1
FKBP4	ENSG00000004478	1955.56495611335	1832.87066116684	2160.05544769088	1.17850947884983	0.236963362351045	0.215927447552304	1
KDM1A	ENSG00000004487	890.487146809863	897.690421544881	878.481688918167	0.978602052371622	-0.0312057864233212	0.847439436115242	1
RBM6	ENSG00000004534	925.004476472404	935.848842084048	906.930533786331	0.969099381227722	-0.0452834731556864	0.859239802063917	1
CAMKK1	ENSG00000004660	89.4863879325104	65.351207062912	129.711689381841	1.98483999319203	0.989022709971418	0.108766243171997	1
RECQL	ENSG00000004700	332.072164958254	346.761551154256	307.589854631583	0.887035640507767	-0.172936022659988	0.587988232814789	1
CCDC132	ENSG00000004766	61.562698167658	68.8210380413561	49.4654650448278	0.718754997782842	-0.47642801228879	0.208910651711378	1
ARHGAP33	ENSG00000004777	391.600729883042	401.913761485816	374.412343878419	0.931573834382459	-0.102257976524501	0.606393148949366	1
NDUFAB1	ENSG00000004779	521.798564297967	508.030841319577	544.744769261949	1.07226712426948	0.100664356217246	0.701145583018631	1
SLC25A13	ENSG00000004864	18.3818754191664	19.5314412113176	16.4659324322479	0.843047487079786	-0.246314197474473	0.780806683395522	1
ST7	ENSG00000004866	130.35518089417	132.297736646169	127.117587974172	0.960844767240041	-0.0576247248902257	0.945394083217737	1
