Gene	expressionCSF	expressionDOUBLE	expressionFC	pvalCSF	pvalDOUBLE	pvalAVERAGE
ANXA2P2	61.2405527416644	76.8564018104613	0.796818	0.000165110545924662	5.59045984725368e-05	0.000110508
SLCO3A1	1273.29201653266	1466.76749462761	0.868094	0.000127546624001448	0.000113471391281958	0.000120509
HOPX	146.228568656495	205.456833230286	0.711724	9.7252546082142e-05	0.000158307476126219	0.00012778
SERTAD2	1295.50832328623	1905.28183272827	0.679956	0.000167510620753346	8.97096505332724e-05	0.00012861
DOT1L	6547.02714541175	8838.31179546301	0.740755	0.000225574026196053	3.20765796140867e-05	0.000128825
KLF8	33.1230048300016	53.5370974736265	0.618693	0.000241406221784926	2.9467202309042e-05	0.000135437
RP11-443B7.3	30.7458680179006	41.8445633754938	0.734764	5.6542180578434e-05	0.000218648471315211	0.000137595
IL23A	12812.4734461221	13175.8662784854	0.97242	1.57064097206059e-06	0.000276058008616715	0.000138814
IER3	11676.8609402382	15427.4159038539	0.75689	0.000271623463944277	5.12265188056443e-05	0.000161425
N4BP3	2423.26347890884	2699.11391085274	0.8978	3.13302467716278e-05	0.000298653389409073	0.000164992
RXRA	262.818051924109	338.943915712458	0.775403	0.000136258572578205	0.000218648471315211	0.000177454
SELPLG	578.069463108679	601.981647356068	0.960278	1.10261422158411e-05	0.000347507708503667	0.000179267
ZDHHC11	886.842461946843	1124.01062789875	0.788998	0.000148568852798736	0.000257567371490766	0.000203068
TIAM2	2014.54249844816	2246.79319690706	0.89663	0.000216085623694304	0.000250484335345892	0.000233285
DEPDC7	9.77832153052943	0.48718892075553	20.0709	0.000392396741559671	0.000115823949695733	0.00025411
RILP	46.817821108685	78.8172375434323	0.594005	0.00043960024923646	0.000201330415636197	0.000320465
MXRA7	78.2950911674105	80.2398823510091	0.975763	5.58596777202455e-05	0.000607288524194998	0.000331574
OSBPL3	3703.96229017731	4359.43633298426	0.849642	0.000357761236365812	0.000366083985364432	0.000361923
GALNT7	212.416943163538	253.846906008686	0.836792	0.000376689822349763	0.00036394145356658	0.000370316
CDH23	663.544693659469	668.207135064393	0.993022	6.96771698474518e-07	0.000747318726964873	0.000374008
SETD1B	701.709609164725	684.221287394738	1.02556	4.63371488180784e-06	0.000768931891748551	0.000386783
PTK2	32.9781633342057	16.4060536820858	2.01012	8.22241241053435e-05	0.000692889970579835	0.000387557
DDB2	703.182638444731	937.978269444096	0.749679	0.000726274513303349	0.000108236700538283	0.000417256
FOSB	7520.24907503544	12151.71601803	0.618863	0.000580976875154469	0.000473427654084511	0.000527202
ENC1	461.553383109538	912.091492784622	0.506038	0.00105772246342509	3.17660552899792e-06	0.00053045
NOP14-AS1	830.278412697217	1548.2810504077	0.536258	0.00114568536236844	8.58194613926871e-07	0.000573272
AHNAK	8965.93114463914	9690.18248492459	0.925259	2.27137072422636e-05	0.0011509152325888	0.000586814
GPR15	222.860630310394	312.937691384072	0.712157	0.000231611149293512	0.000947981163034869	0.000589796
RP11-317P15.4	50.0039912355398	54.9597422812034	0.909829	0.000702406699423443	0.000482034922720482	0.000592221
CD82	9120.26836055618	10019.8080580624	0.910224	7.48664383710899e-05	0.00116654552711563	0.000620706
TACC3	23.6251317453205	21.2779428896411	1.11031	2.06688554953175e-08	0.00129205243929221	0.000646037
CNKSR2	9.65122152993746	4.5162280056611	2.13701	1.33918347731555e-05	0.00130125999085575	0.000657326
TOP1	11105.0061228803	15865.4631784983	0.699948	0.00145639647129723	6.28672619060312e-05	0.000759632
KIF13B	402.790792054984	604.429672009795	0.666398	0.00156256586999514	0.000132730370014864	0.000847648
MICAL3	308.081930696549	247.235632746349	1.24611	9.14616461437485e-08	0.00171323002655033	0.000856661
ADRA2B	1090.5233694409	974.246337648508	1.11935	9.5476961405073e-07	0.00174749328314134	0.000874224
ZNF252P	25.0333981150918	10.4940227735888	2.38549	0.00112611954394718	0.000853559286498515	0.000989839
RUNX3	8869.51261243418	9580.24688567682	0.925813	7.64393053345168e-05	0.00192820658658714	0.00100232
IL13	8997.24700163214	6480.89854266544	1.38827	7.98811061936406e-05	0.0019579103622803	0.0010189
MIR22HG	1592.050293622	1674.40393346421	0.950816	0.000145950188941858	0.00222805823698923	0.001187
HCP5	745.954675140462	866.029996991036	0.86135	0.000407644972145505	0.00217656704587573	0.00129211
ING1	300.005269197325	420.686968585267	0.713132	0.00234704401692187	0.000242359523620877	0.0012947
ZFYVE28	67.1503929215303	98.8966691085295	0.678995	0.00109053857735367	0.00167677421523011	0.00138366
THEMIS	1330.74275485946	2265.31980877629	0.587441	0.00294862977822121	2.68199203117869e-05	0.00148772
TUBE1	398.899807072806	175.092750519841	2.27822	0.00306831651662474	6.94954325453711e-06	0.00153763
ETS2	6759.05587593834	8328.64105688361	0.811544	0.00165353049452406	0.00149195197911735	0.00157274
MAPKAPK2	11508.3126774214	12979.0205000614	0.886686	0.00013637359282699	0.00303148174074523	0.00158393
SCN8A	108.164035060347	92.4316854198462	1.17021	5.24910394315852e-07	0.00326278321020015	0.00163165
CACNB1	242.517129034208	191.474644102029	1.26658	4.39795569666385e-06	0.00326661402401451	0.00163551
PYCR1	205.52351571656	210.224036623721	0.97764	3.19455478840823e-07	0.00332585473744546	0.00166309
GNE	125.410546576952	83.8474963745898	1.4957	0.000260784614695732	0.00306951170588333	0.00166515
MEX3D	90.8870371461236	137.094696505753	0.662951	0.00292019555734119	0.000429117498344013	0.00167466
GZMA	35.1191733638976	86.5464964160901	0.405784	0.00331027626890096	5.14777805038295e-05	0.00168088
KDM5B	3118.93212357111	4371.29127134142	0.713504	0.00307227016514576	0.000504397588235571	0.00178833
PHLDB3	98.8499877793106	68.6520340669968	1.43987	0.0017306433711793	0.00191505078039387	0.00182285
EPHX2	43.3794662270814	21.2779428896411	2.03871	0.000930843150755948	0.00275795508306786	0.0018444
CTIF	31.4830119388911	49.5738222481516	0.635073	0.00325116159523709	0.000477063567765962	0.00186411
