Gene	expressionCSF	expressionDOUBLE	expressionFC	pvalCSF	pvalDOUBLE	pvalAVERAGE
ANXA2P2	61.2405527416644	76.8564018104613	0.796818	0.000165110545924662	5.59045984725368e-05	0.000110508
SLCO3A1	1273.29201653266	1466.76749462761	0.868094	0.000127546624001448	0.000113471391281958	0.000120509
HOPX	146.228568656495	205.456833230286	0.711724	9.7252546082142e-05	0.000158307476126219	0.00012778
SERTAD2	1295.50832328623	1905.28183272827	0.679956	0.000167510620753346	8.97096505332724e-05	0.00012861
DOT1L	6547.02714541175	8838.31179546301	0.740755	0.000225574026196053	3.20765796140867e-05	0.000128825
KLF8	33.1230048300016	53.5370974736265	0.618693	0.000241406221784926	2.9467202309042e-05	0.000135437
RP11-443B7.3	30.7458680179006	41.8445633754938	0.734764	5.6542180578434e-05	0.000218648471315211	0.000137595
IL23A	12812.4734461221	13175.8662784854	0.97242	1.57064097206059e-06	0.000276058008616715	0.000138814
IER3	11676.8609402382	15427.4159038539	0.75689	0.000271623463944277	5.12265188056443e-05	0.000161425
N4BP3	2423.26347890884	2699.11391085274	0.8978	3.13302467716278e-05	0.000298653389409073	0.000164992
RXRA	262.818051924109	338.943915712458	0.775403	0.000136258572578205	0.000218648471315211	0.000177454
SELPLG	578.069463108679	601.981647356068	0.960278	1.10261422158411e-05	0.000347507708503667	0.000179267
ZDHHC11	886.842461946843	1124.01062789875	0.788998	0.000148568852798736	0.000257567371490766	0.000203068
TIAM2	2014.54249844816	2246.79319690706	0.89663	0.000216085623694304	0.000250484335345892	0.000233285
DEPDC7	9.77832153052943	0.48718892075553	20.0709	0.000392396741559671	0.000115823949695733	0.00025411
RILP	46.817821108685	78.8172375434323	0.594005	0.00043960024923646	0.000201330415636197	0.000320465
MXRA7	78.2950911674105	80.2398823510091	0.975763	5.58596777202455e-05	0.000607288524194998	0.000331574
OSBPL3	3703.96229017731	4359.43633298426	0.849642	0.000357761236365812	0.000366083985364432	0.000361923
GALNT7	212.416943163538	253.846906008686	0.836792	0.000376689822349763	0.00036394145356658	0.000370316
CDH23	663.544693659469	668.207135064393	0.993022	6.96771698474518e-07	0.000747318726964873	0.000374008
