gene	GMCSF+
RP11-383J24.1	1.28628861847083
MIS18A-AS1	1.16856444298751
IL13	1.37386598757957
EGLN3	1.28946163327334
RP4-575N6.4	1.37367429297638
CTSA	1.31921900676312
CAPG	1.30369741144016
C6orf99	1.15709163127122
ZNF668	1.15420714779725
PTGER4	1.17545040824711
RP11-356J5.12	1.52834796850279
RP5-977B1.7	1.5219656805876
SDC3	1.41766981947256
RP11-365H23.1	1.44329385005551
AC132872.1	1.4254744659467
TMEM140	1.30794538574176
RP11-661A12.14	1.3284228737326
SETX	1.32810983122283
RP11-435B5.4	1.27181718972746
TRBV4-1	1.17443584572769
PLIN2	1.10973087857113
GPER1	1.31358438969463
IGF2BP2	1.41957126741314
RP11-645C24.5	1.47641316505414
P4HB	1.53036560024691
RP11-982M15.5	1.49486357224867
CR1	1.51699221259623
IL9	1.43247873248806
RAB11FIP5	1.4249946350885
ELFN1	1.39472133959444
BCAR3	1.45948104303188
MBNL2	1.58943553122632
CYP2E1	1.59493819375664
GATA3-AS1	1.58229858949008
WNT9A	1.64209425360538
RP11-89M16.1	1.53594355366104
RBMS1	1.55072960856926
IL1RL1	1.48701473549113
FAM9B	1.56616224099587
ATRN	1.57481680399386
LAMA2	1.55220405251218
ICOSLG	1.53839277710188
BAI2	1.55904223883879
HDAC9	1.61878804796653
CAMSAP2	1.64741619169868
PTHLH	1.61821718612219
TNFRSF11A	1.65074837243372
CHDH	1.64167717704695
PCDH17	1.62260843544235
C4orf36	1.4990167465026
AIRE	1.50620548615085
GTF3C4	1.63792660552247
GNAI3	1.60176295767979
RP11-178G16.5	1.66233490252754
MRGBP	1.64644298522978
ZNF444	1.69368614931937
DUSP8P5	1.60286799342121
BAIAP2-AS1	1.64255001593373
H2AFZ	1.7404430018545
IL5	1.73013712665384
LPAR6	1.73289386017679
ZNF462	1.71904259592431
SLC22A3	1.71699984575891
C20orf196	1.74930372098528
LONRF2	1.76521299892635
MAFA	1.69588957142945
ASS1	1.70380203692487
TOR4A	1.68248948442496
EEPD1	1.7149215885116
IL17RB	1.7372307685578
SOWAHC	1.73925302185974
TWIST1	1.70383649836905
CDC42BPB	1.6288527788646
TEAD1	1.63234348494674
CITED2	1.59061505142482
CACNA1D	1.62611940170371
THOC3	1.59210652622479
CRLF2	1.51510437745942
RP11-884K10.7	1.71708911836671
NOTCH2	1.68040999107185
DIP2C	1.67724187716662
SQSTM1	1.67273058123312
RAD50	1.65654557871351
FBXL2	1.71533889252455
DUOX2	1.72431580173926
ADSSL1	1.44544011415951
NRG4	1.494276943033
AC139100.2	1.6072157971753
UAP1L1	1.65898686399225
PPIB	1.38247510759929
DPF3	1.57038467940683
C10orf91	1.56056144924101
IGSF6	1.62033071981561
PTGS2	1.60152062978759
TMEM143	1.5001245739738
RSPH9	1.66890607407715
TULP2	1.59809218647917
IL9R	1.64871887829835
FSCN1	1.6667235678912
EIF3J-AS1	1.32726148942429
TMED6	1.36135836511346
PLXNA4	1.48968883245746
BOLA3-AS1	1.5316615208522
UFD1L	1.55893031894079
RP11-350G8.7	1.4738628746627
TMEM163	1.49268148466883
DYNLL1	1.44434727954234
TUBB4B	1.50973414657342
ATP6V0A4	1.53505427018133
PSMD6-AS2	1.53486228583263
RP11-467D6.1	1.61837188613404
PLOD3	1.64686982051732
TGOLN2	1.63842345387162
RPL7L1	1.63001730629798
FSIP2	1.65829001350702
C3orf62	1.55170921558391
COX10	1.53147028260818
ZSCAN5A	1.66423726310592
SCN4A	1.67218372576313
PLXDC2	1.61712292254078
SEMA5A	1.64404135218375
TRBJ2-4	1.72721727166659
CDCP1	1.73582817318413
BACH1-AS1	1.7173937264278
S1PR1	1.70503738049874
VCPIP1	1.69864494825029
RAI2	1.67561783398351
RASD1	1.70292078491167
AC098614.2	1.74665453243646
SSX2IP	1.7472648133573
FSIP1	1.69473031209363
AC073065.3	1.4625652629182
AC112721.2	1.48758943204691
TLN1	1.512426339693
RGAG4	1.3971415539839
ZNF443	1.38513186108707
GPN2	1.39733267525327
EML6	1.40853319481969
PITRM1-AS1	1.31659752766382
KIAA2026	1.30253294168886
SERPINE1	1.40724945502272
EIF1AD	1.37453725679077
XBP1	1.35763674305373
RP1-313I6.12	1.38936033927507
PSAP	1.32116423751722
WAPAL	1.31614969368592
ETV7	1.24433126001964
CDC42EP4	1.29674767920703
NPHS1	1.34733955303438
C6orf106	1.23525486163511
TMEM127	1.23520681392523
RP5-940J5.6	1.28347163014035
CYLD	1.24031584831425
KBTBD8	1.30504636339022
RP11-426A6.5	1.34932540460988
CTA-29F11.1	1.38965329384796
TOR3A	1.39427702699282
MLF1	1.3841747363652
KIAA0040	1.40478377129482
RTN3	1.46131655972898
RABAC1	1.47660618861626
METTL9	1.41790981908364
PSMC4	1.39589833425385
DSTN	1.44597592158263
C21orf67	1.48934607938843
SERP1	1.39929017868579
ITIH1	1.35215393511399
QRFP	1.3828518919528
TMEM119	1.30053269573213
SEC61G	1.56159323096525
KHDRBS3	1.53226996019279
TMBIM6	1.49370348153856
AC159540.2	1.54671829596895
PODXL	1.5642049142818
RP11-553L6.3	1.59579821509024
RBM4B	1.58211128503395
TXNDC12	1.61766728184294
BIK	1.61190106214209
ST6GALNAC2	1.62194150341771
WNT10A	1.58597991168619
USP27X	1.53791192574605
SPCS2	1.50547383889593
TNRC6C-AS1	1.46925793625208
BAG3	1.41834523505135
PPAP2C	1.4162014632786
NUDT10	1.44855128361209
B3GNT9	1.40404529268943
LATS2	1.45777849932256
CABLES2	1.48535521417835
PLEKHO2	1.32792893173239
LINC01010	1.39552059159678
IGF2	1.37159869095287
KIAA1614	1.37462857115866
FAM212B	1.40593345532016
MAP3K11	1.40075902898453
GLIPR2	1.38568102350248
PRKD2	1.36851568977701
POLR2A	1.34503438048414
C2CD4C	1.4352853119768
TGFBI	1.430718882403
TMC8	1.45349472766554
MEX3A	1.36423725815051
AC004490.1	1.52440146655823
FAM131B	1.55703947606046
KCNA6	1.54489089117431
GAB2	1.53977057912249
RHBDL3	1.52221940501913
HAUS2	1.49005256260987
CTD-2526A2.2	1.57250220603518
KCNT1	1.56119314134861
RFX2	1.58853625187167
LINC00923	1.54226350037619
NGFR	1.54651542194802
PSMD1	1.62948929871322
ZFHX2	1.59722423784667
FAM13B	1.57656855240721
AXIN2	1.62512939594142
TMEM200A	1.60066676805718
RP5-1021I20.5	1.61922919553644
ASMTL	1.65526272198874
RNF8	1.66116216199973
DOLK	1.66581268428533
SEMA4A	1.60954524667028
ZNF365	1.62955125382717
CLP1	1.57364120612818
ARF4	1.66092115493668
CPT1A	1.64986110770698
RAPSN	1.71204029164004
FTCD	1.69778033234963
GJB2	1.66031934628834
ORC4	1.71526192081922
ITGAE	1.69921148172958
RP11-498D10.6	1.71410661406021
RP11-430B1.1	1.69700013600418
RP11-495P10.2	1.672195609721
TNFSF10	1.68112035083352
NEK10	1.66757852261838
TMEM14C	1.7263584409686
CDH1	1.72061170026595
IL4	1.72294256592227
NEFM	1.73565448127482
