gene	IL17A+
GRAMD3	1.14613619443742
CHFR	1.12446849893614
PRELID1	1.10975144590459
HIF1A	1.11774415046303
NOM1	1.21094912608755
RP11-700J17.1	1.16939466621794
MBIP	1.15536354736813
NAF1	1.1544602733485
HSPA4	1.03614428205201
AC008982.2	0.946782753052119
ICT1	1.01400646806414
SLC39A10	0.943514250240215
TSFM	0.858999062105011
SMKR1	0.717064165677001
C12orf29	0.74667130742087
PARL	0.878881234648485
PAXBP1	0.892365950109872
UBE2Q1-AS1	0.731967958316914
PSMD7	0.679463917813834
EI24	0.519062459465123
PAFAH1B3	0.587147595142768
ILKAP	0.683459066103313
NMD3	1.02812007456922
AIP	1.00746975151428
UBL4A	0.939215035076144
JAK3	0.995864217529907
STARD7	0.971081470589982
RASGRP1	0.985045869069899
HDAC2	0.969562838938977
VAMP4	0.918743711087962
NAA25	0.972916692945697
THOC7	1.0295502991236
LLPH	1.0002038259931
VDAC1	1.07385242526332
FAM105A	1.05653239051832
TRAPPC2	1.14135445183326
TMEM109	1.11437159858248
MRPL46	1.05330577475776
NHP2	1.28715338142418
SCCPDH	1.29053680137987
PRKAB1	1.35711811470152
RP11-642P15.1	1.2082266522908
ERH	1.29532670820853
PSTK	1.39235201331811
MRPL34	1.40065533857912
KCNK15	1.39610582077364
CCT7	1.20283804653594
CLPP	1.28034619071235
RNFT1	1.2737721866315
LDLR	1.27197557914511
IL21-AS1	1.30509675675557
RP11-713P17.3	1.26679753719179
VDAC3	1.23437473667173
NCK2	1.22370593140039
TRAV2	1.17926720035226
RMDN1	1.20248519693944
PDCD2L	1.23922398491268
AGMAT	1.0818666326593
SEH1L	1.09098470891529
GTF2E2	1.09229088517985
DCTPP1	1.09956574142269
PMS2P1	1.20922105258312
CDYL	1.38030366892378
SLIRP	1.42973154417194
PPP2R2A	1.4036910224738
TOM1	1.4505625962612
ISG15	1.43213882747742
MZT2B	1.4071474672629
LCOR	1.34359464135081
TCAIM	1.38275167995731
UTP23	1.58559412055179
GIMAP6	1.5137186458454
RPL21P28	1.52218825664173
PABPC1	1.46448371730382
SUB1	1.25680774873057
FBL	1.24795136574335
AP000254.8	1.36825771220093
F8A1	1.33547765002698
DGKE	1.28321503685141
NCDN	1.23349953815924
SLC25A40	1.18976208719525
NUDT5	1.23662572643306
NXT1	1.27051561413651
PPM1M	1.45011991518337
PFDN2	1.39144150333365
RP11-175O19.4	1.33516360338448
MAP1LC3C	1.24916153414638
APPL1	1.28304726552815
RCSD1	1.10036471457789
JAK1	1.09813385622976
MAK16	1.25306533918676
ETFA	1.20707041355655
FOXP1	1.24223480985515
SLBP	1.14180083674693
WHSC1L1	1.20772261457151
FAM188A	1.26564817198167
