gene	IL17A+
CNKSR3	1.25855961394942
METTL2A	1.21613017219535
AES	1.3056476654614
FKSG52	1.42524818795328
IL1RAP	1.39544591092593
AMZ1	1.32246496472961
ROMO1	1.36220757004488
RP11-69E11.8	1.13417274397716
ABCC9	1.12379519500996
RP11-313P13.5	1.07373564859952
RP11-638I2.2	1.084363077799
CTRC	1.02426087713326
RP11-47I22.3	1.26744583070735
RNF31	1.33483562664236
CD79B	1.32410702142885
RP11-495K9.5	1.15573596666462
C16orf46	1.24180453786301
UBQLN4P1	1.25989263521284
CD79A	1.30622289842506
SUSD3	1.14512435291477
NDUFA4	1.01535058330804
FAF1	1.02750874936453
SLC9A7	1.10388663276719
AL591025.1	0.9920951992878
FZD6	1.03923353938307
RP11-151N17.1	1.48876678404386
SERPINA1	1.4296746790205
USP3-AS1	1.42714717947595
AC092669.3	1.56470113439656
DOCK5	1.62744603539249
CTB-151G24.1	1.36164432382518
GM2A	1.42877698034732
CD9	1.47387387793879
FLNC	1.38281304171428
ST6GAL1	1.30863466502618
AC024560.3	1.44687041596788
TTC21A	1.33339105011143
RP11-166B2.1	1.18576025635658
EPC1	1.19946960374143
RAB43	1.16964999654086
SNORD12C	1.35780342458625
IGBP1-AS1	1.36310454683029
ETHE1	1.37546043765378
AC022431.1	1.46498758603864
ATP1A1OS	1.47918615539046
RP11-690G19.3	1.00653501220933
TRAV19	0.989523016165591
GHRLOS	1.17144062940997
ZNF385A	1.17202738324094
RP3-467L1.6	1.31887630951939
CD101	1.19593388192203
RP11-273B20.1	1.15406134260096
HSD17B12	1.19161566644063
RP11-351D16.3	0.84633905646872
SNORA84	0.62821478984971
ARPC3P1	0.766427901922968
HIST4H4	0.824098023919798
RP11-98D18.3	0.83762829094137
RP4-561L24.3	0.619269657974215
PP2D1	0.544730358531422
KIAA1045	0.740765413847925
PDE12	0.660393292429458
GNAT2	0.600924937820441
EIF4BP6	0.50852991197493
UGDH-AS1	0.6124825982859
NUTM2F	0.609339917225176
CTSF	0.510961529356335
FRMD5	0.483935227013919
TRGV5	0.747768606649639
ANKRD18A	0.714383540567222
HCCAT3	0.687484539409846
ETF1P2	0.539018856127066
DALRD3	0.805357287372286
PHF7	0.639138830921764
ALMS1P	0.97050001543311
SAP18	1.09920134352038
ADAMTSL3	0.940310579888204
ITGAX	1.78047449023068
LYZ	1.78420867722044
AP000662.9	1.78363732000448
HIF1A-AS2	1.77147797767401
ATP1A3	1.77883015967215
NCF2	1.77548718514145
SPP1	1.76907433112514
SNORD11	1.74487520317742
CTD-2619J13.14	1.74490114996004
SLC7A7	1.77945767721884
SLC11A1	1.78226348448997
RP11-840I19.3	1.77334532449452
NOL9	1.75143173285011
RP11-552F3.10	1.76745257392768
KCNK1	1.74531639872964
MARCKS	1.78183276364562
FCGR2A	1.77612354480794
SIRPA	1.76388528162311
INHBA	1.76303293697159
MMP14	1.77339326225014
MMP1	1.78800649667775
MMP9	1.78778595105801
RP11-29H23.7	1.78779111141805
ANPEP	1.78875796028565
S100A9	1.78880715770519
MMP19	1.78882629968527
IGHG1	1.7886288033324
CXCL5	1.78882670511896
RP11-983P16.2	1.78821143267556
