gene	IL17A+GMCSF+IFN-
C3orf58	0.981196412478065
CLTCL1	0.968839754022909
RP11-317N8.5	0.889666461516415
TP63	0.999255335784038
AC024580.1	1.14369602833967
MTF1	1.06469653894071
IL31	1.0335651546676
IL17RC	0.998985903720815
IL17RE	0.93412276728872
RP11-705O1.8	0.99710705037441
GPR107	0.953227346344056
ZBTB16	1.26908484307507
PGRMC1	1.28380241001275
HSPA5	1.26693745430087
NCR3	1.18973575284604
ZC3H12C	1.18350094901552
NSUN6	1.23074304187116
CACNB2	1.23287543491264
CPLX1	1.28002997700291
LASP1	1.28835194817498
PPP1R26-AS1	1.25000090308008
HRH1	1.1858983835044
IRAK2	1.1941326256772
TEX30	1.2432839168102
PLA2G4B	1.16533133000971
LINC00511	1.17560192844179
DAGLA	1.18313614499685
TBKBP1	1.16387920692054
METTL21B	1.19341465269554
DNAJA1	1.0771382322651
RP11-499P20.2	1.10829293928618
TBC1D8B	1.14310362706841
RP11-466P24.2	1.19850626722608
FUS	1.00058456790444
RAB7A	1.05763977403292
DPM1	0.910259937299618
CTB-47B11.3	1.0920692418175
MPZL3	1.13976141722523
VLDLR	1.07558362323719
IL23A	1.03195865226158
AC005264.2	1.08151646498705
ABHD5	1.06310046276516
HRAS	1.15041501782786
TMEM120B	1.14336286162971
C16orf91	1.16300207532907
SMTN	1.10721595418139
DANCR	1.09991473814723
SND1	1.13243859779929
SPTY2D1	1.06972460948708
SOS1	1.09017291953958
GABBR1	1.11459663418127
UBXN10	1.18408260990151
GDPD5	1.18136316495185
LSMD1	1.15496501988825
USP46	1.17865937956344
ARHGAP31-AS1	1.19860253264239
CBL	1.21646329720268
UBE2I	1.16638122682626
ECT2L	1.09777104613306
KLF13	1.41407713771504
NDEL1	1.4272641208854
IRGQ	1.40693334782511
TSC22D4	1.40922458321014
SUPT3H	1.32355612045917
CYB5D1	1.37308011378874
SLC35B1	1.36653463020135
ANXA2P2	1.28315084725341
STX10	1.27293621967796
KCTD15	1.33323893780291
BCL6	1.34474131518771
GNAQ	1.32300369919162
MYO1C	1.26942785188158
MPRIP	1.28255356206646
LMBR1	1.38622639140677
ARHGAP31	1.37348129415495
RP11-443B7.3	1.35680497713966
RNF13	1.36404428823457
EDF1	1.33741878099773
RXRA	1.36668884255232
RABEP2	1.35895086978532
MKI67	1.25343520183792
UBAP2	1.22973238485941
RP11-103G8.2	1.29081777503905
DUSP6	1.28143528619002
DLGAP4	1.25789990954722
CFH	1.26696726721652
C11orf95	1.24685444328856
MASTL	1.28853386852827
FLNA	1.2569321860458
RP11-809N8.4	1.31138323994432
SPTAN1	1.34577813353084
TRAJ7	1.36137621676681
BDP1	1.41649733572169
RP11-644F5.11	1.25962427836431
CTD-2228K2.7	1.30052707816701
ASMTL-AS1	1.25995268842592
SMEK1	1.21060055692549
AP000240.9	1.23175926216265
SVIL	1.17573932533576
AIF1L	1.10402222476681
SPATA32	1.16183448143619
HDLBP	1.17925113402421
AC005546.2	1.27113362255643
RP5-1109J22.1	1.32598685972096
MTERFD3	1.15157103810739
TREH	1.21840820632059
MAPK8IP1	1.25531213039458
AMICA1	1.33954168630953
DOK4	1.3735286717679
SKI	1.40305800357119
AHRR	1.44057639354656
RP11-313P13.3	1.43821955785924
RP11-427H3.3	1.42157284801222
RP11-1094M14.4	1.45650149780661
RP11-326I11.3	1.37786816316708
ALKBH5	1.37721194888045
AGO2	1.28373671175013
PHF5A	1.27951284841012
SOX4	1.35438146586807
GNA11	1.37302402605004
GATA3	0.968741593229567
NPTX2	1.01133913396099
MGMT	0.991886402269857
RNU6-1262P	1.15212588661324
KLHL35	1.20727412274938
FRY	1.17966002896167
RP11-526I2.1	1.13558170365077
CBWD7	1.1353594115889
PHF5CP	1.01837067151381
NFE2L2	0.994290489945502
RP11-473M20.16	1.08203159194774
SAR1A	1.10311823915337
RP11-140K17.3	1.09480458218311
KANK3	1.50649264439162
DGKI	1.50041549970078
LOXL1-AS1	1.51293335240395
CTB-58E17.1	1.48361594990454
WRN	1.54511101279227
DLG5	1.53076066255381
SYNE3	1.5591535209858
XYLT1	1.532005650866
CYB561	1.52010437483967
APOM	1.47013671838858
ARL5B	1.54290236966956
BYSL	1.54199463286307
RILP	1.55501724523925
IRX5	1.4811164116358
KLF8	1.50951014895023
GPSM1	1.51244851101631
HIPK2	1.51801996205402
SERPINE3	1.45691067576668
KIAA2018	1.47024329273922
UBIAD1	1.47244404271816
ARFGAP3	1.41399163318474
NACC1	1.44865388888571
CLOCK	1.4199704874313
IER3	1.39714194972519
SCAF4	1.38367289372324
OSM	1.39788555714482
HIVEP3	1.41762570447636
PRSS12	1.35628152729428
RPTOR	1.33635465898741
LANCL2	1.40168113588132
RCOR1	1.38976923918641
GPR171	1.39777707585966
MCM4	1.43341017683732
RELT	1.43183187862374
SDC4	1.43470696974204
PLGRKT	1.46469193866852
RABGAP1L-IT1	1.44873672906523
CORO2A	1.47055286963304
MAP2K1	1.44017608987691
LIF	1.467993968223
MBP	1.4394498313727
SRSF4	1.47553879511671
RP11-547D23.1	1.47779841047619
RP5-1071N3.1	1.48372187301347
AC010733.5	1.54714094373171
CD96	1.51652112060204
TSR1	1.55322958719528
TNIK	1.54784381635146
CSF1	1.50062594745446
TPD52L2	1.50487056532255
TNF	1.53238065939189
C1orf122	1.5451431425406
B4GALT5	1.54908066338568
ATG2B	1.57352517782074
KCTD7	1.50048272005519
AK4	1.48491459550695
PQLC1	1.50503349011926
TJP2	1.49880846158283
STIP1	1.52900103502639
TMBIM1	1.51151556420554
RABIF	1.5118261828561
HOTAIRM1	1.47862775950753
EFHD2	1.51456356120143
TIMM8AP1	1.47582059816513
FOSB	1.50712685475879
TRIM33	1.52631213968556
CEP72	1.5628067607239
LLGL1	1.55957869061457
CTD-2547L24.4	1.56610289990085
THEMIS	1.59119545602044
ZNF259	1.54779080267874
EIF3B	1.54647997546054
HNRNPA2B1	1.5560403979431
BICD2	1.52767287661971
SEPT2	1.52895802960348
JMJD6	1.52185335646042
SNORD3D	1.54222689448905
ITPRIPL2	1.52991410954628
RP11-134N1.2	1.5157707622496
ABHD16B	1.52278607400715
ZMYM6	1.38820535860857
STX1A	1.38346699300173
KDM5B	1.42030455549868
LRRFIP1	1.36695848638788
MIB1	1.36827596104677
RP11-466H18.1	1.41930070111612
EVA1C	1.44220994089193
ZFYVE28	1.43815801140395
RP11-458N5.1	1.45158087104151
DNAJB6	1.43068890982578
CRK	1.42706731435203
ST3GAL5	1.43850621483912
GATAD2A	1.39154819385536
HMGB3	1.41652896382361
TOP1	1.40271571931493
PMPCA	1.37709933737149
PDIA6	1.36017309998878
PSMC5	1.36426027367512
KPNB1	1.29065591283228
TBC1D10A	1.29217649399838
STK3	1.30929282960883
SLC16A3	1.2374995539833
RP11-486B10.4	1.236665827222
SLCO3A1	1.20976676345645
GDE1	1.27406321321514
MAFF	1.24687179182998
APOBR	1.19740301396173
TRIM8	1.26672178840008
USP38	1.26070247166131
ZNF653	1.31302564716457
CYFIP1	1.29175379997872
RP11-134P9.3	1.32608748973965
AC079807.2	1.34566950297833
LMNA	1.36985062593309
UBE2Q2	1.30160525587884
ITPK1	1.31655919862999
ADAM15	1.36502706006196
EIF3A	1.37204793458799
C9orf89	1.28374362560291
CHST7	1.29116874532138
NCKAP1L	1.26936461068376
RP11-138I1.2	1.26932157664939
IL27RA	1.25190698142311
TMEM185B	1.25384863521624
ELF4	1.24620634989727
ZCCHC10	1.16292394057908
RGS1	1.20422826169134
RP11-545I5.3	1.16663603718682
PURB	1.2535206998099
CUL1	1.2181595304528
PLEKHN1	1.20742134744459
DDX60L	1.19576793967894
KIAA1551	1.16914413981442
ABRACL	1.16850651940124
SLC2A3	1.19418328130571
AC009120.3	1.20838062019009
RHOF	1.19197449680297
RP11-39K24.4	1.29594135432229
CKS2	1.32002635998527
CTD-2521M24.9	1.26978298982566
SCAMP1	1.28143682719836
MTND5P14	1.24833128509546
C2CD4D	1.24995804952441
SH3BGRL3	1.16974577838533
MAEA	1.19878436408761
RPS26P21	1.21329399071113
ANXA2	1.2290859948853
MFHAS1	1.22852802922105
PHTF2	1.24445254709189
LAMB3	1.2282510741612
TSTD1	1.37706433688601
CD99	1.37966886310557
SERTAD2	1.41468965864175
CLDND1	1.40423673620389
TOB1	1.32269730329531
RPPH1	1.39748481667774
HK1	1.38248419773097
ATP2A2	1.36977987071961
ANKH	1.41465628219858
NUFIP2	1.40962113991281
B4GALT2	1.37914883766155
NPEPPS	1.43476427688207
MYO9B	1.43273164148741
FURIN	1.48344907696108
PPP1R14B	1.45306083164236
PSMD14	1.44886004323707
AC147651.4	1.4864332661234
C19orf26	1.50399465414767
MARCH2	1.54223730699133
ARHGAP15	1.51248624936225
AL450992.2	1.52726502038127
LDOC1	1.48005680510901
BRE	1.47407911231345
RP11-211G3.2	1.4970155644188
PLXNC1	1.4285478856417
DHRS9	1.47370698234957
THEM5	1.47448476253508
RP11-368P15.3	1.50519512948521
PPIF	1.48580028360426
ITPR3	1.502658929084
RAPGEF1	1.45887499732196
PLIN3	1.48969595719138
ID2	1.39405079060822
C3orf14	1.39196324403327
MAN2B1	1.40352961455954
ICAM3	1.3397149343267
PARP9	1.38360954441865
NDUFA6	1.36984561508507
BANF1	1.3380629887732
RP11-346D14.1	1.36765417210771
MAP4	1.38562612024421
RP11-46D6.1	1.46050292724071
RP11-973H7.1	1.45455712138023
PKM	1.42659801675139
FBLIM1	1.4999547522178
MIPOL1	1.45673114181936
SGMS1	1.23041133204543
GRPEL1	1.21648613091554
NUBP1	1.18087543529579
RACGAP1	1.26695260929902
RNVU1-14	1.12291562672572
CTSL	1.16684847555246
RP11-62H7.2	1.2783578631385
SNX29P2	1.25285286484281
RP11-72I8.1	1.25039052713318
FAM109B	1.23592761066896
ZNF295-AS1	1.27577187959754
PAOX	1.25792150632014
RBM38	1.30423723430045
MRPL41	1.22460104833723
GNA15	1.25694230400577
TAB3	1.30882404988
OGFRL1	1.3246711598046
IL6R	1.32357677267911
MCUR1	1.27287008585102
REEP3	1.26974939039596
TAB2	1.27496745610598
LINC00520	1.28115827140024
DRAM1	1.30017406258069
PTDSS1	1.33360670991851
SSR4	1.27625168841177
KMO	1.31031168912206
NPIPA1	1.29229521481425
SNX6	1.27675197906454
RP11-403A21.2	1.23863164189775
TMEM212	1.22685303312055
FGFR3	1.28984084267545
FUT8	1.26960606533635
AC000123.4	1.19541928653422
BEND3	1.22214352679684
hsa-mir-8072	1.14562314809266
PSMB7	1.20394456766017
MLLT4-AS1	1.41387602255457
TIMP1	1.39726372971722
ZMIZ1	1.42032876406126
DOT1L	1.40966017057086
RP11-368P15.2	1.3650872678065
CPSF6	1.36139571207762
HECTD1	1.3507270465268
LPP	1.33122333082826
RP11-56B16.2	1.32108518726093
SMCO4	1.29241488131146
PHLDA1	1.37007627506794
C10orf128	1.37697793582437
PRKCD	1.32097479447049
CCSAP	1.37863929234931
RHPN2	1.32228694685664
GLO1	1.34903845563937
SNORA31	1.41564531394918
RP11-119D9.1	1.38560243627806
RP11-432J22.2	1.45965178669765
TBXAS1	1.44515828218427
MB21D2	1.51643380249863
RGS9	1.50345255167248
AC008063.2	1.51816354080677
MGAT4B	1.41363387884515
GPC1	1.44072630946705
MICALCL	1.50093860161475
DAP	1.49720090290713
TRAM2	1.4784511029297
ZMIZ1-AS1	1.48881044240325
S100A4	1.47127883235328
DKFZP667F0711	1.66112306538786
TRAF1	1.67048065772944
RP1-102K2.8	1.6388941656989
HMSD	1.63781326741311
KCNH4	1.65715273536722
RNF207	1.69566840280303
MICAL1	1.69032948044326
AC017099.3	1.61822172917476
ARMC9	1.63535257746972
PBX2	1.66825728377589
SRD5A3	1.66654061555954
AC012360.4	1.6456897687692
TMEM164	1.6254407713276
LIMK1	1.6139844016964
LNX2	1.62172473026037
DOCK2	1.6407130870356
NCBP2	1.63587020135375
NOP14-AS1	1.63759015671301
NONOP2	1.63553730571252
RP11-484L8.1	1.60655725386799
REV3L	1.61436084461923
BRI3BP	1.61682961048452
TMEM184B	1.64902520232024
MNT	1.63525948486064
SMC5	1.61855351278969
GALNT2	1.59015333960671
GCH1	1.61826449050232
FARP1	1.61357701631823
ZBTB46	1.60957372531605
RP11-402G3.4	1.62659902006333
RP11-370F5.4	1.62567604748342
TAPSAR1	1.63099389332339
ABHD11	1.62648833057282
DOCK9-AS2	1.57922858014632
MLLT4	1.59419325712263
DCUN1D3	1.59323012784128
LUCAT1	1.55915620956809
DSE	1.5748270679932
GPR87	1.55626141689023
LTA	1.57683106952483
C5orf55	1.60131432663366
RP11-505K9.1	1.59884945280891
PLEKHA8P1	1.6139694749902
RP11-249C24.10	1.62941548123839
RUNX2	1.61777168330432
NINJ1	1.6347988723915
TRRAP	1.64589426731547
TBC1D3F	1.64404869521155
CDH4	1.65582738671005
FES	1.63242364396847
LTBP1	1.63166649592118
PLCB3	1.65447796884906
CTD-2547L24.3	1.6139488544661
TKTL1	1.61610510775518
TUBB2A	1.62175163613734
GPR68	1.60176596341239
MIR29B1	1.5830372645686
WHSC1	1.56174238971389
RP11-486M23.1	1.55629213635366
CTXN1	1.54011288754441
TTPAL	1.6028077891728
ATP11A	1.59396712360196
SH3BP2	1.60031990535501
CLCF1	1.60151197465252
ANP32A	1.60372805198525
KIF5C	1.55454068628178
RP3-467N11.1	1.56183546240186
NEO1	1.57738692721236
LST1	1.53233885611302
RGS18	1.51196194195496
NACAD	1.50961798809457
AL121985.1	1.55599845251473
CHKA	1.5415854203193
RP11-386G11.5	1.51364664778224
COL5A1	1.57919377094904
ELOVL4	1.57272898612756
RP11-44F14.2	1.56128182368614
TRBV11-2	1.60655055175741
ANKRD18DP	1.59214466532346
SNED1	1.5150063137775
CSNK1G1	1.55670715175859
GPR65	1.54335734979659
EAF2	1.55993909392101
TRIM69	1.56435787454272
PPARG	1.56369886024964
SLC22A1	1.57960396952398
RP3-368A4.6	1.56237724629733
PTPN13	1.56701138313842
TUBB2B	1.49541680839565
APOL2	1.51061323346565
RP11-290D2.3	1.52595541385636
XIRP1	1.57370543381178
TSPAN13	1.55949674850796
NUPL1	1.55665268324077
S100A6	1.53569393888704
MED12L	1.54114526123177
CTB-111H14.1	1.55872149275213
NOTCH2NL	1.5976815946641
C11orf72	1.60517370438361
IRF2BPL	1.58434792705174
CSF2	1.57724811055406
ARID1A	1.57450583229463
RP11-521B24.3	1.61021020750393
RP3-355L5.4	1.60851754517684
VAV2	1.44031171853321
SLC16A7	1.44573606508391
ADORA2B	1.50041671809264
CDCA2	1.41096780791173
ELL2	1.42783831478875
SDCCAG3	1.45742023779009
SAPCD2	1.49241520878193
FAM111A	1.48410534793988
RP13-516M14.4	1.51237050466714
SRP72	1.13893291314532
GFPT2	1.15122301145424
MIR22HG	1.03550583471691
NLRP3	1.01311108844642
RELA	1.03313890319453
C10orf55	1.02907465927731
C10orf105	0.996475731951994
RP11-215G15.5	1.01863102039551
CDH23	0.995258031220515
MED1	1.01521195326386
PVRL1	0.9670390914587
PDP2	1.00785473907136
PIK3CD	1.02160903543591
DAXX	1.04369847126629
SS18L1	1.01384466742476
ANKRD33B	1.0288995606233
LINC00310	1.02040180757903
SERPINB8	1.0876781901196
CTNNB1	1.16224097009253
MESDC1	1.10704128400821
RP11-17G12.2	1.10345964183783
SENP5	1.12072221411487
RP11-973N13.4	1.02088229603292
TPPP	1.02512119945731
AP4M1	1.03286981337763
CHAF1B	1.04896675336269
ORAI2	0.944830007367727
TSPAN14	0.942210676460452
ATXN7	0.955774754765224
CDK9	0.96017819790631
RP11-58K22.4	0.941072598949488
ZSCAN22	0.962809972248816
SMG1	0.88143367650085
ATP10B	0.900932259358856
BSG	0.825297056901
RAB1A	0.810675447140836
AC003075.4	0.776856627750538
CEP170B	0.801038900153854
PLAU	0.925114604666741
PHF19	0.868711264598563
ANKRD36	0.882418097341792
ZBTB1	0.897432959046029
ZNF674-AS1	0.828742332960354
MIR222	0.943553079123931
RAB15	0.92637051550689
SURF4	0.84138590682313
NOP2	0.834282292206506
AAED1	0.806328187982911
KPNA4	0.783150971660393
IFFO2	0.753623734793787
SETD1B	0.85470234342335
RP3-395M20.12	0.9865801337601
ARHGAP30	1.02996411672379
OSBPL8	0.952633322030826
AHNAK	1.02772594398787
TNFSF8	1.0567495192146
CLSTN3	0.976314087921801
F3	0.989780477813275
DDX3X	1.00645490137962
N4BP3	1.12491661918553
VHL	1.08080907424781
RCC2	1.14586821785898
RETSAT	1.14514087239794
CACNA2D4	1.14116375318204
TRIB1	1.11466151583917
SLC12A2	1.13485513856248
PRDX1	1.13110391899805
PTBP1	1.14130649653871
ANKRD36B	1.00207865859811
CMTM3	0.962834889833519
PSMD5-AS1	1.01021424547811
ZNF800	1.04572546946532
RPN1	1.06221505766662
TNFSF14	1.08688171028838
ITGB7	0.916632723854811
SNAPC2	0.952685537196602
FERMT2	0.957661786321536
AC093673.5	0.933935583501018
IL19	0.933078386524274
STRN3	0.988814617304425
TGFBR3	0.828741032606729
MYCBP2	0.755762728244397
IFITM2	0.83315529429194
TPT1-AS1	0.80039038391811
ZYX	0.887771599457995
ABI2	0.806977432946552
LMO4	0.7777675745148
SEPT11	0.815490635283195
RP11-486B10.3	0.825308016930488
HIST1H1C	0.92067325055637
RP11-46A10.5	0.838688160730327
FNDC3A	0.803488041262017
RFFL	0.79096794075897
STK10	0.843993188271099
NANOS3	0.914039511092216
PPM1D	0.884861872014598
CAMK1D	0.903756541415909
SLC25A43	0.848537232893373
ALOX5	0.844814132275115
SLC22A4	0.900544814692035
C12orf23	0.898699403435255
PLEKHG3	0.728179711835988
UBE2S	0.714018485027714
MYADM	0.802265491917268
GLUL	0.830020952067041
RP11-46H11.12	0.717391523766315
ENKD1	0.689245510427646
ZBTB22	1.17811237791331
MBOAT7	1.08946622597195
CENPBD1	1.07671646635809
USP46-AS1	1.17528524380109
CST6	1.06074046200817
CHD1	1.071567903526
MIR3176	1.04241291295124
ZCCHC24	1.01193515634936
RP13-516M14.1	0.865546124224505
RP11-110I1.5	0.888192621594527
GNAI2	0.847563038749993
NRBF2	0.84607841241015
RRBP1	0.883108945316377
RP11-27I1.6	0.858653614452931
FOSL1	0.907227856463973
LGALS1	0.946928959952879
FEM1C	0.969427627126002
NT5DC3	0.943712385565691
VCL	0.927617365621274
EHBP1L1	0.878833869725838
REPS1	0.779853719180973
RHOQ	0.772343286607111
CYP27B1	1.00452761675077
RNF32	0.924569707144744
IGSF22	0.878827486334723
SLC50A1	0.842985866068776
RN7SL600P	0.953852914331677
ACER3	0.983104205147314
C7orf13	0.955235261610389
AKAP17A	0.84149634508007
SGOL2	0.759832345204069
CEP112	0.770134713226796
OPA3	0.819057810519147
LAMA5	0.808999445215934
TXNL1	0.853419683025251
CNTD1	0.869378035402763
CRYL1	0.91030426619723
RP11-404F10.2	1.00679230653104
SUV420H1	0.931246189550364
USP34	0.920503073918639
EEF1A2	1.08271364052497
AP006621.1	1.12092713261309
TM9SF1	1.09302834217053
CTB-31O20.8	1.17123553087075
SMAP1	1.06205465733639
P4HA2	1.06517338737247
CTD-2341M24.1	1.03693762964994
GSTZ1	1.00446467407244
GRWD1	1.20786244613714
FAM168A	1.19359335889995
RRM1	1.21174240381242
CYP20A1	1.23649179334738
ASB7	1.53217253628836
TACC1	1.54860128954351
C12orf61	1.50158511892101
NCK1	1.46061856477605
FAM95B1	1.40559769479501
RREB1	1.42142154090272
RP5-1136G13.2	1.45194133574777
HIST1H2BC	1.50771590898116
ZNF644	1.50859906541148
LINC00342	1.3693024880328
FLNB	1.31213875433611
PLXNA1	1.41790381357502
SMG7-AS1	1.30556913363739
ASF1B	1.3587798017343
RP11-403I13.8	1.24280343499542
MICB	1.2991882774435
SLC16A2	1.44884229212608
CNDP2	1.43329628380661
RP11-118K6.3	1.28923873382234
ZBTB21	1.28909814495593
HP1BP3	1.39289680776611
CXXC5	1.40090943833996
SEL1L	1.40807491594071
PAX2	1.35650081994399
RP3-510L9.1	1.36524946440355
LILRB3	1.37265962614538
DDX3Y	1.32077631663156
CTD-2589H19.4	1.29831566901427
INTS6	1.2892801269958
OVOL1	1.28075307984765
