YWHAH	14-3-3 protein eta
YWHAG	14-3-3 protein gamma
ABHD5	1-acylglycerol-3-phosphate O-acyltransferase ABHD5
AGPAT4	1-acyl-sn-glycerol-3-phosphate acyltransferase delta
AGPAT5	1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon
PLCB2	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2
PLCB3	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3
CYP27B1	25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial
OAS1	2'-5'-oligoadenylate synthase 1
OAS2	2'-5'-oligoadenylate synthase 2
OAS3	2'-5'-oligoadenylate synthase 3
PSMC5	26S protease regulatory subunit 8
PSMD11	26S proteasome non-ATPase regulatory subunit 11
PSMD14	26S proteasome non-ATPase regulatory subunit 14
MRPS2	28S ribosomal protein S2, mitochondrial
MRPS6	28S ribosomal protein S6, mitochondrial
DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1
UGT8	2-hydroxyacylsphingosine 1-beta-galactosyltransferase
OGDH	2-oxoglutarate dehydrogenase, mitochondrial
MRPL24	39S ribosomal protein L24, mitochondrial
MRPL27	39S ribosomal protein L27, mitochondrial
MRPL36	39S ribosomal protein L36, mitochondrial
MRPL3	39S ribosomal protein L3, mitochondrial
MRPL41	39S ribosomal protein L41, mitochondrial
MRPL44	39S ribosomal protein L44, mitochondrial
MRPL50	39S ribosomal protein L50, mitochondrial
MRPL54	39S ribosomal protein L54, mitochondrial
HIBCH	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial
SRD5A1	3-oxo-5-alpha-steroid 4-dehydrogenase 1
SDF4	45 kDa calcium-binding protein
ABAT	4-aminobutyrate aminotransferase, mitochondrial
PRKRIR	52 kDa repressor of the inhibitor of the protein kinase
NT5C	5'(3')-deoxyribonucleotidase, cytosolic type
XRN2	5'-3' exoribonuclease 2
PRKAA1	5'-AMP-activated protein kinase catalytic subunit alpha-1
NSUN4	5-methylcytosine rRNA methyltransferase NSUN4
NT5DC2	5'-nucleotidase domain-containing protein 2
NT5DC3	5'-nucleotidase domain-containing protein 3
RPLP0	60S acidic ribosomal protein P0
RPLP0P6	60S acidic ribosomal protein P0-like
RPL36A	60S ribosomal protein L36a
RPL36AL	60S ribosomal protein L36a-like
PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3
PGD	6-phosphogluconate dehydrogenase, decarboxylating
PGLS	6-phosphogluconolactonase
PTS	6-pyruvoyl tetrahydrobiopterin synthase
HSPA5	78 kDa glucose-regulated protein
NUDT18	8-oxo-dGDP phosphatase NUDT18
ABI2	Abl interactor 2
COLQ	Acetylcholinesterase collagenic tail peptide
ACAT1	Acetyl-CoA acetyltransferase, mitochondrial
ACACA	Acetyl-CoA carboxylase 1
ASCL2	Achaete-scute homolog 2
ANP32A	Acidic leucine-rich nuclear phosphoprotein 32 family member A
ABLIM2	Actin-binding LIM protein 2
ACTR3C	Actin-related protein 3C
ACTR8	Actin-related protein 8
TNK2	Activated CDC42 kinase 1
ATF7IP2	Activating transcription factor 7-interacting protein 2
AHSA1	Activator of 90 kDa heat shock protein ATPase homolog 1
ABT1	Activator of basal transcription 1
ACBD5	Acyl-CoA-binding domain-containing protein 5
ACOT2	Acyl-coenzyme A thioesterase 2, mitochondrial
THEM5	Acyl-coenzyme A thioesterase THEM5
AGK	Acylglycerol kinase, mitochondrial
LYPLA1	Acyl-protein thioesterase 1
CRK	Adapter molecule crk
TRAF3IP2	Adapter protein CIKS
ADA	Adenosine deaminase
ADK	Adenosine kinase
ADORA2A	Adenosine receptor A2a
ADORA2B	Adenosine receptor A2b
ADCY3	Adenylate cyclase type 3
AK2	Adenylate kinase 2, mitochondrial
AK4	Adenylate kinase 4, mitochondrial
AK1	Adenylate kinase isoenzyme 1
TAF9	Adenylate kinase isoenzyme 6
ADSS	Adenylosuccinate synthetase isozyme 2
SLC25A5	ADP/ATP translocase 2
SLC25A6	ADP/ATP translocase 3
ADPGK	ADP-dependent glucokinase
ARF5	ADP-ribosylation factor 5
ARF6	ADP-ribosylation factor 6
ARFGAP3	ADP-ribosylation factor GTPase-activating protein 3
ARL17B	ADP-ribosylation factor-like protein 17
ARL3	ADP-ribosylation factor-like protein 3
ARL4C	ADP-ribosylation factor-like protein 4C
ARL5A	ADP-ribosylation factor-like protein 5A
ARL5B	ADP-ribosylation factor-like protein 5B
ARFRP1	ADP-ribosylation factor-related protein 1
ACD	Adrenocortical dysplasia protein homolog
AGER	Advanced glycosylation end product-specific receptor
MLLT4	Afadin
AKAP17A	A-kinase anchor protein 17A
AKIRIN2	Akirin-2
ALDH1B1	Aldehyde dehydrogenase X, mitochondrial
ACER3	Alkaline ceramidase 3
AIF1L	Allograft inflammatory factor 1-like
RETSAT	All-trans-retinol 13,14-reductase
MAN1A2	alpha-1,2-Mannosidase
ALG2	Alpha-1,3/1,6-mannosyltransferase ALG2
FUT11	Alpha-(1,3)-fucosyltransferase 11
FUT7	Alpha-(1,3)-fucosyltransferase 7
MGAT4B	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B
PYGB	Alpha-1,4 glucan phosphorylase
FUT8	Alpha-(1,6)-fucosyltransferase
ACTN4	Alpha-actinin-4
MAN2A2	Alpha-mannosidase
ST6GALNAC6	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6
TXLNA	Alpha-taxilin
TTPAL	Alpha-tocopherol transfer protein-like
C9orf3	Aminopeptidase O
ANGPTL6	Angiopoietin-related protein 6
SLC4A10	Anion exchange protein
ANKRD10	ANKRD10 protein
ANK1	Ankyrin-1
ANKLE1	Ankyrin repeat and LEM domain-containing protein 1
ANKLE2	Ankyrin repeat and LEM domain-containing protein 2
ANKMY1	Ankyrin repeat and MYND domain containing 1, isoform CRA a
ASB7	Ankyrin repeat and SOCS box protein 7
ANKRD13B	Ankyrin repeat domain-containing protein 13B
ANKRD27	Ankyrin repeat domain-containing protein 27
ANKRD36B	Ankyrin repeat domain-containing protein 36B
ANKRD36C	Ankyrin repeat domain-containing protein 36C
ANKRD46	Ankyrin repeat domain-containing protein 46
ANXA2	Annexin
ANXA5	Annexin
ANXA11	Annexin A11
ANXA7	Annexin A7
ANO9	Anoctamin-9
MKI67	Antigen KI-67
TAP1	Antigen peptide transporter 1
AP1AR	AP-1 complex-associated regulatory protein
AP1B1	AP-1 complex subunit beta-1
AP1G2	AP-1 complex subunit gamma-like 2
AP1S1	AP-1 complex subunit sigma-1A
AP2B1	AP-2 complex subunit beta
AP2M1	AP-2 complex subunit mu
AP3B1	AP-3 complex subunit beta-1
AP3D1	AP-3 complex subunit delta-1
AP4M1	AP-4 complex subunit mu-1
APOA1	Apolipoprotein A-I
APOBR	Apolipoprotein B receptor
APOL1	Apolipoprotein L1
APOL2	Apolipoprotein L2
APOL4	Apolipoprotein L4
APOM	Apolipoprotein M
SIVA1	Apoptosis regulatory protein Siva
ACIN1	Apoptotic chromatin condensation inducer in the nucleus
ALOX5	Arachidonate 5-lipoxygenase
ARFIP1	Arfaptin-1
ACAP3	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3
ADAP1	Arf-GAP with dual PH domain-containing protein 1
ARGLU1	Arginine and glutamate-rich protein 1
RSRC2	Arginine/serine-rich coiled-coil protein 2
ATE1	Arginyl-tRNA--protein transferase 1
ARL14EP	ARL14 effector protein
ARMC10	Armadillo repeat-containing protein 10
ARMC6	Armadillo repeat-containing protein 6
ARRDC1	Arrestin domain-containing protein 1
ARRDC2	Arrestin domain-containing protein 2
NAT1	Arylamine N-acetyltransferase 1
ARNTL2	Aryl hydrocarbon receptor nuclear translocator-like protein 2
AHRR	Aryl hydrocarbon receptor repressor
ARSA	Arylsulfatase A
ARSB	Arylsulfatase B
ASNSD1	Asparagine synthetase domain-containing protein 1
GOT2	Aspartate aminotransferase, mitochondrial
ATXN10	Ataxin-10
ATXN7	Ataxin-7
ATL2	Atlastin-2
ATAD3A	ATPase family AAA domain-containing protein 3A
ABCA2	ATP-binding cassette sub-family A member 2
ABCB10	ATP-binding cassette sub-family B member 10, mitochondrial
ABCE1	ATP-binding cassette sub-family E member 1
ABCG1	ATP-binding cassette sub-family G member 1
ABCG2	ATP-binding cassette sub-family G member 2
ACLY	ATP-citrate synthase
DHX9	ATP-dependent RNA helicase A
DDX19B	ATP-dependent RNA helicase DDX19B
DDX3X	ATP-dependent RNA helicase DDX3X
DDX3Y	ATP-dependent RNA helicase DDX3Y
DHX36	ATP-dependent RNA helicase DHX36
YME1L1	ATP-dependent zinc metalloprotease YME1L1
ATP5B	ATP synthase subunit beta, mitochondrial
ATP5D	ATP synthase subunit delta, mitochondrial
ARID1A	AT-rich interactive domain-containing protein 1A
ARID3A	AT-rich interactive domain-containing protein 3A
ARID3B	AT-rich interactive domain-containing protein 3B
ARID4B	AT-rich interactive domain-containing protein 4B
ATRIP	ATR-interacting protein
ATG16L2	Autophagy-related protein 16-2
ATG2B	Autophagy-related protein 2 homolog B
BIRC2	Baculoviral IAP repeat-containing protein 2
BAG1	BAG family molecular chaperone regulator 1
BANF1	Barrier-to-autointegration factor
KIAA2018	Basic helix-loop-helix domain-containing protein KIAA2018
BIVM	Basic immunoglobulin-like variable motif-containing protein
BZW2	Basic leucine zipper and W2 domain-containing protein 2
BATF	Basic leucine zipper transcriptional factor ATF-like
BSG	Basigin
BCL6	B-cell lymphoma 6 protein
BCAP29	B-cell receptor-associated protein 29
BAK1	Bcl-2 homologous antagonist/killer
BCL2L1	Bcl-2-like protein 1
BCL2L11	Bcl-2-like protein 11
BOK	Bcl-2-related ovarian killer protein
BCOR	BCL-6 corepressor
NTRK2	BDNF/NT-3 growth factors receptor
BEND3	BEN domain-containing protein 3
GCNT1	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase
LFNG	Beta-1,3-N-acetylglucosaminyltransferase lunatic fringe
B4GALT1	Beta-1,4-galactosyltransferase 1
B4GALT2	Beta-1,4-galactosyltransferase 2
B4GALT5	Beta-1,4-galactosyltransferase 5
B2M	Beta-2-microglobulin
KLB	Beta-klotho
LACTB2	Beta-lactamase-like protein 2
PARVB	Beta-parvin
JMJD6	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6
BLOC1S6	Biogenesis of lysosome-related organelles complex 1 subunit 6
BLMH	Bleomycin hydrolase
BLM	Bloom syndrome protein
BMP1	BMP1 protein
BMP2K	BMP-2-inducible protein kinase
BST2	Bone marrow stromal antigen 2
BAIAP2L1	Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1
BCAT1	Branched-chain-amino-acid aminotransferase, cytosolic
BRE	BRCA1-A complex subunit BRE
BCR	Breakpoint cluster region protein
BRI3BP	BRI3-binding protein
BAZ2A	Bromodomain adjacent to zinc finger domain protein 2A
BRWD3	Bromodomain and WD repeat-containing protein 3
BRD1	Bromodomain-containing protein 1
BRD9	Bromodomain-containing protein 9
BTBD6	BTB/POZ domain-containing protein 6
KCTD15	BTB/POZ domain-containing protein KCTD15
KCTD2	BTB/POZ domain-containing protein KCTD2
KCTD7	BTB/POZ domain-containing protein KCTD7
KCTD9	BTB/POZ domain-containing protein KCTD9
BYSL	Bystin
C2CD4A	C2 calcium-dependent domain-containing protein 4A
C2CD4D	C2 calcium-dependent domain-containing protein 4D
CDH23	Cadherin-23
CDH4	Cadherin-4
TESC	Calcineurin B homologous protein 3
PPP3R1	Calcineurin subunit B type 1
KCNMB4	Calcium-activated potassium channel subunit beta-4
SLC25A13	Calcium-binding mitochondrial carrier protein Aralar2
CAB39	Calcium-binding protein 39
CAB39L	Calcium-binding protein 39-like
CAMKK2	Calcium/calmodulin-dependent protein kinase kinase 2
CAMK1D	Calcium/calmodulin-dependent protein kinase type 1D
PNPLA8	Calcium-independent phospholipase A2-gamma
SS18L1	Calcium-responsive transactivator
ATP2C1	Calcium-transporting ATPase
MCU	Calcium uniporter protein, mitochondrial
CCDC109B	Calcium uniporter regulatory subunit MCUb, mitochondrial
MICU2	Calcium uptake protein 2, mitochondrial
TLCD1	Calfacilitin
CALM1	Calmodulin
CALM2	Calmodulin
CAMTA1	Calmodulin-binding transcription activator 1
CAMTA2	Calmodulin-binding transcription activator 2
CAPN10	Calpain-10
CAPN15	Calpain-15
CAPN2	Calpain-2 catalytic subunit
CAPNS1	Calpain small subunit 1
CLSTN3	Calsyntenin-3
PKIA	cAMP-dependent protein kinase inhibitor alpha
PKIB	cAMP-dependent protein kinase inhibitor beta
PKIG	cAMP-dependent protein kinase inhibitor gamma
PRKAR1B	cAMP-dependent protein kinase type I-beta regulatory subunit
ARPP19	cAMP-regulated phosphoprotein 19
PDE4A	cAMP-specific 3',5'-cyclic phosphodiesterase 4A
PDE4D	cAMP-specific 3',5'-cyclic phosphodiesterase 4D
CAPRIN1	Caprin-1
