gene	CD45RA.Cyt.	CSF.	IFN.	IL17A.	IL17A.GMCSF.INF.
GRAMD3	0.289470858311281	-1.60859883939653	0.0829504203390482	1.14613619443742	0.0900413663087896
CHFR	0.354702885077301	-1.61264114301413	0.0558281432246837	1.12446849893614	0.0776416157760084
PRELID1	0.369089505156977	-1.61554644525794	-0.0119284855727675	1.10975144590459	0.148633979769141
HIF1A	0.377878042403028	-1.60656013385231	-0.0461851541567213	1.11774415046303	0.157123095142967
NOM1	0.229262114977655	-1.5630213434078	-0.0620133755256985	1.21094912608755	0.184823477868301
RP11-700J17.1	0.0658293401304918	-1.60046317000532	0.182155512249763	1.16939466621794	0.183083651407119
MBIP	0.163588457403484	-1.56495459396879	-0.158984850351278	1.15536354736813	0.404987439548457
NAF1	0.302806525867017	-1.5586184378286	-0.214938725747377	1.1544602733485	0.316290364360464
HSPA4	0.319147434455858	-1.60146296272982	-0.215710908469978	1.03614428205201	0.461882154691927
AC008982.2	0.415000354721136	-1.68603731407128	0.0278049074538848	0.946782753052119	0.296449298844138
ICT1	0.348961062628112	-1.66880796426254	0.057191818427577	1.01400646806414	0.248648615142713
SLC39A10	0.486086846450503	-1.68530274600037	0.111066532962496	0.943514250240215	0.144635116347157
TSFM	0.398093685045996	-1.72447207719805	0.335218885240781	0.858999062105011	0.132160444806263
SMKR1	0.779984836576702	-1.68423583979998	-0.0142787668687476	0.717064165677001	0.201465604415029
C12orf29	0.65918741024287	-1.70755348256405	-0.00196811979185022	0.74667130742087	0.303662884692162
PARL	0.430407878369184	-1.61500038955172	-0.287235763073799	0.878881234648485	0.592947039607849
PAXBP1	0.504784917924508	-1.66874176876426	-0.116489406713656	0.892365950109872	0.388080307443537
UBE2Q1-AS1	0.485072896742274	-1.66166959861751	-0.207181831972771	0.731967958316914	0.65181057553109
PSMD7	0.601014742210146	-1.67570242721905	-0.18385274541109	0.679463917813834	0.579076512606168
EI24	0.760437710222237	-1.64277053251307	-0.25860960918604	0.519062459465123	0.621879972011755
PAFAH1B3	0.688285697377605	-1.64030399149311	-0.278193569661581	0.587147595142768	0.643064268634319
ILKAP	0.76042135238447	-1.62437707641351	-0.296890317816355	0.683459066103313	0.47738697574208
NMD3	0.61103060752878	-1.57417512888771	-0.243997186874127	1.02812007456922	0.179021633663826
AIP	0.556981032362736	-1.57991430232419	-0.291039111580442	1.00746975151428	0.306502630027606
UBL4A	0.77312649800369	-1.57130149900448	-0.214074866471188	0.939215035076144	0.0730348323958328
JAK3	0.7310564824416	-1.44733466737321	-0.552072694146195	0.995864217529907	0.272486661547895
STARD7	0.728347920988137	-1.46458066588474	-0.538100363235215	0.971081470589982	0.303251637541833
RASGRP1	0.800738258467149	-1.42528983899112	-0.562394816048462	0.985045869069899	0.201900527502535
HDAC2	0.671324083083815	-1.52340387232747	-0.433982370915282	0.969562838938977	0.31649932121996
VAMP4	0.91811858203109	-1.4479927881041	-0.459647310938229	0.918743711087962	0.0707778059232772
NAA25	0.916791289847404	-1.40365522491347	-0.492581189852628	0.972916692945697	0.00652843197299457
THOC7	0.842977209148953	-1.35957790878487	-0.609607119538287	1.0295502991236	0.0966575200506001
LLPH	0.886784015987985	-1.37743317480016	-0.559786583445292	1.0002038259931	0.0502319162643585
VDAC1	0.862618554029014	-1.33589280494037	-0.562751980701475	1.07385242526332	-0.0378261936504906
FAM105A	0.925004732166816	-1.31853018840752	-0.518311654944617	1.05653239051832	-0.144695279333003
TRAPPC2	0.859658648082661	-1.18285453076614	-0.744087091175337	1.14135445183326	-0.0740714779744419
TMEM109	0.931852730124481	-1.1642003033299	-0.710716381106693	1.11437159858248	-0.171307644270363
MRPL46	0.930557224792038	-1.18582128109122	-0.786320996952168	1.05330577475776	-0.011720721506413
NHP2	0.676029638332998	-1.15457584422066	-0.740645629863246	1.28715338142418	-0.0679615456732706
SCCPDH	0.685947289747665	-1.14413365387593	-0.739088238527513	1.29053680137987	-0.0932621987240871
PRKAB1	0.635978610597019	-1.16084686344207	-0.58915133493744	1.35711811470152	-0.243098526919028
RP11-642P15.1	0.764851175084325	-1.28786303539654	-0.51844849350686	1.2082266522908	-0.166766298471722
ERH	0.643373588290364	-1.27376673893658	-0.512257103443909	1.29532670820853	-0.152676454118398
PSTK	0.487368649618444	-1.26208083324787	-0.450665184623646	1.39235201331811	-0.166974645065032
MRPL34	0.504320409828393	-1.24276561930693	-0.431349851614981	1.40065533857912	-0.230860277485603
KCNK15	0.460225484899628	-1.22408763830709	-0.581474868838425	1.39610582077364	-0.0507687985277545
CCT7	0.655869674602174	-1.28551384075097	-0.677873157669087	1.20283804653594	0.104679277281938
CLPP	0.62072714349596	-1.25199094129304	-0.638608189135632	1.28034619071235	-0.0104742037796406
RNFT1	0.505416037557356	-1.23093653231192	-0.751914680121931	1.2737721866315	0.203662988244991
LDLR	0.536692145236564	-1.23100000607618	-0.742611699044775	1.27197557914511	0.164943980739277
IL21-AS1	0.464485525857233	-1.21089436596941	-0.758219929809672	1.30509675675557	0.199532013166272
RP11-713P17.3	0.497990191366718	-1.30045709247119	-0.649441994784704	1.26679753719179	0.185111358697388
VDAC3	0.647541979882956	-1.18311305581045	-0.803873288657421	1.23437473667173	0.105069627913184
NCK2	0.652653657256409	-1.21124286054704	-0.773175884640168	1.22370593140039	0.108059156530407
TRAV2	0.653967525218887	-1.22439802264543	-0.80299821610826	1.17926720035226	0.194161513182544
RMDN1	0.56871203456051	-1.17589599098097	-0.876733001186733	1.20248519693944	0.281431760667751
PDCD2L	0.55680707827305	-1.19947149052089	-0.816746889609341	1.23922398491268	0.220187316944504
AGMAT	0.578467290160355	-1.40373461805458	-0.624055491392613	1.0818666326593	0.36745618662754
SEH1L	0.426114832182962	-1.38851899029127	-0.652476916396083	1.09098470891529	0.523896365589106
GTF2E2	0.525156275954525	-1.19693460488671	-0.920905155778021	1.09229088517985	0.500392599530357
DCTPP1	0.599964749828365	-1.23496182557136	-0.863930889890818	1.09956574142269	0.39936222421113
PMS2P1	0.435457228910937	-1.18414480314119	-0.878308786666707	1.20922105258312	0.417775308313845
CDYL	0.0642844850876909	-1.13769421378317	-0.765488315605786	1.38030366892378	0.458594375377486
SLIRP	-0.00414007580084669	-1.09276727387038	-0.760686564271892	1.42973154417194	0.427862369771183
PPP2R2A	0.0920101686431813	-1.23927639348689	-0.603871323055427	1.4036910224738	0.347446525425333
TOM1	0.0227110942148485	-1.19159726610793	-0.607623768895723	1.4505625962612	0.325947344527605
ISG15	0.173964952968659	-1.01571332452225	-0.89217117853915	1.43213882747742	0.30178072261532
MZT2B	0.144808161435619	-1.08923076915974	-0.825284051473518	1.4071474672629	0.362559191934733
LCOR	0.258207373581614	-1.1691988412222	-0.794005537289095	1.34359464135081	0.361402363578862
TCAIM	0.268601786484685	-1.13420116850399	-0.804339527918785	1.38275167995731	0.287187229980776
UTP23	-0.0567317790671343	-0.958869304464838	-0.732655102670342	1.58559412055179	0.162662065650524
GIMAP6	-0.0597452584022853	-1.08047335241936	-0.670440291317704	1.5137186458454	0.296940256293954
RPL21P28	-0.101027251407802	-0.929467838847204	-0.832338210340756	1.52218825664173	0.34064504395403
PABPC1	-0.00806285069665867	-0.959499354485414	-0.885295870642353	1.46448371730382	0.388374358520605
SUB1	0.0722867987858461	-1.17039346095738	-0.797958583369103	1.25680774873057	0.639257496810061
FBL	0.256127443062943	-1.16137155482079	-0.86759643748897	1.24795136574335	0.524889183503467
AP000254.8	-0.0344047871451856	-1.02892499683451	-0.86713520804332	1.36825771220093	0.562207279822084
F8A1	-0.114875040887232	-0.997569515802736	-0.880699994240974	1.33547765002698	0.657666900903961
DGKE	0.123391323634982	-1.37952518695354	-0.479736529493772	1.28321503685141	0.452655355960927
NCDN	0.0967427567590896	-1.41365028278363	-0.441635514147072	1.23349953815924	0.525043502012374
SLC25A40	0.050424014002292	-1.42659463143356	-0.421274734539547	1.18976208719525	0.607683264775565
NUDT5	0.0459776422387483	-1.28430879645187	-0.639144290107821	1.23662572643306	0.640849717887891
NXT1	-0.00651811752983544	-1.28804917538826	-0.590629812094666	1.27051561413651	0.614681490876243
PPM1M	0.154952310903669	-1.2877960325336	-0.445335934252877	1.45011991518337	0.12805974069944
PFDN2	0.220484290231385	-1.30374434769995	-0.520178140508198	1.39144150333365	0.211996694643126
RP11-175O19.4	0.131328956353738	-1.40805633929828	-0.357669633928337	1.33516360338448	0.299233413488397
MAP1LC3C	-0.19846158401636	-1.37808024925582	-0.309339636899827	1.24916153414638	0.636719936025624
APPL1	-0.183190436160375	-1.3058078630895	-0.441950574030463	1.28304726552815	0.64790160775219
RCSD1	-0.182673658628141	-1.34935341758707	-0.432978108022926	1.10036471457789	0.864640469660249
JAK1	-0.258391630676992	-1.38230335165017	-0.307246426485367	1.09813385622976	0.849807552582769
MAK16	-0.378388264297383	-1.24129239815417	-0.399203866935569	1.25306533918676	0.765819190200364
ETFA	-0.28070572515059	-1.3195381335242	-0.371617355121815	1.20707041355655	0.764790800240059
FOXP1	-0.417895897090648	-1.32555535772796	-0.196331218397423	1.24223480985515	0.697547663360883
SLBP	-0.11272368406396	-1.50099103309462	-0.163579530946703	1.14180083674693	0.635493411358348
WHSC1L1	-0.0943147070616077	-1.45931858239061	-0.241214313714629	1.20772261457151	0.587124988595335
FAM188A	-0.19369816131814	-1.43641296344048	-0.15756030069576	1.26564817198167	0.522023253472711
SIGMAR1	-0.0560824835697353	-1.48032159204529	-0.291961160743655	1.07039033408335	0.757974902275333
CBX3	0.0350037382675396	-1.54345472012497	-0.233764324687943	1.0198009929923	0.722414313553067
TOMM20	0.0884566713944801	-1.53078536449347	-0.317312979130387	0.882527410583187	0.877114261646186
METAP1	0.241634350073318	-1.47128494452139	-0.497138915694554	1.00283173944431	0.723957770698315
PAICS	0.236809462864134	-1.48485276289574	-0.467407605680045	1.01469324575913	0.700757659952521
SEC24A	0.296905298334317	-0.871870259147695	-1.22773829127926	0.802663542650341	1.0000397094423
ANKRD12	0.342325644511914	-0.712856369596772	-1.36567909390298	0.833773479751822	0.902436339236013
RP11-53B2.5	0.14988168749117	-0.773183772085099	-1.26327469194285	0.897063826876117	0.98951294966066
NLRC5	0.124241248804145	-0.771280617744825	-1.2549755641648	1.00530411128276	0.896710821822716
YARS2	0.0634103075511602	-0.874978651893924	-1.14564709486437	0.942984076333826	1.0142313628733
MGRN1	0.0181457142060402	-0.764191525728544	-1.21801468834394	0.941070266588226	1.02299023327821
RP11-342I1.2	0.20253591184925	-0.886479418753699	-1.1861308289571	1.02894693928345	0.841127396578096
ITGB1BP2	0.322346135141187	-0.949687489881608	-1.15864620492745	1.06159068206667	0.724396877601197
RP11-73M18.7	0.00812447329384246	-0.985151585849869	-1.01869982911476	1.00781312252308	0.987913819147711
FBXO41	-0.0231094190576469	-0.960676250583106	-1.02644918360124	0.970138238477829	1.04009661476417
SOCS2	0.0839171288997062	-0.982073810031042	-1.05518454441556	0.916240683746735	1.03710054180016
FAR1	0.0616106090155652	-0.940539152498047	-1.08243662486871	1.07135928131213	0.890005887039063
PROSC	0.253875989744555	-1.11645048131601	-0.987610221484004	0.957647070539095	0.892537642516368
PFKL	0.291134992015142	-1.08064132263236	-1.03676858564053	0.863510785882338	0.962764130375413
LDHB	0.13890419769679	-1.13495435355943	-0.919628024139384	0.880518032881211	1.03516014712082
RSL1D1	0.499749091041089	-1.15005519458722	-0.994536739285953	1.0295042319159	0.615338610916195
NOP56	0.51135152347832	-1.04541160408235	-1.10671259083809	1.01371760464972	0.627055066792406
