Category	Term	Count	%	PValue	Genes	List_Total	Pop_Hits	Pop_Total	Fold_Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	phosphoprotein	562	49.21190893169877	1.372347929702959E-19	ENSG00000015676,_ENSG00000131759,_ENSG00000091129,_ENSG00000160685,_ENSG00000138385,_ENSG00000141447,_ENSG00000064393,_ENSG00000071539,_ENSG00000109118,_ENSG00000102996,_ENSG00000163785,_ENSG00000033011,_ENSG00000167705,_ENSG00000153250,_ENSG00000136878,_ENSG00000160584,_ENSG00000150938,_ENSG00000099204,_ENSG00000140284,_ENSG00000109787,_ENSG00000215041,_ENSG00000034152,_ENSG00000103335,_ENSG00000204673,_ENSG00000117139,_ENSG00000152818,_ENSG00000164484,_ENSG00000136986,_ENSG00000133895,_ENSG00000156471,_ENSG00000137936,_ENSG00000197747,_ENSG00000065970,_ENSG00000117676,_ENSG00000136153,_ENSG00000196793,_ENSG00000147202,_ENSG00000141655,_ENSG00000159784,_ENSG00000204381,_ENSG00000102098,_ENSG00000130396,_ENSG00000166451,_ENSG00000104725,_ENSG00000066735,_ENSG00000104722,_ENSG00000197122,_ENSG00000087053,_ENSG00000166313,_ENSG00000110880,_ENSG00000067057,_ENSG00000100151,_ENSG00000166068,_ENSG00000160460,_ENSG00000141524,_ENSG00000141526,_ENSG00000137942,_ENSG00000157557,_ENSG00000197879,_ENSG00000099364,_ENSG00000108370,_ENSG00000137804,_ENSG00000067191,_ENSG00000112902,_ENSG00000204186,_ENSG00000120694,_ENSG00000204394,_ENSG00000163960,_ENSG00000164362,_ENSG00000110876,_ENSG00000160791,_ENSG00000092621,_ENSG00000034677,_ENSG00000165071,_ENSG00000179361,_ENSG00000099250,_ENSG00000160789,_ENSG00000147324,_ENSG00000171314,_ENSG00000198900,_ENSG00000196670,_ENSG00000170242,_ENSG00000206530,_ENSG00000034053,_ENSG00000165891,_ENSG00000102034,_ENSG00000136830,_ENSG00000178053,_ENSG00000183963,_ENSG00000171368,_ENSG00000037280,_ENSG00000102245,_ENSG00000185650,_ENSG00000151208,_ENSG00000196456,_ENSG00000004660,_ENSG00000183558,_ENSG00000122678,_ENSG00000093167,_ENSG00000138814,_ENSG00000121152,_ENSG00000158321,_ENSG00000155307,_ENSG00000120549,_ENSG00000075420,_ENSG00000144824,_ENSG00000092295,_ENSG00000013588,_ENSG00000169926,_ENSG00000180611,_ENSG00000139718,_ENSG00000204681,_ENSG00000136040,_ENSG00000197971,_ENSG00000129003,_ENSG00000152969,_ENSG00000133961,_ENSG00000181754,_ENSG00000198933,_ENSG00000141564,_ENSG00000092871,_ENSG00000117090,_ENSG00000111348,_ENSG00000150093,_ENSG00000173457,_ENSG00000139116,_ENSG00000137710,_ENSG00000105810,_ENSG00000198945,_ENSG00000128016,_ENSG00000138835,_ENSG00000138834,_ENSG00000124406,_ENSG00000146112,_ENSG00000173621,_ENSG00000169071,_ENSG00000145868,_ENSG00000101665,_ENSG00000152990,_ENSG00000174177,_ENSG00000152894,_ENSG00000174175,_ENSG00000142634,_ENSG00000116747,_ENSG00000121297,_ENSG00000169641,_ENSG00000172175,_ENSG00000177595,_ENSG00000116741,_ENSG00000107485,_ENSG00000196428,_ENSG00000197299,_ENSG00000181826,_ENSG00000187699,_ENSG00000174373,_ENSG00000148337,_ENSG00000173905,_ENSG00000163516,_ENSG00000138439,_ENSG00000112659,_ENSG00000148334,_ENSG00000163611,_ENSG00000142347,_ENSG00000135842,_ENSG00000148672,_ENSG00000108469,_ENSG00000039068,_ENSG00000148143,_ENSG00000103423,_ENSG00000033867,_ENSG00000163297,_ENSG00000091409,_ENSG00000145730,_ENSG00000103550,_ENSG00000148053,_ENSG00000122861,_ENSG00000135974,_ENSG00000143842,_ENSG00000135048,_ENSG00000206052,_ENSG00000116095,_ENSG00000135046,_ENSG00000205189,_ENSG00000173218,_ENSG00000068793,_ENSG00000115956,_ENSG00000171791,_ENSG00000051523,_ENSG00000155629,_ENSG00000145703,_ENSG00000041515,_ENSG00000161791,_ENSG00000141068,_ENSG00000129657,_ENSG00000152556,_ENSG00000152767,_ENSG00000135631,_ENSG00000078804,_ENSG00000165138,_ENSG00000198885,_ENSG00000182718,_ENSG00000067955,_ENSG00000132906,_ENSG00000143753,_ENSG00000075340,_ENSG00000135821,_ENSG00000180448,_ENSG00000110400,_ENSG00000130821,_ENSG00000182247,_ENSG00000138311,_ENSG00000116991,_ENSG00000182621,_ENSG00000145715,_ENSG00000183421,_ENSG00000163629,_ENSG00000169398,_ENSG00000108582,_ENSG00000023902,_ENSG00000103168,_ENSG00000117036,_ENSG00000112561,_ENSG00000205356,_ENSG00000197892,_ENSG00000162594,_ENSG00000080546,_ENSG00000188404,_ENSG00000102760,_ENSG00000068878,_ENSG00000132846,_ENSG00000132170,_ENSG00000042493,_ENSG00000187583,_ENSG00000086015,_ENSG00000149970,_ENSG00000182985,_ENSG00000163191,_ENSG00000049759,_ENSG00000182318,_ENSG00000112419,_ENSG00000075891,_ENSG00000168807,_ENSG00000186076,_ENSG00000166483,_ENSG00000033122,_ENSG00000071205,_ENSG00000140396,_ENSG00000085511,_ENSG00000076356,_ENSG00000031081,_ENSG00000196639,_ENSG00000183473,_ENSG00000080573,_ENSG00000091436,_ENSG00000168917,_ENSG00000148848,_ENSG00000136247,_ENSG00000096968,_ENSG00000162889,_ENSG00000100097,_ENSG00000006432,_ENSG00000135926,_ENSG00000148690,_ENSG00000162734,_ENSG00000163171,_ENSG00000106089,_ENSG00000147065,_ENSG00000184203,_ENSG00000164111,_ENSG00000080561,_ENSG00000103051,_ENSG00000143514,_ENSG00000025156,_ENSG00000068078,_ENSG00000213658,_ENSG00000107331,_ENSG00000052126,_ENSG00000169258,_ENSG00000115904,_ENSG00000102878,_ENSG00000117009,_ENSG00000012779,_ENSG00000084070,_ENSG00000107736,_ENSG00000107738,_ENSG00000171617,_ENSG00000165476,_ENSG00000157985,_ENSG00000103091,_ENSG00000114166,_ENSG00000131374,_ENSG00000145911,_ENSG00000069956,_ENSG00000131370,_ENSG00000070081,_ENSG00000104447,_ENSG00000160877,_ENSG00000089159,_ENSG00000023608,_ENSG00000134030,_ENSG00000171621,_ENSG00000070182,_ENSG00000107263,_ENSG00000197471,_ENSG00000146574,_ENSG00000126456,_ENSG00000154429,_ENSG00000168280,_ENSG00000205531,_ENSG00000184730,_ENSG00000184731,_ENSG00000113658,_ENSG00000023171,_ENSG00000175003,_ENSG00000132359,_ENSG00000073282,_ENSG00000134709,_ENSG00000124126,_ENSG00000035403,_ENSG00000080189,_ENSG00000213719,_ENSG00000142303,_ENSG00000149289,_ENSG00000173166,_ENSG00000187840,_ENSG00000171700,_ENSG00000160856,_ENSG00000161326,_ENSG00000222040,_ENSG00000077264,_ENSG00000111727,_ENSG00000151694,_ENSG00000076662,_ENSG00000151690,_ENSG00000124813,_ENSG00000153885,_ENSG00000149782,_ENSG00000107140,_ENSG00000157978,_ENSG00000134107,_ENSG00000073969,_ENSG00000114812,_ENSG00000181588,_ENSG00000072310,_ENSG00000151689,_ENSG00000090339,_ENSG00000072135,_ENSG00000100365,_ENSG00000171848,_ENSG00000104419,_ENSG00000189159,_ENSG00000070882,_ENSG00000020633,_ENSG00000140474,_ENSG00000077935,_ENSG00000107679,_ENSG00000005302,_ENSG00000168769,_ENSG00000198589,_ENSG00000107779,_ENSG00000063176,_ENSG00000173848,_ENSG00000173846,_ENSG00000126226,_ENSG00000112877,_ENSG00000066294,_ENSG00000140564,_ENSG00000111640,_ENSG00000138594,_ENSG00000165233,_ENSG00000124942,_ENSG00000101096,_ENSG00000143793,_ENSG00000072832,_ENSG00000182511,_ENSG00000085733,_ENSG00000044115,_ENSG00000108773,_ENSG00000134852,_ENSG00000101187,_ENSG00000142408,_ENSG00000085832,_ENSG00000152492,_ENSG00000155090,_ENSG00000107021,_ENSG00000099992,_ENSG00000159840,_ENSG00000072110,_ENSG00000070961,_ENSG00000101082,_ENSG00000145012,_ENSG00000116016,_ENSG00000143479,_ENSG00000135476,_ENSG00000090104,_ENSG00000116106,_ENSG00000106799,_ENSG00000148773,_ENSG00000135318,_ENSG00000102572,_ENSG00000188677,_ENSG00000143674,_ENSG00000161270,_ENSG00000163113,_ENSG00000140443,_ENSG00000197586,_ENSG00000120875,_ENSG00000169554,_ENSG00000013810,_ENSG00000041982,_ENSG00000182534,_ENSG00000171608,_ENSG00000115896,_ENSG00000105281,_ENSG00000122299,_ENSG00000143179,_ENSG00000169442,_ENSG00000124145,_ENSG00000197594,_ENSG00000120885,_ENSG00000115170,_ENSG00000118322,_ENSG00000175898,_ENSG00000125744,_ENSG00000113319,_ENSG00000049323,_ENSG00000151079,_ENSG00000115207,_ENSG00000144290,_ENSG00000073712,_ENSG00000087266,_ENSG00000139193,_ENSG00000137166,_ENSG00000124788,_ENSG00000115594,_ENSG00000204217,_ENSG00000101265,_ENSG00000196914,_ENSG00000151876,_ENSG00000125753,_ENSG00000073910,_ENSG00000198142,_ENSG00000164654,_ENSG00000125755,_ENSG00000054967,_ENSG00000054965,_ENSG00000203485,_ENSG00000179820,_ENSG00000077585,_ENSG00000099814,_ENSG00000076706,_ENSG00000180376,_ENSG00000119139,_ENSG00000204482,_ENSG00000150637,_ENSG00000136603,_ENSG00000137285,_ENSG00000141298,_ENSG00000126822,_ENSG00000206560,_ENSG00000177189,_ENSG00000119403,_ENSG00000119408,_ENSG00000134780,_ENSG00000063660,_ENSG00000178445,_ENSG00000175866,_ENSG00000159921,_ENSG00000090447,_ENSG00000101596,_ENSG00000134574,_ENSG00000131459,_ENSG00000159733,_ENSG00000153317,_ENSG00000107890,_ENSG00000183011,_ENSG00000121753,_ENSG00000057704,_ENSG00000082074,_ENSG00000185880,_ENSG00000143333,_ENSG00000131149,_ENSG00000167393,_ENSG00000140009,_ENSG00000107897,_ENSG00000001629,_ENSG00000062524,_ENSG00000196924,_ENSG00000146426,_ENSG00000015475,_ENSG00000137267,_ENSG00000111859,_ENSG00000167535,_ENSG00000120913,_ENSG00000140350,_ENSG00000151726,_ENSG00000071894,_ENSG00000105875,_ENSG00000121864,_ENSG00000159640,_ENSG00000103966,_ENSG00000107968,_ENSG00000040633,_ENSG00000054523,_ENSG00000112972,_ENSG00000107863,_ENSG00000176170,_ENSG00000099326,_ENSG00000177030,_ENSG00000164889,_ENSG00000198246,_ENSG00000119638,_ENSG00000140367,_ENSG00000164611,_ENSG00000004777,_ENSG00000100503,_ENSG00000076003,_ENSG00000023516,_ENSG00000104885,_ENSG00000131067,_ENSG00000197226,_ENSG00000131069,_ENSG00000168096,_ENSG00000154134,_ENSG00000147443,_ENSG00000099331,_ENSG00000127124,_ENSG00000087008,_ENSG00000167202,_ENSG00000164649,_ENSG00000130402,_ENSG00000111424,_ENSG00000029534,_ENSG00000152270,_ENSG00000175634,_ENSG00000131981,_ENSG00000026025,_ENSG00000058668,_ENSG00000196396,_ENSG00000166689,_ENSG00000106462,_ENSG00000124762,_ENSG00000090975,_ENSG00000150593,_ENSG00000140859,_ENSG00000132334,_ENSG00000178607,_ENSG00000150457,_ENSG00000006744,_ENSG00000144893,_ENSG00000183864,_ENSG00000172673,_ENSG00000151835,_ENSG00000120802,_ENSG00000104450,_ENSG00000107281,_ENSG00000127334,_ENSG00000167157,_ENSG00000109906,_ENSG00000100629,_ENSG00000121690,_ENSG00000187210	1111	7263	19235	1.3396717614760238	7.589084051257363E-17	7.589084051257363E-17	2.0042190158336132E-16
GOTERM_BP_FAT	GO:0051094~positive_regulation_of_developmental_process	49	4.2907180385288965	1.8723965477283088E-10	ENSG00000131759,_ENSG00000167244,_ENSG00000198805,_ENSG00000091129,_ENSG00000109471,_ENSG00000128342,_ENSG00000105329,_ENSG00000104725,_ENSG00000088992,_ENSG00000107779,_ENSG00000133961,_ENSG00000006327,_ENSG00000139193,_ENSG00000171791,_ENSG00000112149,_ENSG00000181754,_ENSG00000111012,_ENSG00000137801,_ENSG00000204217,_ENSG00000164400,_ENSG00000184371,_ENSG00000120659,_ENSG00000143816,_ENSG00000121594,_ENSG00000096968,_ENSG00000176170,_ENSG00000132170,_ENSG00000124813,_ENSG00000138684,_ENSG00000160712,_ENSG00000113658,_ENSG00000117525,_ENSG00000183864,_ENSG00000133895,_ENSG00000161570,_ENSG00000155090,_ENSG00000113525,_ENSG00000134363,_ENSG00000104432,_ENSG00000104267,_ENSG00000075420,_ENSG00000213203,_ENSG00000138685,_ENSG00000120885,_ENSG00000102878,_ENSG00000115738,_ENSG00000115170,_ENSG00000067182,_ENSG00000171476	862	278	13528	2.7661620123854513	6.26503733669459E-7	6.26503733669459E-7	3.4125543502128153E-7
GOTERM_BP_FAT	GO:0045597~positive_regulation_of_cell_differentiation	43	3.7653239929947455	3.869756003805526E-10	ENSG00000131759,_ENSG00000167244,_ENSG00000198805,_ENSG00000091129,_ENSG00000109471,_ENSG00000128342,_ENSG00000105329,_ENSG00000104725,_ENSG00000088992,_ENSG00000107779,_ENSG00000133961,_ENSG00000006327,_ENSG00000139193,_ENSG00000171791,_ENSG00000112149,_ENSG00000181754,_ENSG00000111012,_ENSG00000204217,_ENSG00000164400,_ENSG00000184371,_ENSG00000120659,_ENSG00000143816,_ENSG00000121594,_ENSG00000096968,_ENSG00000132170,_ENSG00000124813,_ENSG00000138684,_ENSG00000160712,_ENSG00000113658,_ENSG00000133895,_ENSG00000161570,_ENSG00000155090,_ENSG00000113525,_ENSG00000104432,_ENSG00000104267,_ENSG00000075420,_ENSG00000213203,_ENSG00000138685,_ENSG00000120885,_ENSG00000102878,_ENSG00000115738,_ENSG00000115170,_ENSG00000171476	862	229	13528	2.946858630786533	1.2948193948147946E-6	6.47409906906482E-7	7.052859740674933E-7
KEGG_PATHWAY	hsa04060:Cytokine-cytokine_receptor_interaction	49	4.2907180385288965	5.108082180564943E-10	ENSG00000115009,_ENSG00000128342,_ENSG00000197461,_ENSG00000107779,_ENSG00000162594,_ENSG00000143184,_ENSG00000129277,_ENSG00000139193,_ENSG00000204217,_ENSG00000115594,_ENSG00000205021,_ENSG00000037280,_ENSG00000102245,_ENSG00000186827,_ENSG00000054967,_ENSG00000127318,_ENSG00000106952,_ENSG00000112115,_ENSG00000104432,_ENSG00000141655,_ENSG00000110944,_ENSG00000175505,_ENSG00000067182,_ENSG00000109471,_ENSG00000125726,_ENSG00000105329,_ENSG00000095752,_ENSG00000169194,_ENSG00000164399,_ENSG00000106799,_ENSG00000172215,_ENSG00000006327,_ENSG00000164400,_ENSG00000184371,_ENSG00000177663,_ENSG00000120659,_ENSG00000125735,_ENSG00000160791,_ENSG00000111536,_ENSG00000160712,_ENSG00000138684,_ENSG00000186891,_ENSG00000161570,_ENSG00000113525,_ENSG00000197262,_ENSG00000186810,_ENSG00000113520,_ENSG00000117560,_ENSG00000115170	365	262	5085	2.605510822963505	8.275092067133727E-8	8.275092067133727E-8	6.181033351815302E-7
GOTERM_BP_FAT	GO:0050867~positive_regulation_of_cell_activation	28	2.4518388791593697	9.650352366322596E-10	ENSG00000131759,_ENSG00000198805,_ENSG00000109471,_ENSG00000105329,_ENSG00000174175,_ENSG00000169194,_ENSG00000004468,_ENSG00000089012,_ENSG00000172175,_ENSG00000139193,_ENSG00000115956,_ENSG00000112149,_ENSG00000137801,_ENSG00000197299,_ENSG00000124762,_ENSG00000096968,_ENSG00000121594,_ENSG00000186827,_ENSG00000197471,_ENSG00000125735,_ENSG00000138684,_ENSG00000073861,_ENSG00000113525,_ENSG00000103423,_ENSG00000104432,_ENSG00000213203,_ENSG00000113520,_ENSG00000150637	862	111	13528	3.9587801258334903	3.2290028147974326E-6	1.0763354301168704E-6	1.7588341671981311E-6
GOTERM_BP_FAT	GO:0019220~regulation_of_phosphate_metabolic_process	68	5.954465849387041	1.2179296914662281E-9	ENSG00000175898,_ENSG00000128342,_ENSG00000101665,_ENSG00000197461,_ENSG00000107779,_ENSG00000063176,_ENSG00000172175,_ENSG00000131370,_ENSG00000124788,_ENSG00000204217,_ENSG00000102760,_ENSG00000197299,_ENSG00000121594,_ENSG00000176170,_ENSG00000034152,_ENSG00000186827,_ENSG00000204673,_ENSG00000197019,_ENSG00000127318,_ENSG00000163421,_ENSG00000135842,_ENSG00000173334,_ENSG00000133895,_ENSG00000103423,_ENSG00000175505,_ENSG00000167244,_ENSG00000167207,_ENSG00000109471,_ENSG00000095752,_ENSG00000105329,_ENSG00000164399,_ENSG00000085511,_ENSG00000106799,_ENSG00000100151,_ENSG00000147889,_ENSG00000115956,_ENSG00000171791,_ENSG00000166068,_ENSG00000143674,_ENSG00000137801,_ENSG00000164400,_ENSG00000091436,_ENSG00000222040,_ENSG00000184371,_ENSG00000114388,_ENSG00000151694,_ENSG00000124762,_ENSG00000169554,_ENSG00000096968,_ENSG00000150593,_ENSG00000030110,_ENSG00000006432,_ENSG00000168734,_ENSG00000173457,_ENSG00000178607,_ENSG00000150457,_ENSG00000160712,_ENSG00000185338,_ENSG00000123975,_ENSG00000159733,_ENSG00000184203,_ENSG00000113525,_ENSG00000124145,_ENSG00000138685,_ENSG00000138835,_ENSG00000197594,_ENSG00000113520,_ENSG00000138834	862	485	13528	2.200358791589925	4.075184294460854E-6	1.0187976305919832E-6	2.2197491955644466E-6
GOTERM_BP_FAT	GO:0051174~regulation_of_phosphorus_metabolic_process	68	5.954465849387041	1.2179296914662281E-9	ENSG00000175898,_ENSG00000128342,_ENSG00000101665,_ENSG00000197461,_ENSG00000107779,_ENSG00000063176,_ENSG00000172175,_ENSG00000131370,_ENSG00000124788,_ENSG00000204217,_ENSG00000102760,_ENSG00000197299,_ENSG00000121594,_ENSG00000176170,_ENSG00000034152,_ENSG00000186827,_ENSG00000204673,_ENSG00000197019,_ENSG00000127318,_ENSG00000163421,_ENSG00000135842,_ENSG00000173334,_ENSG00000133895,_ENSG00000103423,_ENSG00000175505,_ENSG00000167244,_ENSG00000167207,_ENSG00000109471,_ENSG00000095752,_ENSG00000105329,_ENSG00000164399,_ENSG00000085511,_ENSG00000106799,_ENSG00000100151,_ENSG00000147889,_ENSG00000115956,_ENSG00000171791,_ENSG00000166068,_ENSG00000143674,_ENSG00000137801,_ENSG00000164400,_ENSG00000091436,_ENSG00000222040,_ENSG00000184371,_ENSG00000114388,_ENSG00000151694,_ENSG00000124762,_ENSG00000169554,_ENSG00000096968,_ENSG00000150593,_ENSG00000030110,_ENSG00000006432,_ENSG00000168734,_ENSG00000173457,_ENSG00000178607,_ENSG00000150457,_ENSG00000160712,_ENSG00000185338,_ENSG00000123975,_ENSG00000159733,_ENSG00000184203,_ENSG00000113525,_ENSG00000124145,_ENSG00000138685,_ENSG00000138835,_ENSG00000197594,_ENSG00000113520,_ENSG00000138834	862	485	13528	2.200358791589925	4.075184294460854E-6	1.0187976305919832E-6	2.2197491955644466E-6
GOTERM_BP_FAT	GO:0042325~regulation_of_phosphorylation	66	5.779334500875657	1.4615840601995814E-9	ENSG00000175898,_ENSG00000128342,_ENSG00000101665,_ENSG00000197461,_ENSG00000107779,_ENSG00000063176,_ENSG00000172175,_ENSG00000131370,_ENSG00000124788,_ENSG00000204217,_ENSG00000102760,_ENSG00000197299,_ENSG00000121594,_ENSG00000176170,_ENSG00000034152,_ENSG00000186827,_ENSG00000204673,_ENSG00000197019,_ENSG00000127318,_ENSG00000163421,_ENSG00000135842,_ENSG00000133895,_ENSG00000173334,_ENSG00000103423,_ENSG00000175505,_ENSG00000167244,_ENSG00000167207,_ENSG00000109471,_ENSG00000095752,_ENSG00000105329,_ENSG00000164399,_ENSG00000085511,_ENSG00000106799,_ENSG00000100151,_ENSG00000147889,_ENSG00000171791,_ENSG00000166068,_ENSG00000143674,_ENSG00000137801,_ENSG00000164400,_ENSG00000091436,_ENSG00000222040,_ENSG00000184371,_ENSG00000114388,_ENSG00000151694,_ENSG00000124762,_ENSG00000169554,_ENSG00000096968,_ENSG00000150593,_ENSG00000030110,_ENSG00000006432,_ENSG00000168734,_ENSG00000173457,_ENSG00000178607,_ENSG00000150457,_ENSG00000160712,_ENSG00000185338,_ENSG00000123975,_ENSG00000159733,_ENSG00000113525,_ENSG00000124145,_ENSG00000138685,_ENSG00000138835,_ENSG00000197594,_ENSG00000113520,_ENSG00000138834	862	466	13528	2.2227179032691713	4.890448363603639E-6	9.78091586056884E-7	2.663823872595117E-6
GOTERM_BP_FAT	GO:0042127~regulation_of_cell_proliferation	95	8.318739054290718	1.4816473002995297E-9	ENSG00000175898,_ENSG00000198805,_ENSG00000128342,_ENSG00000152894,_ENSG00000064393,_ENSG00000197461,_ENSG00000197956,_ENSG00000107779,_ENSG00000089012,_ENSG00000004468,_ENSG00000165891,_ENSG00000063176,_ENSG00000114166,_ENSG00000080546,_ENSG00000125384,_ENSG00000101190,_ENSG00000205021,_ENSG00000204217,_ENSG00000160877,_ENSG00000037280,_ENSG00000197299,_ENSG00000121594,_ENSG00000176170,_ENSG00000132170,_ENSG00000151208,_ENSG00000186827,_ENSG00000183691,_ENSG00000197471,_ENSG00000087494,_ENSG00000153487,_ENSG00000197019,_ENSG00000173334,_ENSG00000133895,_ENSG00000155090,_ENSG00000163191,_ENSG00000069702,_ENSG00000104432,_ENSG00000103423,_ENSG00000141655,_ENSG00000073282,_ENSG00000204482,_ENSG00000186350,_ENSG00000167244,_ENSG00000109471,_ENSG00000095752,_ENSG00000105329,_ENSG00000122861,_ENSG00000088992,_ENSG00000169194,_ENSG00000126247,_ENSG00000164399,_ENSG00000106799,_ENSG00000159388,_ENSG00000135046,_ENSG00000111424,_ENSG00000147889,_ENSG00000183473,_ENSG00000171791,_ENSG00000041515,_ENSG00000137801,_ENSG00000111012,_ENSG00000164400,_ENSG00000184371,_ENSG00000140443,_ENSG00000151694,_ENSG00000124762,_ENSG00000102265,_ENSG00000117090,_ENSG00000168334,_ENSG00000096968,_ENSG00000124813,_ENSG00000150093,_ENSG00000138684,_ENSG00000160712,_ENSG00000117525,_ENSG00000183864,_ENSG00000108175,_ENSG00000114812,_ENSG00000113525,_ENSG00000105810,_ENSG00000167393,_ENSG00000099250,_ENSG00000140009,_ENSG00000068078,_ENSG00000100320,_ENSG00000082512,_ENSG00000167157,_ENSG00000138685,_ENSG00000115738,_ENSG00000109906,_ENSG00000113520,_ENSG00000102878,_ENSG00000120885,_ENSG00000020633,_ENSG00000171310	862	787	13528	1.8944153397583117	4.957579411102309E-6	8.262649420220924E-7	2.7003902003386315E-6
INTERPRO	IPR011993:Pleckstrin_homology-type	48	4.203152364273205	2.4222354557780194E-9	ENSG00000023902,_ENSG00000071205,_ENSG00000107679,_ENSG00000034053,_ENSG00000113319,_ENSG00000141447,_ENSG00000147443,_ENSG00000206052,_ENSG00000116095,_ENSG00000166313,_ENSG00000173848,_ENSG00000173166,_ENSG00000133961,_ENSG00000167202,_ENSG00000073712,_ENSG00000176531,_ENSG00000087266,_ENSG00000115956,_ENSG00000126822,_ENSG00000160460,_ENSG00000166068,_ENSG00000113108,_ENSG00000054523,_ENSG00000008256,_ENSG00000105808,_ENSG00000166689,_ENSG00000107863,_ENSG00000196914,_ENSG00000070182,_ENSG00000185112,_ENSG00000152767,_ENSG00000125753,_ENSG00000115896,_ENSG00000149970,_ENSG00000137710,_ENSG00000157978,_ENSG00000147065,_ENSG00000153317,_ENSG00000145715,_ENSG00000163629,_ENSG00000052126,_ENSG00000137877,_ENSG00000053524,_ENSG00000115904,_ENSG00000146426,_ENSG00000070882,_ENSG00000197283,_ENSG00000144824	1010	303	16659	2.6129203019311835	3.3620571044945535E-6	3.3620571044945535E-6	3.9868492174299774E-6
