Term	Count	PValue	Fold_Enrichment	Benjamini
phosphoprotein	562	1.372347929702959E-19	1.3396717614760238	7.589084051257363E-17
GO:0051094~positive_regulation_of_developmental_process	49	1.8723965477283088E-10	2.7661620123854513	6.26503733669459E-7
GO:0045597~positive_regulation_of_cell_differentiation	43	3.869756003805526E-10	2.946858630786533	6.47409906906482E-7
hsa04060:Cytokine-cytokine_receptor_interaction	49	5.108082180564943E-10	2.605510822963505	8.275092067133727E-8
GO:0050867~positive_regulation_of_cell_activation	28	9.650352366322596E-10	3.9587801258334903	1.0763354301168704E-6
GO:0019220~regulation_of_phosphate_metabolic_process	68	1.2179296914662281E-9	2.200358791589925	1.0187976305919832E-6
GO:0051174~regulation_of_phosphorus_metabolic_process	68	1.2179296914662281E-9	2.200358791589925	1.0187976305919832E-6
GO:0042325~regulation_of_phosphorylation	66	1.4615840601995814E-9	2.2227179032691713	9.78091586056884E-7
GO:0042127~regulation_of_cell_proliferation	95	1.4816473002995297E-9	1.8944153397583117	8.262649420220924E-7
IPR011993:Pleckstrin_homology-type	48	2.4222354557780194E-9	2.6129203019311835	3.3620571044945535E-6
GO:0005912~adherens_junction	32	2.7621452545575863E-9	3.409385679753272	1.2429646099043623E-6
GO:0043067~regulation_of_programmed_cell_death	96	3.514220248168917E-9	1.8554170047889544	1.679795870734857E-6
GO:0010941~regulation_of_cell_death	96	4.2630913135790805E-9	1.8485872489431054	1.7830363606696764E-6
GO:0005096~GTPase_activator_activity	40	4.697259558758218E-9	2.847461344445663	4.589212091232753E-6
GO:0042981~regulation_of_apoptosis	94	9.050353315360335E-9	1.834839722501183	3.3647146132631534E-6
GO:0008284~positive_regulation_of_cell_proliferation	59	9.828864126933619E-9	2.2365468464530305	3.2887325585040372E-6
GO:0070161~anchoring_junction	33	9.896321268422605E-9	3.1684243735352444	2.226669828520045E-6
GO:0001932~regulation_of_protein_amino_acid_phosphorylation	34	1.0877450581702398E-8	3.084317959309577	3.3087172469636883E-6
IPR001849:Pleckstrin_homology	44	1.1334709627204708E-8	2.6199949958894804	7.866257578426072E-6
GO:0050865~regulation_of_cell_activation	34	1.4631435780101289E-8	3.049068611203182	4.079723703753757E-6
GO:0006955~immune_response	83	2.248950533612184E-8	1.8877971687010322	5.788436001630259E-6
GO:0002696~positive_regulation_of_leukocyte_activation	25	3.69705189755774E-8	3.701352711990544	8.835915162541674E-6
alternative_splicing	519	4.054887698628571E-8	1.1999956005215906	1.1211701875568636E-5
cytokine	32	4.706758182235932E-8	3.060902775360409	8.676086817760442E-6
GO:0016323~basolateral_plasma_membrane	35	5.31403157668716E-8	2.8472779114318807	7.971015815289029E-6
GO:0030097~hemopoiesis	39	1.0226415044055722E-7	2.593456290062527	2.281146414828683E-5
GO:0051251~positive_regulation_of_lymphocyte_activation	23	1.319259739127008E-7	3.721195015188844	2.758864054297483E-5
