Category	Term	Count	%	PValue	Genes	List_Total	Pop_Hits	Pop_Total	Fold_Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	phosphoprotein	165	49.107142857142854	2.827388314647565E-6	ENSG00000107736,_ENSG00000091129,_ENSG00000171617,_ENSG00000152990,_ENSG00000101665,_ENSG00000174175,_ENSG00000157985,_ENSG00000151079,_ENSG00000116747,_ENSG00000102996,_ENSG00000163785,_ENSG00000169641,_ENSG00000167705,_ENSG00000073712,_ENSG00000131374,_ENSG00000069956,_ENSG00000139193,_ENSG00000145911,_ENSG00000136878,_ENSG00000160584,_ENSG00000160877,_ENSG00000101265,_ENSG00000134030,_ENSG00000109787,_ENSG00000034152,_ENSG00000073910,_ENSG00000117139,_ENSG00000204673,_ENSG00000152818,_ENSG00000054967,_ENSG00000163611,_ENSG00000156471,_ENSG00000137936,_ENSG00000136153,_ENSG00000033867,_ENSG00000147202,_ENSG00000134709,_ENSG00000204482,_ENSG00000159784,_ENSG00000035403,_ENSG00000102098,_ENSG00000166451,_ENSG00000122861,_ENSG00000135974,_ENSG00000149289,_ENSG00000142303,_ENSG00000136603,_ENSG00000166313,_ENSG00000187840,_ENSG00000067057,_ENSG00000110880,_ENSG00000100151,_ENSG00000135046,_ENSG00000205189,_ENSG00000137285,_ENSG00000173218,_ENSG00000141526,_ENSG00000157557,_ENSG00000222040,_ENSG00000099364,_ENSG00000108370,_ENSG00000119403,_ENSG00000067191,_ENSG00000076662,_ENSG00000152556,_ENSG00000159921,_ENSG00000110876,_ENSG00000134574,_ENSG00000132906,_ENSG00000131459,_ENSG00000159733,_ENSG00000149782,_ENSG00000110400,_ENSG00000034677,_ENSG00000157978,_ENSG00000134107,_ENSG00000183011,_ENSG00000107890,_ENSG00000181588,_ENSG00000179361,_ENSG00000167393,_ENSG00000107897,_ENSG00000183421,_ENSG00000147324,_ENSG00000169398,_ENSG00000171314,_ENSG00000196924,_ENSG00000198900,_ENSG00000146426,_ENSG00000070882,_ENSG00000020633,_ENSG00000015475,_ENSG00000108582,_ENSG00000206530,_ENSG00000107679,_ENSG00000034053,_ENSG00000005302,_ENSG00000198589,_ENSG00000140350,_ENSG00000107779,_ENSG00000063176,_ENSG00000197892,_ENSG00000173848,_ENSG00000173846,_ENSG00000112877,_ENSG00000111640,_ENSG00000188404,_ENSG00000165233,_ENSG00000183963,_ENSG00000124942,_ENSG00000037280,_ENSG00000112972,_ENSG00000085733,_ENSG00000198246,_ENSG00000119638,_ENSG00000134852,_ENSG00000187583,_ENSG00000140367,_ENSG00000086015,_ENSG00000149970,_ENSG00000142408,_ENSG00000164611,_ENSG00000093167,_ENSG00000107021,_ENSG00000112419,_ENSG00000099992,_ENSG00000159840,_ENSG00000120549,_ENSG00000155307,_ENSG00000104885,_ENSG00000131067,_ENSG00000101082,_ENSG00000168096,_ENSG00000169926,_ENSG00000099331,_ENSG00000139718,_ENSG00000116106,_ENSG00000136040,_ENSG00000197971,_ENSG00000196639,_ENSG00000198933,_ENSG00000196396,_ENSG00000026025,_ENSG00000013810,_ENSG00000136247,_ENSG00000162889,_ENSG00000100097,_ENSG00000132334,_ENSG00000178607,_ENSG00000182534,_ENSG00000171608,_ENSG00000115896,_ENSG00000163171,_ENSG00000172673,_ENSG00000147065,_ENSG00000151835,_ENSG00000164111,_ENSG00000143179,_ENSG00000213658,_ENSG00000128016,_ENSG00000167157,_ENSG00000117009,_ENSG00000115170,_ENSG00000121690,_ENSG00000118322	328	7263	19235	1.332251589244517	0.0010455881467369421	0.0010455881467369421	0.0038988234768333463
SP_PIR_KEYWORDS	kinase	29	8.630952380952381	1.970526276911025E-5	ENSG00000122861,_ENSG00000107779,_ENSG00000116106,_ENSG00000063176,_ENSG00000125388,_ENSG00000163785,_ENSG00000067057,_ENSG00000100151,_ENSG00000173846,_ENSG00000069956,_ENSG00000156345,_ENSG00000160584,_ENSG00000037280,_ENSG00000118507,_ENSG00000162889,_ENSG00000034152,_ENSG00000152556,_ENSG00000159921,_ENSG00000178607,_ENSG00000119638,_ENSG00000171608,_ENSG00000086015,_ENSG00000123975,_ENSG00000149970,_ENSG00000143179,_ENSG00000100605,_ENSG00000183421,_ENSG00000169398,_ENSG00000115170	328	688	19235	2.4718829764605785	0.007264504060633392	0.0036388727276808197	0.027169614153932375
SP_PIR_KEYWORDS	transferase	44	13.095238095238097	1.0622304650374762E-4	ENSG00000183044,_ENSG00000106692,_ENSG00000107779,_ENSG00000139718,_ENSG00000116106,_ENSG00000063176,_ENSG00000163785,_ENSG00000054392,_ENSG00000125388,_ENSG00000067057,_ENSG00000173846,_ENSG00000069956,_ENSG00000135069,_ENSG00000109586,_ENSG00000156345,_ENSG00000160584,_ENSG00000037280,_ENSG00000112972,_ENSG00000011198,_ENSG00000162889,_ENSG00000136247,_ENSG00000034152,_ENSG00000152556,_ENSG00000159921,_ENSG00000111962,_ENSG00000178607,_ENSG00000169105,_ENSG00000134852,_ENSG00000119638,_ENSG00000131459,_ENSG00000086015,_ENSG00000171608,_ENSG00000156471,_ENSG00000143179,_ENSG00000143641,_ENSG00000100605,_ENSG00000183421,_ENSG00000169398,_ENSG00000188818,_ENSG00000109065,_ENSG00000115525,_ENSG00000104885,_ENSG00000115170,_ENSG00000131067	328	1394	19235	1.851007803478322	0.03854220970998923	0.013016086694142337	0.14637932272342224
GOTERM_CC_FAT	GO:0005829~cytosol	40	11.904761904761903	5.577423446207251E-4	ENSG00000101665,_ENSG00000063176,_ENSG00000107130,_ENSG00000125388,_ENSG00000173848,_ENSG00000187840,_ENSG00000067057,_ENSG00000112877,_ENSG00000110330,_ENSG00000165233,_ENSG00000141279,_ENSG00000026025,_ENSG00000196396,_ENSG00000118507,_ENSG00000112972,_ENSG00000011198,_ENSG00000162889,_ENSG00000152556,_ENSG00000159921,_ENSG00000124570,_ENSG00000132906,_ENSG00000204673,_ENSG00000171608,_ENSG00000159733,_ENSG00000149782,_ENSG00000164611,_ENSG00000157978,_ENSG00000143179,_ENSG00000147202,_ENSG00000128016,_ENSG00000169398,_ENSG00000120915,_ENSG00000117009,_ENSG00000171314,_ENSG00000196924,_ENSG00000104490,_ENSG00000146426,_ENSG00000035403,_ENSG00000168993,_ENSG00000015475	220	1330	12782	1.7473684210526315	0.14700441991076252	0.14700441991076252	0.7369576625618324
GOTERM_MF_FAT	GO:0001948~glycoprotein_binding	6	1.7857142857142856	5.890892266907105E-4	ENSG00000174175,_ENSG00000137801,_ENSG00000130635,_ENSG00000196924,_ENSG00000213420,_ENSG00000100097	244	37	12983	8.628489144882588	0.2613130666192547	0.2613130666192547	0.8482392304196229
GOTERM_CC_FAT	GO:0044459~plasma_membrane_part	58	17.261904761904763	6.336614255876135E-4	ENSG00000091129,_ENSG00000101665,_ENSG00000152990,_ENSG00000174175,_ENSG00000151079,_ENSG00000107779,_ENSG00000163785,_ENSG00000102996,_ENSG00000073712,_ENSG00000139193,_ENSG00000188404,_ENSG00000037280,_ENSG00000118507,_ENSG00000154165,_ENSG00000152818,_ENSG00000198576,_ENSG00000086015,_ENSG00000067141,_ENSG00000142408,_ENSG00000069702,_ENSG00000136153,_ENSG00000159840,_ENSG00000067182,_ENSG00000168394,_ENSG00000035403,_ENSG00000085117,_ENSG00000104998,_ENSG00000112378,_ENSG00000099337,_ENSG00000116106,_ENSG00000213420,_ENSG00000197971,_ENSG00000135046,_ENSG00000100151,_ENSG00000196639,_ENSG00000112149,_ENSG00000104756,_ENSG00000137801,_ENSG00000141526,_ENSG00000145649,_ENSG00000222040,_ENSG00000196396,_ENSG00000108370,_ENSG00000196876,_ENSG00000067191,_ENSG00000076662,_ENSG00000152556,_ENSG00000110876,_ENSG00000160712,_ENSG00000110400,_ENSG00000157978,_ENSG00000147065,_ENSG00000213658,_ENSG00000169398,_ENSG00000117560,_ENSG00000115525,_ENSG00000115170,_ENSG00000069849	220	2203	12782	1.5296413980935086	0.1652731622264546	0.08636613582160524	0.836882079990442
UP_SEQ_FEATURE	domain:Rab-GAP_TBC	6	1.7857142857142856	8.02913895767568E-4	ENSG00000131374,_ENSG00000107021,_ENSG00000104946,_ENSG00000099992,_ENSG00000162065,_ENSG00000125875	328	43	19113	8.130884855360181	0.5793225299349151	0.5793225299349151	1.2730637674511547
GOTERM_BP_FAT	GO:0006928~cell_motion	21	6.25	8.170401181147154E-4	ENSG00000091129,_ENSG00000105329,_ENSG00000110876,_ENSG00000174175,_ENSG00000122861,_ENSG00000122877,_ENSG00000160712,_ENSG00000130635,_ENSG00000169194,_ENSG00000116106,_ENSG00000110400,_ENSG00000166313,_ENSG00000147065,_ENSG00000135046,_ENSG00000069702,_ENSG00000137801,_ENSG00000026025,_ENSG00000169398,_ENSG00000115170,_ENSG00000035403,_ENSG00000020633	260	475	13528	2.300307692307692	0.7757462795172857	0.7757462795172857	1.381034580730367
INTERPRO	IPR000195:RabGAP/TBC	6	1.7857142857142856	9.480902297571934E-4	ENSG00000131374,_ENSG00000107021,_ENSG00000104946,_ENSG00000099992,_ENSG00000162065,_ENSG00000125875	297	43	16659	7.82663847780127	0.45814498250150937	0.45814498250150937	1.4051146396947933
GOTERM_MF_FAT	GO:0005097~Rab_GTPase_activator_activity	6	1.7857142857142856	0.0019584885601184317	ENSG00000131374,_ENSG00000107021,_ENSG00000104946,_ENSG00000099992,_ENSG00000162065,_ENSG00000125875	244	48	12983	6.651127049180327	0.6349241643128726	0.39578494251870266	2.7942481842274325
