Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	phosphoprotein	221	50.456621004566216	1.5945298319944004E-9	ENSG00000084070, ENSG00000015676, ENSG00000131759, ENSG00000160685, ENSG00000107738, ENSG00000138385, ENSG00000103091, ENSG00000109118, ENSG00000033011, ENSG00000153250, ENSG00000070081, ENSG00000131370, ENSG00000104447, ENSG00000150938, ENSG00000023608, ENSG00000089159, ENSG00000070182, ENSG00000215041, ENSG00000146574, ENSG00000126456, ENSG00000205531, ENSG00000184731, ENSG00000113658, ENSG00000133895, ENSG00000132359, ENSG00000065970, ENSG00000196793, ENSG00000080189, ENSG00000204381, ENSG00000104725, ENSG00000104722, ENSG00000087053, ENSG00000173166, ENSG00000160856, ENSG00000160460, ENSG00000166068, ENSG00000141524, ENSG00000161326, ENSG00000111727, ENSG00000151694, ENSG00000204186, ENSG00000112902, ENSG00000120694, ENSG00000151690, ENSG00000204394, ENSG00000163960, ENSG00000164362, ENSG00000092621, ENSG00000107140, ENSG00000165071, ENSG00000114812, ENSG00000072310, ENSG00000196670, ENSG00000140474, ENSG00000077935, ENSG00000170242, ENSG00000066294, ENSG00000178053, ENSG00000102245, ENSG00000143793, ENSG00000196456, ENSG00000108773, ENSG00000004660, ENSG00000183558, ENSG00000122678, ENSG00000155090, ENSG00000138814, ENSG00000075420, ENSG00000072110, ENSG00000070961, ENSG00000144824, ENSG00000092295, ENSG00000135476, ENSG00000013588, ENSG00000204681, ENSG00000106799, ENSG00000133961, ENSG00000148773, ENSG00000135318, ENSG00000181754, ENSG00000161270, ENSG00000163113, ENSG00000092871, ENSG00000197586, ENSG00000117090, ENSG00000111348, ENSG00000139116, ENSG00000105281, ENSG00000122299, ENSG00000105810, ENSG00000198945, ENSG00000120885, ENSG00000138834, ENSG00000146112, ENSG00000124406, ENSG00000175898, ENSG00000174177, ENSG00000125744, ENSG00000145868, ENSG00000152894, ENSG00000115207, ENSG00000177595, ENSG00000172175, ENSG00000107485, ENSG00000204217, ENSG00000196428, ENSG00000181826, ENSG00000187699, ENSG00000151876, ENSG00000174373, ENSG00000148337, ENSG00000138439, ENSG00000163516, ENSG00000112659, ENSG00000164654, ENSG00000198142, ENSG00000125755, ENSG00000148334, ENSG00000054965, ENSG00000203485, ENSG00000179820, ENSG00000077585, ENSG00000099814, ENSG00000039068, ENSG00000148143, ENSG00000180376, ENSG00000103423, ENSG00000163297, ENSG00000145730, ENSG00000091409, ENSG00000103550, ENSG00000143842, ENSG00000135048, ENSG00000115956, ENSG00000141298, ENSG00000206560, ENSG00000171791, ENSG00000155629, ENSG00000041515, ENSG00000177189, ENSG00000161791, ENSG00000134780, ENSG00000175866, ENSG00000135631, ENSG00000090447, ENSG00000165138, ENSG00000101596, ENSG00000067955, ENSG00000198885, ENSG00000075340, ENSG00000143753, ENSG00000135821, ENSG00000130821, ENSG00000180448, ENSG00000182247, ENSG00000153317, ENSG00000116991, ENSG00000145715, ENSG00000121753, ENSG00000182621, ENSG00000082074, ENSG00000131149, ENSG00000140009, ENSG00000001629, ENSG00000167535, ENSG00000103168, ENSG00000120913, ENSG00000151726, ENSG00000071894, ENSG00000117036, ENSG00000105875, ENSG00000205356, ENSG00000121864, ENSG00000159640, ENSG00000080546, ENSG00000040633, ENSG00000068878, ENSG00000102760, ENSG00000099326, ENSG00000164889, ENSG00000177030, ENSG00000042493, ENSG00000182985, ENSG00000004777, ENSG00000100503, ENSG00000182318, ENSG00000076003, ENSG00000023516, ENSG00000186076, ENSG00000033122, ENSG00000131069, ENSG00000197226, ENSG00000154134, ENSG00000167202, ENSG00000164649, ENSG00000076356, ENSG00000183473, ENSG00000175634, ENSG00000106462, ENSG00000090975, ENSG00000150593, ENSG00000140859, ENSG00000006432, ENSG00000150457, ENSG00000148690, ENSG00000162734, ENSG00000006744, ENSG00000183864, ENSG00000184203, ENSG00000120802, ENSG00000104450, ENSG00000080561, ENSG00000103051, ENSG00000127334, ENSG00000143514, ENSG00000068078, ENSG00000025156, ENSG00000115904, ENSG00000102878, ENSG00000100629, ENSG00000012779	425	7263	19235	1.3771444306760292	5.915703966685726E-7	5.915703966685726E-7	2.1996890087194743E-6
SP_PIR_KEYWORDS	alternative splicing	214	48.858447488584474	1.1689279243744248E-6	ENSG00000084070, ENSG00000131759, ENSG00000146285, ENSG00000215305, ENSG00000103091, ENSG00000109118, ENSG00000167840, ENSG00000153250, ENSG00000070081, ENSG00000104447, ENSG00000089159, ENSG00000070182, ENSG00000215041, ENSG00000170379, ENSG00000156671, ENSG00000133895, ENSG00000196150, ENSG00000106069, ENSG00000124225, ENSG00000132359, ENSG00000065970, ENSG00000080189, ENSG00000204381, ENSG00000114529, ENSG00000173166, ENSG00000140688, ENSG00000006327, ENSG00000160856, ENSG00000160460, ENSG00000141524, ENSG00000006468, ENSG00000151694, ENSG00000120694, ENSG00000171649, ENSG00000164362, ENSG00000111906, ENSG00000100731, ENSG00000165071, ENSG00000114812, ENSG00000072310, ENSG00000196670, ENSG00000140474, ENSG00000077935, ENSG00000188167, ENSG00000170242, ENSG00000100036, ENSG00000184402, ENSG00000066294, ENSG00000144959, ENSG00000101190, ENSG00000173852, ENSG00000162413, ENSG00000069998, ENSG00000143793, ENSG00000106633, ENSG00000091592, ENSG00000108773, ENSG00000004660, ENSG00000064687, ENSG00000138814, ENSG00000134363, ENSG00000069493, ENSG00000106123, ENSG00000075420, ENSG00000070961, ENSG00000144824, ENSG00000135476, ENSG00000072682, ENSG00000100599, ENSG00000143367, ENSG00000204681, ENSG00000164398, ENSG00000133961, ENSG00000148773, ENSG00000167699, ENSG00000161270, ENSG00000092871, ENSG00000114388, ENSG00000117090, ENSG00000120659, ENSG00000144426, ENSG00000157833, ENSG00000139116, ENSG00000171604, ENSG00000122299, ENSG00000198945, ENSG00000100320, ENSG00000120885, ENSG00000119946, ENSG00000138834, ENSG00000146112, ENSG00000124406, ENSG00000174177, ENSG00000125744, ENSG00000145868, ENSG00000152894, ENSG00000144741, ENSG00000115207, ENSG00000172175, ENSG00000177595, ENSG00000128394, ENSG00000107485, ENSG00000196428, ENSG00000151876, ENSG00000174373, ENSG00000148337, ENSG00000138439, ENSG00000166145, ENSG00000112659, ENSG00000164654, ENSG00000125755, ENSG00000140939, ENSG00000166900, ENSG00000126259, ENSG00000054965, ENSG00000203485, ENSG00000139044, ENSG00000099814, ENSG00000148143, ENSG00000180376, ENSG00000103423, ENSG00000163297, ENSG00000087258, ENSG00000145730, ENSG00000091409, ENSG00000173706, ENSG00000167244, ENSG00000162572, ENSG00000221955, ENSG00000145882, ENSG00000087903, ENSG00000141298, ENSG00000206560, ENSG00000171791, ENSG00000155629, ENSG00000041515, ENSG00000161791, ENSG00000105426, ENSG00000175866, ENSG00000070610, ENSG00000165138, ENSG00000101596, ENSG00000067955, ENSG00000198885, ENSG00000075340, ENSG00000153317, ENSG00000116991, ENSG00000145715, ENSG00000121753, ENSG00000182621, ENSG00000082074, ENSG00000048140, ENSG00000131149, ENSG00000140009, ENSG00000186810, ENSG00000162241, ENSG00000100105, ENSG00000167535, ENSG00000103168, ENSG00000120913, ENSG00000151726, ENSG00000117036, ENSG00000105875, ENSG00000004468, ENSG00000205356, ENSG00000159640, ENSG00000163738, ENSG00000080546, ENSG00000129277, ENSG00000116574, ENSG00000040633, ENSG00000068878, ENSG00000102760, ENSG00000112167, ENSG00000039600, ENSG00000099326, ENSG00000164889, ENSG00000177030, ENSG00000087494, ENSG00000182983, ENSG00000182985, ENSG00000022976, ENSG00000184470, ENSG00000004777, ENSG00000100503, ENSG00000169896, ENSG00000033122, ENSG00000186197, ENSG00000197226, ENSG00000184465, ENSG00000154134, ENSG00000167202, ENSG00000164649, ENSG00000140398, ENSG00000076356, ENSG00000105991, ENSG00000196358, ENSG00000090975, ENSG00000140859, ENSG00000006432, ENSG00000148690, ENSG00000006744, ENSG00000120802, ENSG00000080561, ENSG00000197262, ENSG00000103051, ENSG00000127334, ENSG00000143514, ENSG00000068078, ENSG00000118513, ENSG00000135919, ENSG00000102878, ENSG00000113520, ENSG00000100629	425	7488	19235	1.2934546254399195	4.335784910654006E-4	2.1681274941687256E-4	0.0016125497572350156
UP_SEQ_FEATURE	splice variant	212	48.401826484018265	3.642880261329181E-6	ENSG00000084070, ENSG00000131759, ENSG00000146285, ENSG00000215305, ENSG00000103091, ENSG00000109118, ENSG00000167840, ENSG00000153250, ENSG00000070081, ENSG00000104447, ENSG00000089159, ENSG00000070182, ENSG00000215041, ENSG00000170379, ENSG00000156671, ENSG00000133895, ENSG00000196150, ENSG00000124225, ENSG00000132359, ENSG00000065970, ENSG00000080189, ENSG00000204381, ENSG00000114529, ENSG00000173166, ENSG00000140688, ENSG00000006327, ENSG00000160856, ENSG00000160460, ENSG00000141524, ENSG00000006468, ENSG00000151694, ENSG00000120694, ENSG00000171649, ENSG00000164362, ENSG00000111906, ENSG00000100731, ENSG00000165071, ENSG00000114812, ENSG00000072310, ENSG00000196670, ENSG00000140474, ENSG00000077935, ENSG00000188167, ENSG00000170242, ENSG00000100036, ENSG00000184402, ENSG00000066294, ENSG00000144959, ENSG00000101190, ENSG00000173852, ENSG00000162413, ENSG00000069998, ENSG00000143793, ENSG00000106633, ENSG00000091592, ENSG00000108773, ENSG00000004660, ENSG00000064687, ENSG00000138814, ENSG00000134363, ENSG00000069493, ENSG00000106123, ENSG00000075420, ENSG00000070961, ENSG00000144824, ENSG00000135476, ENSG00000072682, ENSG00000100599, ENSG00000143367, ENSG00000204681, ENSG00000164398, ENSG00000133961, ENSG00000148773, ENSG00000167699, ENSG00000161270, ENSG00000092871, ENSG00000114388, ENSG00000117090, ENSG00000120659, ENSG00000144426, ENSG00000157833, ENSG00000139116, ENSG00000171604, ENSG00000122299, ENSG00000198945, ENSG00000100320, ENSG00000120885, ENSG00000119946, ENSG00000138834, ENSG00000146112, ENSG00000124406, ENSG00000174177, ENSG00000125744, ENSG00000145868, ENSG00000152894, ENSG00000144741, ENSG00000115207, ENSG00000172175, ENSG00000177595, ENSG00000128394, ENSG00000107485, ENSG00000196428, ENSG00000151876, ENSG00000174373, ENSG00000148337, ENSG00000138439, ENSG00000166145, ENSG00000112659, ENSG00000164654, ENSG00000125755, ENSG00000140939, ENSG00000166900, ENSG00000126259, ENSG00000054965, ENSG00000203485, ENSG00000139044, ENSG00000099814, ENSG00000148143, ENSG00000180376, ENSG00000103423, ENSG00000163297, ENSG00000087258, ENSG00000145730, ENSG00000091409, ENSG00000173706, ENSG00000167244, ENSG00000162572, ENSG00000221955, ENSG00000145882, ENSG00000087903, ENSG00000141298, ENSG00000206560, ENSG00000171791, ENSG00000155629, ENSG00000041515, ENSG00000161791, ENSG00000105426, ENSG00000175866, ENSG00000070610, ENSG00000165138, ENSG00000101596, ENSG00000067955, ENSG00000198885, ENSG00000075340, ENSG00000153317, ENSG00000116991, ENSG00000145715, ENSG00000121753, ENSG00000182621, ENSG00000048140, ENSG00000131149, ENSG00000140009, ENSG00000186810, ENSG00000162241, ENSG00000100105, ENSG00000167535, ENSG00000103168, ENSG00000120913, ENSG00000151726, ENSG00000117036, ENSG00000105875, ENSG00000004468, ENSG00000205356, ENSG00000159640, ENSG00000163738, ENSG00000080546, ENSG00000129277, ENSG00000116574, ENSG00000040633, ENSG00000068878, ENSG00000102760, ENSG00000112167, ENSG00000039600, ENSG00000099326, ENSG00000164889, ENSG00000177030, ENSG00000087494, ENSG00000182983, ENSG00000182985, ENSG00000022976, ENSG00000184470, ENSG00000004777, ENSG00000100503, ENSG00000033122, ENSG00000186197, ENSG00000197226, ENSG00000167207, ENSG00000184465, ENSG00000154134, ENSG00000167202, ENSG00000164649, ENSG00000140398, ENSG00000076356, ENSG00000105991, ENSG00000196358, ENSG00000090975, ENSG00000140859, ENSG00000006432, ENSG00000148690, ENSG00000006744, ENSG00000120802, ENSG00000080561, ENSG00000197262, ENSG00000103051, ENSG00000127334, ENSG00000143514, ENSG00000068078, ENSG00000118513, ENSG00000135919, ENSG00000102878, ENSG00000113520, ENSG00000100629	425	7458	19113	1.2783607022857415	0.004728182637618983	0.004728182637618983	0.005948375299336117
GOTERM_BP_FAT	GO:0045597~positive regulation of cell differentiation	19	4.337899543378995	7.894495658652247E-6	ENSG00000131759, ENSG00000167244, ENSG00000198805, ENSG00000104725, ENSG00000113658, ENSG00000133895, ENSG00000133961, ENSG00000155090, ENSG00000006327, ENSG00000113525, ENSG00000171791, ENSG00000181754, ENSG00000111012, ENSG00000204217, ENSG00000075420, ENSG00000213203, ENSG00000120885, ENSG00000102878, ENSG00000120659	319	229	13528	3.518528151565345	0.017062821162118436	0.017062821162118436	0.013708848813631658
GOTERM_BP_FAT	GO:0051094~positive regulation of developmental process	21	4.794520547945205	9.397054761677194E-6	ENSG00000131759, ENSG00000167244, ENSG00000198805, ENSG00000104725, ENSG00000113658, ENSG00000183864, ENSG00000133895, ENSG00000133961, ENSG00000155090, ENSG00000006327, ENSG00000113525, ENSG00000134363, ENSG00000171791, ENSG00000181754, ENSG00000204217, ENSG00000111012, ENSG00000075420, ENSG00000213203, ENSG00000120885, ENSG00000102878, ENSG00000120659	319	278	13528	3.2034460206129767	0.020277269718127933	0.01019055860136786	0.01631785292910415
SP_PIR_KEYWORDS	GTPase activation	15	3.4246575342465753	1.18990893275976E-5	ENSG00000084070, ENSG00000111348, ENSG00000175463, ENSG00000100599, ENSG00000180448, ENSG00000153317, ENSG00000167202, ENSG00000116991, ENSG00000145715, ENSG00000004777, ENSG00000106069, ENSG00000132359, ENSG00000105808, ENSG00000197226, ENSG00000174373	425	159	19235	4.2697003329633745	0.004404858433208814	0.0014704472998566809	0.016413806247062013
GOTERM_BP_FAT	GO:0030097~hemopoiesis	19	4.337899543378995	1.1965257800289798E-5	ENSG00000100105, ENSG00000095752, ENSG00000067955, ENSG00000075340, ENSG00000113658, ENSG00000159640, ENSG00000133895, ENSG00000172175, ENSG00000122678, ENSG00000178053, ENSG00000105810, ENSG00000115956, ENSG00000103423, ENSG00000171791, ENSG00000213203, ENSG00000113520, ENSG00000151694, ENSG00000102245, ENSG00000120659	319	236	13528	3.414165028425695	0.025747158396132175	0.008657115509950075	0.020777064605970175
GOTERM_BP_FAT	GO:0048534~hemopoietic or lymphoid organ development	20	4.5662100456621	1.2615623591778948E-5	ENSG00000100105, ENSG00000095752, ENSG00000067955, ENSG00000075340, ENSG00000113658, ENSG00000159640, ENSG00000133895, ENSG00000106799, ENSG00000172175, ENSG00000122678, ENSG00000178053, ENSG00000105810, ENSG00000115956, ENSG00000103423, ENSG00000171791, ENSG00000213203, ENSG00000113520, ENSG00000102245, ENSG00000151694, ENSG00000120659	319	260	13528	3.262117193151676	0.02712748978510615	0.006851975655606246	0.021906275304972578
GOTERM_BP_FAT	GO:0002520~immune system development	20	4.5662100456621	2.9069578104683626E-5	ENSG00000100105, ENSG00000095752, ENSG00000067955, ENSG00000075340, ENSG00000113658, ENSG00000159640, ENSG00000133895, ENSG00000106799, ENSG00000172175, ENSG00000122678, ENSG00000178053, ENSG00000105810, ENSG00000115956, ENSG00000103423, ENSG00000171791, ENSG00000213203, ENSG00000113520, ENSG00000102245, ENSG00000151694, ENSG00000120659	319	276	13528	3.073008950070419	0.06140631277542852	0.01259453681782341	0.05047078675546324
GOTERM_BP_FAT	GO:0032535~regulation of cellular component size	19	4.337899543378995	7.49213241472504E-5	ENSG00000167244, ENSG00000042493, ENSG00000075340, ENSG00000104725, ENSG00000197019, ENSG00000004468, ENSG00000104722, ENSG00000106799, ENSG00000145715, ENSG00000006327, ENSG00000115956, ENSG00000160460, ENSG00000171791, ENSG00000140009, ENSG00000068078, ENSG00000111012, ENSG00000137877, ENSG00000151694, ENSG00000070182	319	271	13528	2.9732212055662877	0.1506930417785688	0.02685524324970634	0.13003008801133475
