Category	Term	Count	%	PValue	Genes	List_Total	Pop_Hits	Pop_Total	Fold_Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	phosphoprotein	485	47.0873786407767	6.845319395352569E-13	ENSG00000091129,_ENSG00000141447,_ENSG00000071539,_ENSG00000064393,_ENSG00000184014,_ENSG00000102996,_ENSG00000163785,_ENSG00000167705,_ENSG00000131899,_ENSG00000136878,_ENSG00000160584,_ENSG00000099204,_ENSG00000140284,_ENSG00000065989,_ENSG00000109787,_ENSG00000074266,_ENSG00000197857,_ENSG00000166979,_ENSG00000034152,_ENSG00000027869,_ENSG00000074660,_ENSG00000103335,_ENSG00000204673,_ENSG00000117139,_ENSG00000197943,_ENSG00000152818,_ENSG00000164484,_ENSG00000136986,_ENSG00000146918,_ENSG00000141506,_ENSG00000156471,_ENSG00000137936,_ENSG00000197747,_ENSG00000117676,_ENSG00000136153,_ENSG00000147202,_ENSG00000141655,_ENSG00000159784,_ENSG00000102098,_ENSG00000130396,_ENSG00000186187,_ENSG00000166451,_ENSG00000066735,_ENSG00000198400,_ENSG00000197122,_ENSG00000028310,_ENSG00000166313,_ENSG00000110880,_ENSG00000067057,_ENSG00000100889,_ENSG00000100151,_ENSG00000117643,_ENSG00000113269,_ENSG00000141526,_ENSG00000137942,_ENSG00000157557,_ENSG00000197879,_ENSG00000099364,_ENSG00000108370,_ENSG00000137804,_ENSG00000067191,_ENSG00000139350,_ENSG00000111206,_ENSG00000110876,_ENSG00000160791,_ENSG00000034677,_ENSG00000042088,_ENSG00000179361,_ENSG00000160789,_ENSG00000147324,_ENSG00000171314,_ENSG00000198900,_ENSG00000139842,_ENSG00000206530,_ENSG00000081985,_ENSG00000034053,_ENSG00000109685,_ENSG00000165891,_ENSG00000186001,_ENSG00000102034,_ENSG00000136830,_ENSG00000183963,_ENSG00000171368,_ENSG00000037280,_ENSG00000136732,_ENSG00000185650,_ENSG00000118193,_ENSG00000151208,_ENSG00000186111,_ENSG00000140030,_ENSG00000093167,_ENSG00000012983,_ENSG00000163655,_ENSG00000121152,_ENSG00000158321,_ENSG00000155307,_ENSG00000120549,_ENSG00000100994,_ENSG00000047634,_ENSG00000169926,_ENSG00000180611,_ENSG00000139718,_ENSG00000136040,_ENSG00000129003,_ENSG00000197971,_ENSG00000152969,_ENSG00000135870,_ENSG00000198933,_ENSG00000141564,_ENSG00000150093,_ENSG00000173457,_ENSG00000064666,_ENSG00000179532,_ENSG00000137710,_ENSG00000185634,_ENSG00000128016,_ENSG00000047849,_ENSG00000117298,_ENSG00000138835,_ENSG00000173621,_ENSG00000138449,_ENSG00000169071,_ENSG00000072274,_ENSG00000101665,_ENSG00000152990,_ENSG00000174175,_ENSG00000142634,_ENSG00000116747,_ENSG00000121297,_ENSG00000169641,_ENSG00000116741,_ENSG00000168005,_ENSG00000028137,_ENSG00000142235,_ENSG00000197299,_ENSG00000198792,_ENSG00000168397,_ENSG00000173905,_ENSG00000143870,_ENSG00000163611,_ENSG00000142347,_ENSG00000185499,_ENSG00000105355,_ENSG00000135842,_ENSG00000148672,_ENSG00000108469,_ENSG00000033867,_ENSG00000148053,_ENSG00000068650,_ENSG00000122861,_ENSG00000135974,_ENSG00000206052,_ENSG00000116095,_ENSG00000136810,_ENSG00000135046,_ENSG00000205189,_ENSG00000173218,_ENSG00000068793,_ENSG00000051523,_ENSG00000145703,_ENSG00000129250,_ENSG00000038358,_ENSG00000141068,_ENSG00000129657,_ENSG00000152556,_ENSG00000152767,_ENSG00000198887,_ENSG00000078804,_ENSG00000182718,_ENSG00000132906,_ENSG00000110400,_ENSG00000120896,_ENSG00000138311,_ENSG00000142765,_ENSG00000176946,_ENSG00000183421,_ENSG00000163629,_ENSG00000169398,_ENSG00000108582,_ENSG00000023902,_ENSG00000112561,_ENSG00000075151,_ENSG00000197892,_ENSG00000162594,_ENSG00000135124,_ENSG00000188404,_ENSG00000188807,_ENSG00000132846,_ENSG00000132170,_ENSG00000101773,_ENSG00000033627,_ENSG00000187583,_ENSG00000147044,_ENSG00000086015,_ENSG00000149970,_ENSG00000163191,_ENSG00000169992,_ENSG00000116584,_ENSG00000049759,_ENSG00000166387,_ENSG00000112419,_ENSG00000168807,_ENSG00000075891,_ENSG00000166483,_ENSG00000140396,_ENSG00000071205,_ENSG00000143801,_ENSG00000085511,_ENSG00000148429,_ENSG00000031081,_ENSG00000196639,_ENSG00000102882,_ENSG00000080573,_ENSG00000183337,_ENSG00000091436,_ENSG00000168917,_ENSG00000205476,_ENSG00000116690,_ENSG00000148848,_ENSG00000136247,_ENSG00000096968,_ENSG00000162889,_ENSG00000100097,_ENSG00000168118,_ENSG00000135926,_ENSG00000163171,_ENSG00000106089,_ENSG00000147065,_ENSG00000164111,_ENSG00000069020,_ENSG00000182481,_ENSG00000213658,_ENSG00000107331,_ENSG00000052126,_ENSG00000169258,_ENSG00000168924,_ENSG00000171159,_ENSG00000117009,_ENSG00000107736,_ENSG00000154310,_ENSG00000120949,_ENSG00000171617,_ENSG00000165476,_ENSG00000157985,_ENSG00000134215,_ENSG00000114166,_ENSG00000131374,_ENSG00000145911,_ENSG00000069956,_ENSG00000160877,_ENSG00000134030,_ENSG00000117519,_ENSG00000171621,_ENSG00000107263,_ENSG00000197471,_ENSG00000056558,_ENSG00000154429,_ENSG00000168280,_ENSG00000184730,_ENSG00000023171,_ENSG00000175003,_ENSG00000145901,_ENSG00000003400,_ENSG00000134516,_ENSG00000168421,_ENSG00000073282,_ENSG00000134709,_ENSG00000124126,_ENSG00000035403,_ENSG00000143537,_ENSG00000213719,_ENSG00000142303,_ENSG00000149289,_ENSG00000187840,_ENSG00000171700,_ENSG00000177606,_ENSG00000222040,_ENSG00000077264,_ENSG00000069974,_ENSG00000076662,_ENSG00000160271,_ENSG00000124813,_ENSG00000031698,_ENSG00000153885,_ENSG00000149782,_ENSG00000157978,_ENSG00000134107,_ENSG00000073969,_ENSG00000181588,_ENSG00000134308,_ENSG00000151689,_ENSG00000090339,_ENSG00000072135,_ENSG00000100365,_ENSG00000171848,_ENSG00000104419,_ENSG00000189159,_ENSG00000070882,_ENSG00000020633,_ENSG00000005100,_ENSG00000107679,_ENSG00000104687,_ENSG00000005302,_ENSG00000168769,_ENSG00000198589,_ENSG00000154358,_ENSG00000107779,_ENSG00000135596,_ENSG00000063176,_ENSG00000173848,_ENSG00000173846,_ENSG00000126226,_ENSG00000112877,_ENSG00000140564,_ENSG00000076685,_ENSG00000111640,_ENSG00000138594,_ENSG00000165233,_ENSG00000124942,_ENSG00000101096,_ENSG00000157600,_ENSG00000198176,_ENSG00000072832,_ENSG00000182511,_ENSG00000085733,_ENSG00000044115,_ENSG00000019582,_ENSG00000107669,_ENSG00000134852,_ENSG00000101187,_ENSG00000142408,_ENSG00000085832,_ENSG00000152492,_ENSG00000107021,_ENSG00000099992,_ENSG00000159840,_ENSG00000101082,_ENSG00000145012,_ENSG00000116016,_ENSG00000143479,_ENSG00000135473,_ENSG00000090104,_ENSG00000168884,_ENSG00000161800,_ENSG00000197405,_ENSG00000116106,_ENSG00000167491,_ENSG00000102572,_ENSG00000134333,_ENSG00000168477,_ENSG00000188677,_ENSG00000143674,_ENSG00000140443,_ENSG00000120875,_ENSG00000162927,_ENSG00000169554,_ENSG00000013810,_ENSG00000041982,_ENSG00000182534,_ENSG00000171608,_ENSG00000115896,_ENSG00000143179,_ENSG00000115233,_ENSG00000169442,_ENSG00000124145,_ENSG00000197594,_ENSG00000115170,_ENSG00000118322,_ENSG00000105976,_ENSG00000049323,_ENSG00000113319,_ENSG00000151079,_ENSG00000105835,_ENSG00000144290,_ENSG00000073712,_ENSG00000082458,_ENSG00000087266,_ENSG00000139193,_ENSG00000115590,_ENSG00000137166,_ENSG00000124788,_ENSG00000115594,_ENSG00000101265,_ENSG00000196914,_ENSG00000176438,_ENSG00000105963,_ENSG00000125753,_ENSG00000073910,_ENSG00000051128,_ENSG00000054967,_ENSG00000198286,_ENSG00000076706,_ENSG00000119139,_ENSG00000130595,_ENSG00000204482,_ENSG00000112118,_ENSG00000113504,_ENSG00000150637,_ENSG00000138175,_ENSG00000100906,_ENSG00000158286,_ENSG00000215271,_ENSG00000136603,_ENSG00000137285,_ENSG00000126822,_ENSG00000084112,_ENSG00000170502,_ENSG00000157483,_ENSG00000119403,_ENSG00000167106,_ENSG00000063660,_ENSG00000178445,_ENSG00000159921,_ENSG00000127666,_ENSG00000134574,_ENSG00000131459,_ENSG00000099308,_ENSG00000159733,_ENSG00000107890,_ENSG00000183011,_ENSG00000057704,_ENSG00000185880,_ENSG00000143333,_ENSG00000167393,_ENSG00000107897,_ENSG00000159216,_ENSG00000076067,_ENSG00000128245,_ENSG00000062524,_ENSG00000196924,_ENSG00000146426,_ENSG00000015475,_ENSG00000137267,_ENSG00000111859,_ENSG00000088179,_ENSG00000140350,_ENSG00000103966,_ENSG00000157680,_ENSG00000107968,_ENSG00000054523,_ENSG00000112972,_ENSG00000107863,_ENSG00000176171,_ENSG00000176170,_ENSG00000004866,_ENSG00000198246,_ENSG00000119638,_ENSG00000140367,_ENSG00000164611,_ENSG00000065717,_ENSG00000160219,_ENSG00000081913,_ENSG00000104885,_ENSG00000131067,_ENSG00000168096,_ENSG00000147443,_ENSG00000099331,_ENSG00000127124,_ENSG00000087008,_ENSG00000130402,_ENSG00000111424,_ENSG00000029534,_ENSG00000152270,_ENSG00000131981,_ENSG00000026025,_ENSG00000058668,_ENSG00000196396,_ENSG00000166689,_ENSG00000124762,_ENSG00000163486,_ENSG00000131389,_ENSG00000132334,_ENSG00000178607,_ENSG00000054793,_ENSG00000144893,_ENSG00000172673,_ENSG00000151835,_ENSG00000107281,_ENSG00000100526,_ENSG00000132535,_ENSG00000167157,_ENSG00000178209,_ENSG00000109906,_ENSG00000121690,_ENSG00000187210	998	7263	19235	1.2870260692112574	3.7377168027319385E-10	3.7377168027319385E-10	9.979905790657995E-10
GOTERM_BP_FAT	GO:0043067~regulation_of_programmed_cell_death	92	8.932038834951456	5.22612436175554E-10	ENSG00000115008,_ENSG00000139842,_ENSG00000120949,_ENSG00000113319,_ENSG00000154358,_ENSG00000064393,_ENSG00000134215,_ENSG00000063176,_ENSG00000173848,_ENSG00000135124,_ENSG00000139193,_ENSG00000140564,_ENSG00000160877,_ENSG00000118495,_ENSG00000196914,_ENSG00000176171,_ENSG00000176170,_ENSG00000063438,_ENSG00000151208,_ENSG00000172005,_ENSG00000186827,_ENSG00000056558,_ENSG00000197471,_ENSG00000204673,_ENSG00000170542,_ENSG00000019582,_ENSG00000197943,_ENSG00000169372,_ENSG00000163421,_ENSG00000198286,_ENSG00000137331,_ENSG00000106952,_ENSG00000162711,_ENSG00000086062,_ENSG00000116584,_ENSG00000104432,_ENSG00000003400,_ENSG00000075891,_ENSG00000131323,_ENSG00000073282,_ENSG00000175505,_ENSG00000145779,_ENSG00000186350,_ENSG00000124126,_ENSG00000139289,_ENSG00000100906,_ENSG00000109471,_ENSG00000143801,_ENSG00000105329,_ENSG00000112378,_ENSG00000125726,_ENSG00000148985,_ENSG00000198400,_ENSG00000164399,_ENSG00000197122,_ENSG00000166313,_ENSG00000159388,_ENSG00000135046,_ENSG00000130402,_ENSG00000111424,_ENSG00000147889,_ENSG00000110330,_ENSG00000177606,_ENSG00000137801,_ENSG00000164400,_ENSG00000091436,_ENSG00000069974,_ENSG00000140443,_ENSG00000124762,_ENSG00000096968,_ENSG00000100097,_ENSG00000030110,_ENSG00000125735,_ENSG00000127666,_ENSG00000178607,_ENSG00000164733,_ENSG00000160712,_ENSG00000132906,_ENSG00000186891,_ENSG00000196839,_ENSG00000108179,_ENSG00000117525,_ENSG00000164111,_ENSG00000082512,_ENSG00000138685,_ENSG00000109906,_ENSG00000117560,_ENSG00000146426,_ENSG00000115170,_ENSG00000020633,_ENSG00000171310,_ENSG00000015475	783	812	13528	1.9575083831920932	1.6394337484237909E-6	1.6394337484237909E-6	9.457338023821649E-7
GOTERM_BP_FAT	GO:0010941~regulation_of_cell_death	92	8.932038834951456	6.362653091741957E-10	ENSG00000115008,_ENSG00000139842,_ENSG00000120949,_ENSG00000113319,_ENSG00000154358,_ENSG00000064393,_ENSG00000134215,_ENSG00000063176,_ENSG00000173848,_ENSG00000135124,_ENSG00000139193,_ENSG00000140564,_ENSG00000160877,_ENSG00000118495,_ENSG00000196914,_ENSG00000176171,_ENSG00000176170,_ENSG00000063438,_ENSG00000151208,_ENSG00000172005,_ENSG00000186827,_ENSG00000056558,_ENSG00000197471,_ENSG00000204673,_ENSG00000170542,_ENSG00000019582,_ENSG00000197943,_ENSG00000169372,_ENSG00000163421,_ENSG00000198286,_ENSG00000137331,_ENSG00000106952,_ENSG00000162711,_ENSG00000086062,_ENSG00000116584,_ENSG00000104432,_ENSG00000003400,_ENSG00000075891,_ENSG00000131323,_ENSG00000073282,_ENSG00000175505,_ENSG00000145779,_ENSG00000186350,_ENSG00000124126,_ENSG00000139289,_ENSG00000100906,_ENSG00000109471,_ENSG00000143801,_ENSG00000105329,_ENSG00000112378,_ENSG00000125726,_ENSG00000148985,_ENSG00000198400,_ENSG00000164399,_ENSG00000197122,_ENSG00000166313,_ENSG00000159388,_ENSG00000135046,_ENSG00000130402,_ENSG00000111424,_ENSG00000147889,_ENSG00000110330,_ENSG00000177606,_ENSG00000137801,_ENSG00000164400,_ENSG00000091436,_ENSG00000069974,_ENSG00000140443,_ENSG00000124762,_ENSG00000096968,_ENSG00000100097,_ENSG00000030110,_ENSG00000125735,_ENSG00000127666,_ENSG00000178607,_ENSG00000164733,_ENSG00000160712,_ENSG00000132906,_ENSG00000186891,_ENSG00000196839,_ENSG00000108179,_ENSG00000117525,_ENSG00000164111,_ENSG00000082512,_ENSG00000138685,_ENSG00000109906,_ENSG00000117560,_ENSG00000146426,_ENSG00000115170,_ENSG00000020633,_ENSG00000171310,_ENSG00000015475	783	815	13528	1.9503028308613244	1.995962137790741E-6	9.97981566830397E-7	1.1514031617032572E-6
GOTERM_CC_FAT	GO:0044459~plasma_membrane_part	183	17.766990291262136	2.113635769581535E-9	ENSG00000138449,_ENSG00000169071,_ENSG00000072274,_ENSG00000091129,_ENSG00000152990,_ENSG00000101665,_ENSG00000105976,_ENSG00000174175,_ENSG00000165272,_ENSG00000151079,_ENSG00000196517,_ENSG00000115598,_ENSG00000102996,_ENSG00000163785,_ENSG00000138031,_ENSG00000144290,_ENSG00000073712,_ENSG00000139193,_ENSG00000115594,_ENSG00000065989,_ENSG00000005844,_ENSG00000121594,_ENSG00000144118,_ENSG00000125753,_ENSG00000197471,_ENSG00000179242,_ENSG00000051128,_ENSG00000169756,_ENSG00000152818,_ENSG00000173198,_ENSG00000198286,_ENSG00000105355,_ENSG00000106952,_ENSG00000185499,_ENSG00000175003,_ENSG00000086062,_ENSG00000069702,_ENSG00000136153,_ENSG00000154122,_ENSG00000185760,_ENSG00000119139,_ENSG00000168421,_ENSG00000067182,_ENSG00000104783,_ENSG00000113504,_ENSG00000035403,_ENSG00000168394,_ENSG00000085117,_ENSG00000150637,_ENSG00000138175,_ENSG00000148053,_ENSG00000130396,_ENSG00000104998,_ENSG00000186187,_ENSG00000198400,_ENSG00000197122,_ENSG00000213420,_ENSG00000100151,_ENSG00000171700,_ENSG00000135046,_ENSG00000178623,_ENSG00000068793,_ENSG00000051523,_ENSG00000112149,_ENSG00000130545,_ENSG00000137801,_ENSG00000141526,_ENSG00000137942,_ENSG00000222040,_ENSG00000069974,_ENSG00000108370,_ENSG00000197879,_ENSG00000067191,_ENSG00000196876,_ENSG00000076662,_ENSG00000152556,_ENSG00000063660,_ENSG00000196126,_ENSG00000080511,_ENSG00000160791,_ENSG00000110876,_ENSG00000153885,_ENSG00000160712,_ENSG00000119714,_ENSG00000120896,_ENSG00000110400,_ENSG00000142765,_ENSG00000157978,_ENSG00000176945,_ENSG00000090339,_ENSG00000188389,_ENSG00000138686,_ENSG00000100365,_ENSG00000169398,_ENSG00000062524,_ENSG00000117560,_ENSG00000115525,_ENSG00000069849,_ENSG00000081985,_ENSG00000168243,_ENSG00000174136,_ENSG00000111859,_ENSG00000104687,_ENSG00000088179,_ENSG00000096996,_ENSG00000107779,_ENSG00000170128,_ENSG00000135124,_ENSG00000188404,_ENSG00000135898,_ENSG00000106537,_ENSG00000037280,_ENSG00000118507,_ENSG00000107863,_ENSG00000136732,_ENSG00000151208,_ENSG00000044115,_ENSG00000172005,_ENSG00000186827,_ENSG00000139725,_ENSG00000154165,_ENSG00000019582,_ENSG00000197635,_ENSG00000147044,_ENSG00000181467,_ENSG00000198576,_ENSG00000086015,_ENSG00000067141,_ENSG00000186111,_ENSG00000142408,_ENSG00000085832,_ENSG00000140030,_ENSG00000123892,_ENSG00000120217,_ENSG00000116584,_ENSG00000104267,_ENSG00000177697,_ENSG00000168807,_ENSG00000159840,_ENSG00000145012,_ENSG00000143801,_ENSG00000197405,_ENSG00000125726,_ENSG00000112378,_ENSG00000099337,_ENSG00000164023,_ENSG00000116106,_ENSG00000147650,_ENSG00000197971,_ENSG00000205336,_ENSG00000172215,_ENSG00000031081,_ENSG00000116815,_ENSG00000029534,_ENSG00000196639,_ENSG00000144935,_ENSG00000104756,_ENSG00000188677,_ENSG00000145649,_ENSG00000196396,_ENSG00000136856,_ENSG00000058668,_ENSG00000140443,_ENSG00000183134,_ENSG00000096968,_ENSG00000168334,_ENSG00000131389,_ENSG00000150093,_ENSG00000164733,_ENSG00000196839,_ENSG00000064666,_ENSG00000137710,_ENSG00000117525,_ENSG00000147065,_ENSG00000185634,_ENSG00000169442,_ENSG00000124145,_ENSG00000132535,_ENSG00000213658,_ENSG00000117298,_ENSG00000060558,_ENSG00000197594,_ENSG00000115170	705	2203	12782	1.5060739224075486	9.173175269383549E-7	9.173175269383549E-7	2.983094526953778E-6
GOTERM_BP_FAT	GO:0042981~regulation_of_apoptosis	89	8.640776699029127	3.414421594092498E-9	ENSG00000115008,_ENSG00000139842,_ENSG00000120949,_ENSG00000113319,_ENSG00000154358,_ENSG00000064393,_ENSG00000134215,_ENSG00000063176,_ENSG00000173848,_ENSG00000135124,_ENSG00000139193,_ENSG00000140564,_ENSG00000160877,_ENSG00000118495,_ENSG00000196914,_ENSG00000176171,_ENSG00000176170,_ENSG00000063438,_ENSG00000151208,_ENSG00000172005,_ENSG00000186827,_ENSG00000056558,_ENSG00000197471,_ENSG00000204673,_ENSG00000170542,_ENSG00000019582,_ENSG00000169372,_ENSG00000163421,_ENSG00000198286,_ENSG00000137331,_ENSG00000106952,_ENSG00000162711,_ENSG00000086062,_ENSG00000116584,_ENSG00000104432,_ENSG00000003400,_ENSG00000131323,_ENSG00000073282,_ENSG00000175505,_ENSG00000145779,_ENSG00000186350,_ENSG00000124126,_ENSG00000139289,_ENSG00000100906,_ENSG00000109471,_ENSG00000143801,_ENSG00000112378,_ENSG00000105329,_ENSG00000125726,_ENSG00000148985,_ENSG00000198400,_ENSG00000164399,_ENSG00000197122,_ENSG00000166313,_ENSG00000159388,_ENSG00000135046,_ENSG00000130402,_ENSG00000111424,_ENSG00000147889,_ENSG00000110330,_ENSG00000177606,_ENSG00000137801,_ENSG00000164400,_ENSG00000091436,_ENSG00000069974,_ENSG00000140443,_ENSG00000124762,_ENSG00000096968,_ENSG00000100097,_ENSG00000030110,_ENSG00000125735,_ENSG00000127666,_ENSG00000178607,_ENSG00000164733,_ENSG00000160712,_ENSG00000132906,_ENSG00000186891,_ENSG00000196839,_ENSG00000108179,_ENSG00000117525,_ENSG00000164111,_ENSG00000082512,_ENSG00000109906,_ENSG00000117560,_ENSG00000146426,_ENSG00000115170,_ENSG00000020633,_ENSG00000171310,_ENSG00000015475	783	804	13528	1.9125191412033067	1.0710983322170797E-5	3.5703405213416417E-6	6.178831368774951E-6
INTERPRO	IPR011993:Pleckstrin_homology-type	44	4.271844660194175	8.998735815915667E-9	ENSG00000023902,_ENSG00000071205,_ENSG00000107679,_ENSG00000034053,_ENSG00000113319,_ENSG00000088179,_ENSG00000141447,_ENSG00000147443,_ENSG00000134215,_ENSG00000206052,_ENSG00000116095,_ENSG00000166313,_ENSG00000173848,_ENSG00000073712,_ENSG00000176531,_ENSG00000087266,_ENSG00000126822,_ENSG00000113108,_ENSG00000054523,_ENSG00000008256,_ENSG00000166689,_ENSG00000107863,_ENSG00000196914,_ENSG00000185112,_ENSG00000105963,_ENSG00000152767,_ENSG00000125753,_ENSG00000051128,_ENSG00000197943,_ENSG00000149970,_ENSG00000115896,_ENSG00000137710,_ENSG00000115762,_ENSG00000157978,_ENSG00000147065,_ENSG00000185634,_ENSG00000116584,_ENSG00000160219,_ENSG00000163629,_ENSG00000052126,_ENSG00000053524,_ENSG00000146426,_ENSG00000070882,_ENSG00000197283	913	303	16659	2.649648097339855	1.207623067034369E-5	1.207623067034369E-5	1.4750383348083318E-5
INTERPRO	IPR001849:Pleckstrin_homology	41	3.9805825242718447	1.8122813658367157E-8	ENSG00000023902,_ENSG00000071205,_ENSG00000107679,_ENSG00000113319,_ENSG00000141447,_ENSG00000147443,_ENSG00000154358,_ENSG00000157985,_ENSG00000134215,_ENSG00000206052,_ENSG00000116095,_ENSG00000173848,_ENSG00000073712,_ENSG00000136830,_ENSG00000176531,_ENSG00000087266,_ENSG00000126822,_ENSG00000054523,_ENSG00000008256,_ENSG00000166689,_ENSG00000107863,_ENSG00000196914,_ENSG00000105963,_ENSG00000152767,_ENSG00000197943,_ENSG00000187583,_ENSG00000149970,_ENSG00000115896,_ENSG00000115762,_ENSG00000116584,_ENSG00000160219,_ENSG00000081913,_ENSG00000168807,_ENSG00000052126,_ENSG00000053524,_ENSG00000146426,_ENSG00000070882,_ENSG00000124126,_ENSG00000100422,_ENSG00000139289,_ENSG00000197283	913	277	16659	2.7007366518914515	2.4320520449316874E-5	1.2160334161515074E-5	2.9706220339154044E-5
GOTERM_BP_FAT	GO:0006955~immune_response	77	7.475728155339806	3.337574335081299E-8	ENSG00000115008,_ENSG00000115009,_ENSG00000128342,_ENSG00000165406,_ENSG00000112561,_ENSG00000204261,_ENSG00000107779,_ENSG00000115598,_ENSG00000162594,_ENSG00000139193,_ENSG00000115604,_ENSG00000115590,_ENSG00000115594,_ENSG00000028137,_ENSG00000005844,_ENSG00000176171,_ENSG00000132170,_ENSG00000186827,_ENSG00000197471,_ENSG00000204671,_ENSG00000019582,_ENSG00000197943,_ENSG00000142347,_ENSG00000140030,_ENSG00000106952,_ENSG00000162711,_ENSG00000143641,_ENSG00000138623,_ENSG00000120217,_ENSG00000069702,_ENSG00000104432,_ENSG00000112115,_ENSG00000110944,_ENSG00000204482,_ENSG00000067182,_ENSG00000077984,_ENSG00000168394,_ENSG00000101082,_ENSG00000090104,_ENSG00000109471,_ENSG00000143801,_ENSG00000197405,_ENSG00000104998,_ENSG00000105329,_ENSG00000125726,_ENSG00000169194,_ENSG00000164399,_ENSG00000197971,_ENSG00000051523,_ENSG00000112149,_ENSG00000163568,_ENSG00000116514,_ENSG00000137801,_ENSG00000145649,_ENSG00000198933,_ENSG00000164400,_ENSG00000109861,_ENSG00000069974,_ENSG00000183134,_ENSG00000140443,_ENSG00000000971,_ENSG00000116690,_ENSG00000110777,_ENSG00000196126,_ENSG00000160791,_ENSG00000125735,_ENSG00000127666,_ENSG00000160712,_ENSG00000196839,_ENSG00000110400,_ENSG00000172673,_ENSG00000090339,_ENSG00000188389,_ENSG00000213658,_ENSG00000100365,_ENSG00000197594,_ENSG00000117560	783	690	13528	1.9280285783034408	1.0469422794234795E-4	2.6174584630944686E-5	6.039764838261519E-5
GOTERM_BP_FAT	GO:0050865~regulation_of_cell_activation	31	3.0097087378640777	7.244433778503555E-8	ENSG00000109471,_ENSG00000104998,_ENSG00000105329,_ENSG00000174175,_ENSG00000197461,_ENSG00000169194,_ENSG00000089012,_ENSG00000139193,_ENSG00000147889,_ENSG00000112149,_ENSG00000137801,_ENSG00000135870,_ENSG00000197299,_ENSG00000124762,_ENSG00000096968,_ENSG00000121594,_ENSG00000186827,_ENSG00000197471,_ENSG00000127666,_ENSG00000125735,_ENSG00000138684,_ENSG00000019582,_ENSG00000196839,_ENSG00000198286,_ENSG00000029993,_ENSG00000120217,_ENSG00000104432,_ENSG00000213658,_ENSG00000204482,_ENSG00000101082,_ENSG00000150637	783	175	13528	3.0605218025907686	2.2723207463681838E-4	4.54505462439414E-5	1.3109719013693066E-4
GOTERM_MF_FAT	GO:0030695~GTPase_regulator_activity	52	5.048543689320388	1.2166709790996134E-7	ENSG00000154310,_ENSG00000113319,_ENSG00000154358,_ENSG00000157985,_ENSG00000134215,_ENSG00000184014,_ENSG00000173848,_ENSG00000167705,_ENSG00000116741,_ENSG00000131374,_ENSG00000104946,_ENSG00000107863,_ENSG00000196914,_ENSG00000150681,_ENSG00000105963,_ENSG00000107263,_ENSG00000198915,_ENSG00000156787,_ENSG00000147041,_ENSG00000111361,_ENSG00000012983,_ENSG00000137936,_ENSG00000107021,_ENSG00000116584,_ENSG00000099992,_ENSG00000134516,_ENSG00000168421,_ENSG00000124126,_ENSG00000197283,_ENSG00000071205,_ENSG00000090104,_ENSG00000161800,_ENSG00000099331,_ENSG00000162065,_ENSG00000148429,_ENSG00000126822,_ENSG00000031081,_ENSG00000177606,_ENSG00000145703,_ENSG00000008256,_ENSG00000108370,_ENSG00000160271,_ENSG00000163486,_ENSG00000152767,_ENSG00000182718,_ENSG00000128656,_ENSG00000142765,_ENSG00000143333,_ENSG00000138835,_ENSG00000053524,_ENSG00000146426,_ENSG00000125875	755	404	12983	2.2133499442659494	1.1642864148286858E-4	1.1642864148286858E-4	1.9115331402197455E-4
