Term	Count	PValue	Fold_Enrichment	Benjamini
phosphoprotein	485	6.845319395352569E-13	1.2870260692112574	3.7377168027319385E-10
GO:0043067~regulation_of_programmed_cell_death	92	5.22612436175554E-10	1.9575083831920932	1.6394337484237909E-6
GO:0010941~regulation_of_cell_death	92	6.362653091741957E-10	1.9503028308613244	9.97981566830397E-7
GO:0044459~plasma_membrane_part	183	2.113635769581535E-9	1.5060739224075486	9.173175269383549E-7
GO:0042981~regulation_of_apoptosis	89	3.414421594092498E-9	1.9125191412033067	3.5703405213416417E-6
IPR011993:Pleckstrin_homology-type	44	8.998735815915667E-9	2.649648097339855	1.207623067034369E-5
IPR001849:Pleckstrin_homology	41	1.8122813658367157E-8	2.7007366518914515	1.2160334161515074E-5
GO:0006955~immune_response	77	3.337574335081299E-8	1.9280285783034408	2.6174584630944686E-5
GO:0050865~regulation_of_cell_activation	31	7.244433778503555E-8	3.0605218025907686	4.54505462439414E-5
GO:0030695~GTPase_regulator_activity	52	1.2166709790996134E-7	2.2133499442659494	1.1642864148286858E-4
GO:0042325~regulation_of_phosphorylation	57	1.3842895455546054E-7	2.1132981434890565	7.237265770454471E-5
hsa04060:Cytokine-cytokine_receptor_interaction	43	1.974587050501854E-7	2.3377060747963307	3.3369967658902766E-5
GO:0060589~nucleoside-triphosphatase_regulator_activity	52	2.4343644631432825E-7	2.1651171367637865	1.1647756971033818E-4
membrane	399	2.7509333545179825E-7	1.2292431730468611	7.509767093494268E-5
GO:0045321~leukocyte_activation	36	4.6491750147126626E-7	2.5701529400588963	2.083278026382418E-4
GO:0051174~regulation_of_phosphorus_metabolic_process	57	5.173234884282014E-7	2.0305091440534033	2.028349515612593E-4
GO:0019220~regulation_of_phosphate_metabolic_process	57	5.173234884282014E-7	2.0305091440534033	2.028349515612593E-4
SM00233:PH	41	8.560395305538477E-7	2.3129485450828584	2.345274259196728E-4
GO:0005886~plasma_membrane	267	8.894572124983115E-7	1.2816633712447683	1.9299367528557987E-4
GO:0002694~regulation_of_leukocyte_activation	28	9.542632820652752E-7	2.914216251981104	3.325586172456818E-4
kinase	67	1.0306724085208236E-6	1.8769297315561355	1.875648825282461E-4
GO:0051249~regulation_of_lymphocyte_activation	26	1.1714773298138193E-6	3.035173104138621	3.6742513646148556E-4
GO:0050867~positive_regulation_of_cell_activation	22	1.2657035064862306E-6	3.4242978610794705	3.6089071895206715E-4
GO:0042127~regulation_of_cell_proliferation	79	1.6433987287132312E-6	1.7342998696896081	4.2951990059614253E-4
GO:0009897~external_side_of_plasma_membrane	27	2.0056137661885666E-6	2.879549436795995	2.9010366092652173E-4
domain:PH	32	2.258947958926398E-6	2.588423498343131	0.00620857322029722
