Category	Term	Count	%	PValue	Genes	List_Total	Pop_Hits	Pop_Total	Fold_Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	active_site:Nucleophile	12	3.9473684210526314	1.4810100535687847E-4	ENSG00000112699,_ENSG00000168397,_ENSG00000076685,_ENSG00000143870,_ENSG00000158793,_ENSG00000137124,_ENSG00000204261,_ENSG00000204099,_ENSG00000136810,_ENSG00000162927,_ENSG00000104774,_ENSG00000042088	290	189	19113	4.184564860426929	0.15873340611890874	0.15873340611890874	0.23833248816681474
GOTERM_BP_FAT	GO:0002285~lymphocyte_activation_during_immune_response	5	1.644736842105263	1.7108635631588056E-4	ENSG00000143801,_ENSG00000197943,_ENSG00000069974,_ENSG00000196839,_ENSG00000005844	220	18	13528	17.08080808080808	0.23137596302448848	0.23137596302448848	0.2847445936496551
GOTERM_BP_FAT	GO:0002263~cell_activation_during_immune_response	6	1.9736842105263157	2.6601301498706395E-4	ENSG00000143801,_ENSG00000127666,_ENSG00000197943,_ENSG00000069974,_ENSG00000196839,_ENSG00000005844	220	36	13528	10.248484848484848	0.3358069563636972	0.18501960536691264	0.44240519276157464
GOTERM_BP_FAT	GO:0002366~leukocyte_activation_during_immune_response	6	1.9736842105263157	2.6601301498706395E-4	ENSG00000143801,_ENSG00000127666,_ENSG00000197943,_ENSG00000069974,_ENSG00000196839,_ENSG00000005844	220	36	13528	10.248484848484848	0.3358069563636972	0.18501960536691264	0.44240519276157464
GOTERM_CC_FAT	GO:0044459~plasma_membrane_part	53	17.434210526315788	9.714554561713107E-4	ENSG00000138449,_ENSG00000072274,_ENSG00000174136,_ENSG00000168243,_ENSG00000104687,_ENSG00000105976,_ENSG00000088179,_ENSG00000096996,_ENSG00000196517,_ENSG00000138031,_ENSG00000135898,_ENSG00000106537,_ENSG00000065989,_ENSG00000005844,_ENSG00000136732,_ENSG00000172005,_ENSG00000179242,_ENSG00000051128,_ENSG00000147044,_ENSG00000181467,_ENSG00000186111,_ENSG00000173198,_ENSG00000198286,_ENSG00000140030,_ENSG00000185499,_ENSG00000105355,_ENSG00000086062,_ENSG00000120217,_ENSG00000116584,_ENSG00000177697,_ENSG00000185760,_ENSG00000154122,_ENSG00000168421,_ENSG00000113504,_ENSG00000138175,_ENSG00000197405,_ENSG00000143801,_ENSG00000164023,_ENSG00000178623,_ENSG00000144935,_ENSG00000130545,_ENSG00000069974,_ENSG00000183134,_ENSG00000131389,_ENSG00000064666,_ENSG00000196839,_ENSG00000120896,_ENSG00000142765,_ENSG00000185634,_ENSG00000176945,_ENSG00000132535,_ENSG00000138686,_ENSG00000117298	200	2203	12782	1.5375533363595097	0.2278162569986073	0.2278162569986073	1.2668503931222541
SP_PIR_KEYWORDS	cytoplasm	72	23.684210526315788	0.001060627064950467	ENSG00000097021,_ENSG00000104687,_ENSG00000154310,_ENSG00000088179,_ENSG00000109685,_ENSG00000154358,_ENSG00000204261,_ENSG00000157077,_ENSG00000135596,_ENSG00000168101,_ENSG00000131899,_ENSG00000157680,_ENSG00000076685,_ENSG00000162909,_ENSG00000065989,_ENSG00000168397,_ENSG00000105963,_ENSG00000027869,_ENSG00000118193,_ENSG00000051128,_ENSG00000170542,_ENSG00000107669,_ENSG00000147044,_ENSG00000166189,_ENSG00000198286,_ENSG00000185499,_ENSG00000105355,_ENSG00000141506,_ENSG00000012983,_ENSG00000163655,_ENSG00000184887,_ENSG00000145901,_ENSG00000116584,_ENSG00000133134,_ENSG00000158793,_ENSG00000109063,_ENSG00000081913,_ENSG00000134516,_ENSG00000168421,_ENSG00000025039,_ENSG00000145779,_ENSG00000138175,_ENSG00000100906,_ENSG00000135473,_ENSG00000161800,_ENSG00000168884,_ENSG00000085382,_ENSG00000072803,_ENSG00000132819,_ENSG00000135241,_ENSG00000136810,_ENSG00000140807,_ENSG00000134333,_ENSG00000105655,_ENSG00000084112,_ENSG00000165521,_ENSG00000135870,_ENSG00000038358,_ENSG00000168118,_ENSG00000139350,_ENSG00000007350,_ENSG00000031698,_ENSG00000134202,_ENSG00000120896,_ENSG00000042088,_ENSG00000134308,_ENSG00000069020,_ENSG00000182481,_ENSG00000100526,_ENSG00000138686,_ENSG00000178209,_ENSG00000100422	290	3332	19235	1.433249161733659	0.2976870987436975	0.2976870987436975	1.4302929787038066
GOTERM_CC_FAT	GO:0000267~cell_fraction	30	9.868421052631579	0.002745721318814879	ENSG00000143575,_ENSG00000104687,_ENSG00000105976,_ENSG00000143801,_ENSG00000135241,_ENSG00000070018,_ENSG00000196517,_ENSG00000162909,_ENSG00000106537,_ENSG00000065989,_ENSG00000104774,_ENSG00000165527,_ENSG00000027869,_ENSG00000168118,_ENSG00000172005,_ENSG00000134202,_ENSG00000147044,_ENSG00000197943,_ENSG00000197093,_ENSG00000108179,_ENSG00000173198,_ENSG00000142765,_ENSG00000128039,_ENSG00000134308,_ENSG00000167642,_ENSG00000132535,_ENSG00000177697,_ENSG00000117298,_ENSG00000178209,_ENSG00000100422	200	1083	12782	1.770360110803324	0.5187490383113795	0.30627746058772143	3.5424360267545807
SP_PIR_KEYWORDS	phosphoprotein	133	43.75	0.0033641476902231153	ENSG00000138449,_ENSG00000072274,_ENSG00000154310,_ENSG00000105976,_ENSG00000134215,_ENSG00000184014,_ENSG00000131899,_ENSG00000082458,_ENSG00000168005,_ENSG00000142235,_ENSG00000065989,_ENSG00000074266,_ENSG00000117519,_ENSG00000197857,_ENSG00000198792,_ENSG00000166979,_ENSG00000176438,_ENSG00000105963,_ENSG00000027869,_ENSG00000168397,_ENSG00000143870,_ENSG00000056558,_ENSG00000051128,_ENSG00000197943,_ENSG00000198286,_ENSG00000105355,_ENSG00000185499,_ENSG00000146918,_ENSG00000141506,_ENSG00000145901,_ENSG00000003400,_ENSG00000134516,_ENSG00000130595,_ENSG00000168421,_ENSG00000112118,_ENSG00000113504,_ENSG00000100906,_ENSG00000138175,_ENSG00000143537,_ENSG00000068650,_ENSG00000158286,_ENSG00000215271,_ENSG00000028310,_ENSG00000136810,_ENSG00000100889,_ENSG00000117643,_ENSG00000177606,_ENSG00000084112,_ENSG00000170502,_ENSG00000113269,_ENSG00000038358,_ENSG00000129250,_ENSG00000069974,_ENSG00000160271,_ENSG00000167106,_ENSG00000139350,_ENSG00000111206,_ENSG00000198887,_ENSG00000031698,_ENSG00000127666,_ENSG00000099308,_ENSG00000120896,_ENSG00000142765,_ENSG00000042088,_ENSG00000176946,_ENSG00000134308,_ENSG00000076067,_ENSG00000005100,_ENSG00000139842,_ENSG00000104687,_ENSG00000088179,_ENSG00000109685,_ENSG00000154358,_ENSG00000075151,_ENSG00000135596,_ENSG00000186001,_ENSG00000157680,_ENSG00000076685,_ENSG00000188807,_ENSG00000157600,_ENSG00000136732,_ENSG00000176171,_ENSG00000198176,_ENSG00000004866,_ENSG00000118193,_ENSG00000101773,_ENSG00000107669,_ENSG00000033627,_ENSG00000147044,_ENSG00000186111,_ENSG00000140030,_ENSG00000012983,_ENSG00000065717,_ENSG00000163655,_ENSG00000169992,_ENSG00000116584,_ENSG00000166387,_ENSG00000160219,_ENSG00000081913,_ENSG00000100994,_ENSG00000135473,_ENSG00000161800,_ENSG00000168884,_ENSG00000143801,_ENSG00000197405,_ENSG00000047634,_ENSG00000167491,_ENSG00000148429,_ENSG00000134333,_ENSG00000168477,_ENSG00000102882,_ENSG00000183337,_ENSG00000135870,_ENSG00000116690,_ENSG00000162927,_ENSG00000205476,_ENSG00000163486,_ENSG00000168118,_ENSG00000131389,_ENSG00000054793,_ENSG00000064666,_ENSG00000179532,_ENSG00000185634,_ENSG00000115233,_ENSG00000069020,_ENSG00000182481,_ENSG00000100526,_ENSG00000132535,_ENSG00000047849,_ENSG00000117298,_ENSG00000171159,_ENSG00000178209,_ENSG00000168924	290	7263	19235	1.2145902472142698	0.6744208816524706	0.4294045931244018	4.471641935339077
UP_SEQ_FEATURE	domain:CH	5	1.644736842105263	0.0036472926031093835	ENSG00000064666,_ENSG00000134215,_ENSG00000135596,_ENSG00000186001,_ENSG00000117519	290	42	19113	7.846059113300492	0.9859364866930906	0.8814103153435788	5.716823019979467
GOTERM_MF_FAT	GO:0030676~Rac_guanyl-nucleotide_exchange_factor_activity	3	0.9868421052631579	0.0037771662441919516	ENSG00000116584,_ENSG00000134516,_ENSG00000134215	212	6	12983	30.620283018867923	0.8212674235405893	0.8212674235405893	5.23525688266192
KEGG_PATHWAY	hsa04662:B_cell_receptor_signaling_pathway	7	2.302631578947368	0.0038817077382901294	ENSG00000100906,_ENSG00000102882,_ENSG00000177606,_ENSG00000197943,_ENSG00000134215,_ENSG00000198286,_ENSG00000141506	104	75	5085	4.563461538461539	0.4130577075514389	0.4130577075514389	4.468582832101598
UP_SEQ_FEATURE	domain:Guanylate_kinase-like	4	1.3157894736842104	0.004842925141189089	ENSG00000082458,_ENSG00000132535,_ENSG00000147044,_ENSG00000198286	290	23	19113	11.462068965517242	0.9965363188881047	0.8486975476957559	7.523151960280849
GOTERM_BP_FAT	GO:0034637~cellular_carbohydrate_biosynthetic_process	6	1.9736842105263157	0.005154030099846168	ENSG00000112699,_ENSG00000086062,_ENSG00000105655,_ENSG00000170191,_ENSG00000197943,_ENSG00000100889	220	69	13528	5.347035573122529	0.9996464184804638	0.9292874466682126	8.251342283067864
GOTERM_MF_FAT	GO:0005083~small_GTPase_regulator_activity	12	3.9473684210526314	0.005231878711599988	ENSG00000105963,_ENSG00000116584,_ENSG00000154310,_ENSG00000177606,_ENSG00000154358,_ENSG00000134516,_ENSG00000134215,_ENSG00000184014,_ENSG00000142765,_ENSG00000012983,_ENSG00000160271,_ENSG00000148429	212	274	12983	2.682068585594271	0.908072391495944	0.6968043395692214	7.18267120934205
INTERPRO	IPR001715:Calponin-like_actin-binding	6	1.9736842105263157	0.005449310438905543	ENSG00000064666,_ENSG00000134215,_ENSG00000178209,_ENSG00000135596,_ENSG00000186001,_ENSG00000117519	270	70	16659	5.288571428571429	0.9599817997419163	0.9599817997419163	7.73431610287677
GOTERM_BP_FAT	GO:0046165~alcohol_biosynthetic_process	5	1.644736842105263	0.005465476444497828	ENSG00000112699,_ENSG00000105655,_ENSG00000170191,_ENSG00000197943,_ENSG00000100889	220	44	13528	6.987603305785124	0.9997815509926894	0.8784268921800585	8.72885450432025
INTERPRO	IPR008144:Guanylate_kinase	4	1.3157894736842104	0.005805749124926516	ENSG00000082458,_ENSG00000132535,_ENSG00000147044,_ENSG00000198286	270	23	16659	10.730434782608695	0.967598528921894	0.8199959137183102	8.220260723861328
SP_PIR_KEYWORDS	redox-active_disulfide	3	0.9868421052631579	0.005933542149005923	ENSG00000143870,_ENSG00000104687,_ENSG00000136810	290	8	19235	24.872844827586206	0.8621728313721564	0.48345089723318413	7.761339485062068
GOTERM_MF_FAT	GO:0030695~GTPase_regulator_activity	15	4.934210526315789	0.006292170605912519	ENSG00000163486,_ENSG00000105963,_ENSG00000154310,_ENSG00000161800,_ENSG00000154358,_ENSG00000134215,_ENSG00000184014,_ENSG00000142765,_ENSG00000148429,_ENSG00000012983,_ENSG00000116584,_ENSG00000177606,_ENSG00000134516,_ENSG00000168421,_ENSG00000160271	212	404	12983	2.2737833924901922	0.9434133752457123	0.6160824812879657	8.578565476240973
SMART	SM00033:CH	6	1.9736842105263157	0.006930408275522414	ENSG00000064666,_ENSG00000134215,_ENSG00000178209,_ENSG00000135596,_ENSG00000186001,_ENSG00000117519	157	70	9079	4.9566878980891715	0.6452087635107105	0.6452087635107105	7.9605210363045025
GOTERM_MF_FAT	GO:0060589~nucleoside-triphosphatase_regulator_activity	15	4.934210526315789	0.007736689437677871	ENSG00000163486,_ENSG00000105963,_ENSG00000154310,_ENSG00000161800,_ENSG00000154358,_ENSG00000134215,_ENSG00000184014,_ENSG00000142765,_ENSG00000148429,_ENSG00000012983,_ENSG00000116584,_ENSG00000177606,_ENSG00000134516,_ENSG00000168421,_ENSG00000160271	212	413	12983	2.2242336333318105	0.9708086154307305	0.5866540624982548	10.448912578627912
SP_PIR_KEYWORDS	lipoprotein	19	6.25	0.008613177840201231	ENSG00000115008,_ENSG00000138175,_ENSG00000168118,_ENSG00000155265,_ENSG00000072274,_ENSG00000174136,_ENSG00000168243,_ENSG00000172005,_ENSG00000164023,_ENSG00000181467,_ENSG00000070018,_ENSG00000140807,_ENSG00000185499,_ENSG00000132535,_ENSG00000177697,_ENSG00000069974,_ENSG00000168421,_ENSG00000165527,_ENSG00000116983	290	642	19235	1.9629659469330756	0.9438995652555237	0.5133221770091931	11.080153265388937
