gene_id	KNI1766A283	KNI1766A273	KNI1766A278	KNI1766A288	KNI1766A269	KNI1766A274	KNI1766A280	KNI1766A284	KNI1766A271	KNI1766A276	KNI1766A282	KNI1766A286	KNI1766A279	KNI1766A270	KNI1766A275	KNI1766A285	KNI1766A272	KNI1766A277
ENSG00000000419	1145	520	597	813	593	481	755	795	605	421	727	404	569	581	225	128	564	157
ENSG00000000457	170	111	115	122	106	71	79	81	99	56	71	50	104	129	46	7	90	19
ENSG00000000460	1071	2090	1155	804	813	550	1154	1050	846	419	846	545	497	1077	215	140	156	66
ENSG00000000938	18	1	3	0	3	1	7	14	2	0	17	13	0	92	1	2	1	0
ENSG00000000971	49	1	3	1	308	235	144	192	138	46	118	47	61	111	14	13	292	49
ENSG00000001036	35	31	20	30	28	14	36	25	36	15	32	10	24	38	12	6	28	11
ENSG00000001084	763	477	360	894	398	336	538	618	465	337	623	424	444	465	226	104	407	141
ENSG00000001167	3766	2436	2380	2630	2243	2451	2996	2409	2450	1633	3207	1351	2458	1948	782	347	1819	660
ENSG00000001460	36	24	28	29	9	23	17	22	22	16	18	18	18	20	10	8	14	6
ENSG00000001461	384	301	311	275	412	282	247	206	459	204	230	115	272	323	117	31	320	74
ENSG00000001497	1980	2113	2585	1833	1430	1537	1492	1270	1740	1163	1739	702	1800	1396	648	219	1194	421
ENSG00000001561	194	153	190	164	126	131	177	144	231	169	206	92	229	119	37	20	71	22
ENSG00000001629	872	632	1303	856	341	358	488	308	451	359	501	241	439	404	179	96	299	114
ENSG00000001630	64	72	38	50	62	32	65	37	59	19	46	18	39	68	25	10	28	11
ENSG00000001631	781	353	588	547	327	357	464	290	428	336	511	244	447	289	144	71	311	95
ENSG00000002016	58	39	63	66	22	25	17	53	33	21	20	31	21	32	14	5	6	5
ENSG00000002330	32	12	8	33	5	4	20	15	8	0	22	12	6	5	4	0	9	6
ENSG00000002549	1125	771	982	947	588	796	803	653	669	637	823	397	862	773	436	123	570	243
ENSG00000002586	1693	1187	1226	1042	1686	1107	1620	1759	1516	762	1620	906	1176	1834	488	227	1832	383
ENSG00000002822	588	278	542	494	282	258	432	829	252	142	378	348	259	291	129	73	321	69
ENSG00000002834	1215	361	148	705	602	405	734	634	652	264	548	298	397	532	166	98	609	131
ENSG00000002919	628	409	463	617	311	394	415	555	369	285	514	338	419	375	195	77	327	132
ENSG00000003056	1087	880	915	1098	980	822	1062	1016	1331	689	1381	670	1111	944	307	133	786	219
ENSG00000003249	37	1	9	30	4	3	20	25	3	3	13	10	2	4	2	1	0	0
ENSG00000003393	359	302	236	244	175	165	255	167	283	137	275	119	201	194	76	29	102	49
ENSG00000003400	663	395	646	525	172	215	395	226	219	158	332	128	245	228	61	39	121	43
ENSG00000003402	9584	12500	19589	6923	15224	16626	9354	11528	16702	11404	12314	8625	16357	12756	6139	1995	15427	5136
ENSG00000003436	29	2	33	6	21	18	6	21	2	5	1	3	3	37	0	1	60	9
ENSG00000003509	375	161	176	317	142	178	263	399	159	107	310	241	170	151	55	57	161	53
ENSG00000003756	2678	1689	1910	2235	1555	1661	1729	1696	1876	1187	1867	1144	1565	1292	624	305	1364	396
ENSG00000003987	13	13	10	12	5	8	9	7	9	6	8	6	10	14	4	3	6	4
ENSG00000004059	382	319	237	340	409	347	317	236	463	191	335	153	302	504	133	46	412	83
ENSG00000004139	75	71	34	93	54	40	54	66	61	17	46	41	27	53	11	11	29	11
ENSG00000004142	861	895	945	1168	637	533	630	575	770	436	609	396	672	797	265	114	641	157
ENSG00000004399	367	142	157	134	591	540	722	1039	655	330	977	531	536	611	227	79	528	200
ENSG00000004455	1552	2365	2121	1398	2038	1629	1425	1347	2251	1469	1794	867	2232	2414	912	247	2255	584
ENSG00000004468	48	66	116	61	2	11	8	4	15	51	4	5	41	30	42	5	4	1
ENSG00000004478	3135	4310	4236	2874	2939	2542	2086	1508	2933	1833	2193	917	2784	3443	1132	318	2794	736
ENSG00000004487	1349	1828	1708	1397	1119	941	1011	897	1452	775	1240	531	1265	1284	412	173	915	282
ENSG00000004534	1979	1393	1645	1875	1086	990	1279	1073	1295	720	1490	731	1197	1132	419	216	852	278
ENSG00000004660	267	603	393	333	61	34	78	183	102	29	78	93	61	197	34	37	51	11
ENSG00000004700	726	133	160	434	485	328	556	596	488	230	591	365	313	380	121	84	448	112
ENSG00000004766	255	58	78	181	39	48	126	72	57	67	141	66	56	40	20	17	32	10
ENSG00000004777	406	34	87	90	229	1321	532	1876	155	311	502	645	456	109	223	129	129	195
ENSG00000004779	831	817	927	848	572	546	614	621	652	513	708	351	671	717	252	123	533	146
ENSG00000004864	24	17	17	17	22	17	18	25	30	17	20	17	26	33	7	2	33	6
ENSG00000004866	143	111	104	75	192	181	180	113	171	121	226	60	206	178	71	21	205	56
ENSG00000004897	548	247	273	409	335	278	509	336	430	237	480	232	301	382	110	63	358	98
ENSG00000004961	528	409	444	538	391	320	442	404	398	291	451	210	391	454	138	58	414	99
ENSG00000004975	689	686	587	601	302	232	473	282	511	240	529	199	380	389	132	52	244	65
ENSG00000005007	6073	5388	6140	6288	6261	5851	4912	5000	6544	3577	5310	2870	5732	5166	2121	744	5491	1330
ENSG00000005020	44	4	4	12	36	5	84	25	56	7	82	31	6	34	3	2	27	1
ENSG00000005022	3469	3516	3477	2867	3119	2802	3288	2499	3467	2257	3328	1324	3163	3819	1123	456	2825	778
ENSG00000005059	415	203	268	379	278	282	290	266	324	243	335	164	332	273	81	44	262	79
ENSG00000005075	348	235	264	257	188	208	245	227	216	133	283	121	258	236	73	38	132	50
ENSG00000005100	842	1400	1809	886	2469	2183	1159	1376	2157	1562	1320	738	2242	2183	958	267	2593	866
ENSG00000005156	935	1350	1700	624	768	1087	738	457	985	774	828	317	1245	789	401	123	542	216
ENSG00000005175	585	507	458	494	298	270	352	285	338	216	392	200	296	376	135	76	283	90
ENSG00000005187	17	22	8	9	8	7	7	4	11	2	5	1	2	9	0	1	0	2
ENSG00000005194	706	771	776	1009	619	536	578	709	700	442	627	382	576	707	263	121	545	135
ENSG00000005206	545	908	1266	439	280	402	269	200	382	252	377	138	482	337	185	44	255	93
ENSG00000005238	96	47	36	62	73	59	113	70	102	34	122	49	54	84	24	17	71	15
ENSG00000005249	34	31	87	37	22	30	41	37	32	28	31	21	34	24	7	2	9	8
ENSG00000005302	2371	3989	4403	2879	751	765	561	452	1384	732	579	447	1000	1415	491	241	545	154
ENSG00000005339	7122	1922	2467	6360	3043	2975	5989	6859	3364	1916	6052	3777	2594	2088	918	685	2335	761
ENSG00000005379	1240	686	878	2209	914	1288	890	1897	1102	619	1153	1290	1349	720	631	230	975	420
ENSG00000005436	335	463	572	344	218	224	203	146	271	194	279	110	299	353	115	40	217	58
ENSG00000005448	122	79	73	136	62	44	101	71	69	37	82	39	44	74	36	17	61	12
ENSG00000005469	18	12	21	16	7	7	29	19	17	8	17	6	10	15	3	5	9	4
ENSG00000005483	4297	9294	14928	4017	7352	7963	3053	3493	9508	5386	3388	2249	7312	6485	2412	797	4789	1837
ENSG00000005486	1332	327	276	1137	136	172	457	244	238	177	453	192	220	225	122	75	138	43
ENSG00000005513	619	207	177	443	554	654	1327	1627	441	209	902	378	450	240	91	84	241	117
ENSG00000005700	686	466	447	479	349	272	391	266	500	310	545	219	375	431	147	67	338	81
ENSG00000005801	1414	1065	1461	875	764	854	879	643	939	691	1098	429	956	817	362	134	532	238
ENSG00000005810	4201	2120	2187	3892	3145	2509	3573	3674	3187	1728	3285	1958	2146	2361	1120	527	2626	757
ENSG00000005812	984	633	636	959	558	476	723	532	730	435	719	367	559	621	222	120	606	165
ENSG00000005844	454	276	377	428	449	273	412	517	419	250	411	317	328	621	219	65	908	174
ENSG00000005882	40	10	1	10	3	4	11	20	6	6	20	14	9	8	2	4	6	0
ENSG00000005884	126	116	59	159	158	209	160	157	271	104	159	91	184	122	33	22	69	23
ENSG00000005889	1055	782	877	978	695	620	726	918	825	567	796	499	715	668	272	155	549	221
ENSG00000005893	889	322	320	440	397	477	747	412	487	383	631	244	473	414	199	77	338	124
ENSG00000005955	1936	1236	1156	1935	1107	1055	1175	1284	1180	657	1236	846	951	1082	356	244	894	272
ENSG00000006007	288	160	163	268	354	233	380	411	302	150	342	190	248	316	81	44	390	82
ENSG00000006015	187	240	177	155	177	118	187	120	182	109	137	60	172	245	82	17	169	46
ENSG00000006016	15	17	19	32	6	11	11	21	12	8	11	17	11	7	1	3	8	2
ENSG00000006025	120	127	112	141	101	103	91	117	128	56	132	64	113	122	48	15	86	33
ENSG00000006062	1969	6012	5068	1796	3938	3566	2087	1213	3885	1868	1674	579	3091	3613	1360	245	3007	772
ENSG00000006075	54	7	33	8	19	117	110	82	222	206	1308	511	313	170	13	16	7	27
ENSG00000006114	972	434	398	753	357	368	602	411	626	325	632	338	441	368	133	72	286	91
ENSG00000006125	3801	2069	1581	2987	2835	2119	2838	2026	2982	1363	2619	1056	1938	2732	879	411	2716	658
ENSG00000006128	17	8	31	6	3	13	14	13	2	7	5	3	7	21	12	0	9	1
ENSG00000006194	4690	2938	3236	5525	2202	2199	3447	5099	2805	1662	4313	3029	2622	2628	1025	652	1989	678
ENSG00000006282	59	80	45	91	60	57	28	78	63	35	41	51	83	66	14	12	56	9
ENSG00000006327	261	38	32	96	334	476	668	882	507	283	1433	547	700	187	57	39	225	113
ENSG00000006432	130	140	88	152	304	241	173	371	395	115	186	121	177	206	57	22	201	53
ENSG00000006451	766	840	408	1048	497	387	474	387	496	318	375	160	376	622	134	108	385	75
ENSG00000006453	30	39	14	27	27	26	34	16	24	9	24	5	17	42	4	3	13	11
ENSG00000006459	1216	1597	977	1159	1733	499	739	642	2107	475	715	351	611	1732	317	163	1568	165
ENSG00000006468	19	14	2	1	30	26	44	82	53	22	27	8	28	27	1	3	7	5
ENSG00000006530	356	344	366	286	505	327	348	194	544	312	468	183	454	445	196	54	542	153
ENSG00000006555	37	41	19	32	14	9	19	18	21	18	16	9	15	28	27	6	15	5
ENSG00000006576	308	54	61	111	205	237	220	149	211	151	168	73	144	207	62	32	210	62
ENSG00000006607	808	805	614	504	1165	952	826	600	1315	738	1010	354	1044	930	387	102	1007	275
ENSG00000006625	163	205	237	131	201	233	141	179	248	213	162	77	278	260	120	41	224	80
ENSG00000006634	512	299	272	420	428	237	495	433	451	261	486	291	358	546	136	86	576	126
ENSG00000006652	2562	968	963	1480	909	995	1500	954	975	605	1629	733	899	1166	363	198	930	323
ENSG00000006695	432	295	312	443	269	274	376	401	237	194	373	228	323	334	111	56	253	72
ENSG00000006704	213	29	27	129	61	52	156	97	64	19	84	44	54	43	15	13	23	12
ENSG00000006712	2118	1699	2847	2099	1554	1477	1450	1370	1645	1032	1574	780	1588	1448	668	228	1413	372
ENSG00000006715	317	203	165	305	114	78	182	120	185	102	207	102	120	162	59	31	99	34
