gene_id	KNI1766A283	KNI1766A273	KNI1766A278	KNI1766A288	KNI1766A269	KNI1766A274	KNI1766A280	KNI1766A284	KNI1766A271	KNI1766A276	KNI1766A282	KNI1766A286	KNI1766A279	KNI1766A270	KNI1766A275	KNI1766A285	KNI1766A272	KNI1766A277
gene_id	CD45RA+Cyt-	CD45RA+Cyt-	CD45RA+Cyt-	CD45RA+Cyt-	CSF+	CSF+	CSF+	CSF+	IFN+	IFN+	IFN+	IFN+	IFN+	IL17A+	IL17A+	IL17A+	IL17A+GMCSF+IFN-	IL17A+GMCSF+IFN-
ENSG00000000419	28.74	14.8497	15.8635	22.8844	16.1306	13.8456	22.0788	23.1444	15.6869	16.8397	19.6118	19.5837	16.637	16.7423	14.817	20.6669	17.5452	13.9638
ENSG00000000457	4.26708	3.16984	3.05579	3.43407	2.88337	2.04374	2.31023	2.35811	2.56695	2.23996	1.91532	2.42372	3.04085	3.7173	3.02925	1.13022	2.79976	1.68988
ENSG00000000460	26.8826	59.6843	30.6907	22.6311	22.1149	15.8318	33.7469	30.5681	21.9357	16.7597	22.8219	26.4186	14.5318	31.0351	14.1585	22.6044	4.85292	5.87011
ENSG00000000938	0.451808	0.0285571	0.0797162	0	0.0816049	0.0287851	0.204704	0.407575	0.0518575	0	0.458597	0.630168	0	2.6511	0.0658533	0.32292	0.0311085	0
ENSG00000000971	1.22992	0.0285571	0.0797162	0.0281481	8.3781	6.7645	4.21106	5.5896	3.57817	1.83996	3.1832	2.2783	1.78358	3.19861	0.921946	2.09898	9.08368	4.35811
ENSG00000001036	0.878516	0.88527	0.531441	0.844444	0.761646	0.402992	1.05276	0.727812	0.933435	0.599988	0.863241	0.484745	0.701735	1.09502	0.790239	0.96876	0.871037	0.978352
ENSG00000001084	19.1516	13.6217	9.56594	25.1644	10.8262	9.6718	15.733	17.9915	12.0569	13.4797	16.8062	20.5532	12.9821	13.3996	14.8828	16.7918	12.6612	12.5407
ENSG00000001167	94.5283	69.5651	63.2415	74.0296	61.0132	70.5523	87.6134	70.132	63.5254	65.3187	86.5129	65.489	71.8694	56.1341	51.4973	56.0266	56.5863	58.7011
ENSG00000001460	0.903616	0.68537	0.744018	0.816296	0.244815	0.662058	0.497139	0.640475	0.570432	0.639987	0.485573	0.87254	0.526301	0.576326	0.658533	1.29168	0.435519	0.533647
ENSG00000001461	9.63857	8.59569	8.26391	7.74073	11.2071	8.1174	7.22313	5.99717	11.9013	8.15984	6.20454	5.57456	7.953	9.30766	7.70483	5.00526	9.95471	6.58164
ENSG00000001497	49.6989	60.3411	68.6888	51.5955	38.8983	44.2427	43.6312	36.9729	45.116	46.5191	46.9117	34.0291	52.6301	40.2275	42.6729	35.3597	37.1435	37.4442
ENSG00000001561	4.86949	4.36924	5.04869	4.61629	3.4274	3.77085	5.17609	4.1922	5.98954	6.75987	5.55711	4.45965	6.69572	3.42914	2.43657	3.2292	2.2087	1.9567
ENSG00000001629	21.8876	18.0481	34.6234	24.0948	9.27575	10.3051	14.2708	8.96664	11.6939	14.3597	13.5151	11.6823	12.8359	11.6418	11.7877	15.5002	9.30144	10.1393
ENSG00000001630	1.60643	2.05611	1.00974	1.40741	1.6865	0.921124	1.90082	1.07716	1.5298	0.759985	1.24091	0.87254	1.14032	1.95951	1.64633	1.6146	0.871037	0.978352
ENSG00000001631	19.6034	10.0807	15.6244	15.397	8.89493	10.2763	13.569	8.44262	11.0975	13.4397	13.7849	11.8278	13.0698	8.32791	9.48287	11.4637	9.67474	8.4494
ENSG00000002016	1.45583	1.11373	1.67404	1.85778	0.598436	0.719628	0.497139	1.54296	0.855649	0.839983	0.539526	1.50271	0.614018	0.922121	0.921946	0.8073	0.186651	0.444705
ENSG00000002330	0.803214	0.342685	0.212577	0.928888	0.136008	0.11514	0.584869	0.436687	0.20743	0	0.593478	0.581693	0.175434	0.144081	0.263413	0	0.279976	0.533647
ENSG00000002549	28.238	22.0175	26.0938	26.6563	15.9946	22.913	23.4825	19.0105	17.3463	25.4795	22.2015	19.2444	25.204	22.275	28.712	19.8596	17.7318	21.6127
ENSG00000002586	42.4951	33.8973	32.5774	29.3303	45.8619	31.8651	47.3744	51.2089	39.308	30.4794	43.7016	43.9179	34.385	52.8491	32.1364	36.6514	56.9907	34.0644
ENSG00000002822	14.7591	7.93887	14.4021	13.9052	7.67086	7.42656	12.6332	24.1342	6.53404	5.67989	10.197	16.8691	7.57289	8.38554	8.49507	11.7866	9.98582	6.13694
ENSG00000002834	30.497	10.3091	3.93267	19.8444	16.3754	11.658	21.4647	18.4573	16.9055	10.5598	14.783	14.4454	11.6079	15.3303	10.9316	15.8231	18.9451	11.6513
