gene_name	id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
COL5A3	ENSG00000080573	6110.51151686329	2391.21729571825	13549.0999591534	5.66619352553806	2.50237987696593	2.77269469676442e-05	0.0457895125311218
CA2	ENSG00000104267	195.499212895387	109.503434113709	367.490770458743	3.35597484620563	1.74673190249097	3.36136850110788e-05	0.0499600200319665
IL17A	ENSG00000112115	41186.3639405058	4280.58733392416	114997.917153669	26.8649856159451	4.74765516048459	3.80128558433087e-16	5.64985076399098e-12
CD80	ENSG00000121594	43.100388876578	16.1303237200276	97.0405191896789	6.01603048233882	2.58881187695698	9.30891122186706e-06	0.0230597245817684
ZNF365	ENSG00000138311	334.282954712162	441.818274964939	119.212314206608	0.269822053458673	-1.88991982549223	1.51677608732848e-05	0.0281798037324539
SESN3	ENSG00000149212	366.195197866992	485.901195072656	126.783203455664	0.260923835424414	-1.93829935434291	3.21470422002656e-06	0.0117184522282467
UEVLD	ENSG00000151116	108.295812599991	50.7217682282104	223.443901343551	4.40528611578009	2.13923572275799	3.94215576540629e-06	0.0117184522282467
LDLRAD4	ENSG00000168675	415.632242820493	214.567337387544	817.762053686392	3.81121406288125	1.93025064168043	1.08009485980773e-06	0.00802672495066113
ZEB2	ENSG00000169554	4679.17671499174	2576.68310074527	8884.16394348466	3.44790709455696	1.78572090086909	1.43154690492144e-05	0.0281798037324539
MSC	ENSG00000178860	1906.44780623295	766.483260100875	4186.37689849709	5.46179821063036	2.44937601386508	1.98347705109588e-06	0.00982680647014605
